,coefficient
Major Depressive Episode (any past year),442.9266566177628
Marital Status_Divorced or Separated,-327.5541785707908
Marijuana Use Disorder (any past year),-314.5289141900734
Serious Psychological Distress (any past month),302.0358221404149
Cocaine Use Disorder (any past year),290.01544813710984
Drug Use Disorder (any past year),278.47561513883227
Serious Psychological Distress (any past year),271.6021177501615
Difficulty in Work Response (any past year),268.37252406991666
Poverty_Living in Poverty,-262.44999871901496
BMI_Overweight,254.17913364874028
Gender_Female,-244.77873050387782
Felt Worthless (nearly every day),236.40195556636755
Oxycontin Use (any past year),235.12861112022472
BMI_Obesity,-233.26248632465388
Heavy Alcohol Use (any past month),216.90125029594932
Health Insurance_Medicare,-211.9350710164409
Felt Tired/Low Energy (nearly every day),-210.4339515294933
Employment Status_Other,-199.05771584167692
Employment Status_Unemployed,184.5641527491485
Binge Alcohol Use (any past month),-172.61413983393723
Urban Residence_Nonmetropolitan,-166.39762083253513
Heroin Use Disorder (any past year),-152.0545729131414
Marital Status_Never Been Married,-142.04194390203463
Health Insurance_Medicaid/CHIP,131.45775380253863
Marital Status_Widowed,121.24828507917486
"Family Income_$75,000 or More",-116.2411204054549
Marital Status_Married,114.33728090534784
Hallucinogen Use Disorder (any past year),113.54870912192229
Employment Status_Employed full time,-111.62232265870571
Stimulant Use w/o RX (any past year),-110.11084762322928
Education_High school grad,-109.93579115753825
Alcohol Use Disorder (any past year),107.75123235301126
Health Insurance_Other,-103.29998476649028
Race_NonHisp Native HI/Other Pac Isl,-99.36630797057992
Urban Residence_Large Metropolitan,-99.35485303689111
BMI_Healthy,-98.94606998542962
Race_NonHisp Native Am/AK Native,-98.68648356807412
Inhalant Use Disorder (any past year),-96.36416021631516
BMI_Underweight,-95.78236393402605
Race_NonHisp White,-90.21892604593145
Education_Less high school,-89.58617794641415
Urban Residence_Small Metropolitan,84.25138901798982
Race_NonHisp Black/Afr Am,78.40264931763895
"Family Income_$50,000 - $74,999",-74.31237301500992
Age_35-49 Years Old,-74.06611291991295
Poverty_Income Up to 2X Fed Pov Thresh,66.59654785629338
Race_NonHisp more than,-65.84953214841164
Health Insurance_Uninsured,-65.04045291140868
Age_26-34 Years Old,-63.171724016194304
Employment Status_Employed part time,-59.519397827069405
Age_65 or Older,-59.46376141818557
Race_NonHisp Asian,58.83324569933237
Education_Some coll/Assoc Dg,52.05258612506135
Sedative Use w/o RX (any past year),50.49281265459701
Year,45.60402038522486
Education_College graduate,-44.39586891465194
Age_50-64 Years Old,-43.458089535203044
Received Substance Use or Mental Health Treatment (any past year),43.32022772120823
Gender_Male,39.96608835585256
Health Insurance_Private plan,31.457302112336496
Drug or Alcohol Use Disorder (any past year),28.242506059466876
BMI_Unknown,-27.860414847166986
Age_18-25 Years Old,-21.820015932019167
"Family Income_$20,000 - $49,999",-10.487004843075587
Race_Hispanic,4.949024005749632
BMI_Severe Obesity,4.149110653587237
"Family Income_Less than $20,000",1.8851095131241435
Poverty_Income More Than 2X Fed Pov Thresh,-0.17855326814513378
