,intercept,Year,Drug or Alcohol Use Disorder (any past year),Serious Psychological Distress (any past month),Serious Psychological Distress (any past year),Received Substance Use or Mental Health Treatment (any past year),Major Depressive Episode (any past year),Alcohol Use Disorder (any past year),Marijuana Use Disorder (any past year),Stimulant Use w/o RX (any past year),Sedative Use w/o RX (any past year),Cocaine Use Disorder (any past year),Heroin Use Disorder (any past year),Hallucinogen Use Disorder (any past year),Inhalant Use Disorder (any past year),Oxycontin Use (any past year),Drug Use Disorder (any past year),Binge Alcohol Use (any past month),Heavy Alcohol Use (any past month),Difficulty in Work Response (any past year),Felt Tired/Low Energy (nearly every day),Felt Worthless (nearly every day),Age_18-25 Years Old,Age_26-34 Years Old,Age_35-49 Years Old,Age_50-64 Years Old,Age_65 or Older,Gender_Female,Gender_Male,Race_Hispanic,Race_NonHisp Asian,Race_NonHisp Black/Afr Am,Race_NonHisp Native Am/AK Native,Race_NonHisp Native HI/Other Pac Isl,Race_NonHisp White,Race_NonHisp more than,Marital Status_Divorced or Separated,Marital Status_Married,Marital Status_Never Been Married,Marital Status_Widowed,Education_College graduate,Education_High school grad,Education_Less high school,Education_Some coll/Assoc Dg,Poverty_Income More Than 2X Fed Pov Thresh,Poverty_Income Up to 2X Fed Pov Thresh,Poverty_Living in Poverty,Employment Status_Employed full time,Employment Status_Employed part time,Employment Status_Other,Employment Status_Unemployed,"Family Income_$20,000 - $49,999","Family Income_$50,000 - $74,999","Family Income_$75,000 or More","Family Income_Less than $20,000",Health Insurance_Medicaid/CHIP,Health Insurance_Medicare,Health Insurance_Other,Health Insurance_Private plan,Health Insurance_Uninsured,Urban Residence_Large Metropolitan,Urban Residence_Nonmetropolitan,Urban Residence_Small Metropolitan,BMI_Healthy,BMI_Obesity,BMI_Overweight,BMI_Severe Obesity,BMI_Underweight,BMI_Unknown
18-25 Years Old:No,0.0,0.0,0.0,0.5723990051282507,0.16348085618570296,0.3603948251847974,0.6975308964889949,0.0,0.0,0.0,0.0,0.06794946491778665,-0.09882384667370178,0.04923188174206175,0.02017300354354498,0.03862013193863845,0.32127818083759946,0.0,0.0,0.09095133529816264,0.0,0.7779109372524421,-0.454709805266516,0.0,0.0,-0.0049160972345934665,-0.12669119002152313,-1.3806775978160808,-1.077424206483248,-0.28634090104764837,-0.17574422886585145,-0.1762458486312762,0.0,-0.07326812916682478,-0.19936727246944413,0.0,0.0,-0.1544175616642789,-0.03145297073944658,-0.04039314869140122,-0.07184479563515779,-0.08175535908440207,0.0,0.0,-0.5326929585587017,-0.5152332559033483,-0.6262669256700362,-0.2545733702332576,-0.07116162081179844,-0.14009662910461074,0.0,-0.12526620194723528,-0.11603540279737669,-0.26262645799512274,0.0,-0.12961811541334786,-0.18904452899952928,-0.016449862649751974,-0.11410461357757772,0.0,-0.5410383523795422,-0.4483841267025095,-0.3764609989762124,-0.06202288531249638,0.0,-0.08702017026944443,0.0,-0.0283918004899862,0.0
18-25 Years Old:Yes,0.21210563661091777,0.00521018796319902,0.04191392191490076,0.15999182383671773,0.12340050784443185,0.0,0.0,0.03445553814273135,0.0,0.0,0.13486844614064192,0.0,0.0,0.04207210311546338,0.06996075715277038,0.22078586466980402,0.0,0.0,0.0,0.0,0.0,0.0647403013147515,0.09029898484706891,0.0,0.0,0.0,0.0,0.1584361499064616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05397797123696058,0.06694086395686456,-0.15967238530792374,0.1825108715001836,0.1344571561264669,0.0,0.07219009749710145,0.001807722816616315,0.0,0.24344937371833153,0.0,0.07438749459559062,0.0,0.0,0.0,0.02111757280608872,0.0,0.021571168167964415,0.0,0.0,0.02206289139156398,0.0,0.12775237742637544,0.0,0.0,0.0,0.04399860725273556,0.0,0.059594695836857586,0.0,0.0
26-34 Years Old:No,-0.45759875258108884,0.0,0.0,0.0,0.0,0.027448854051359627,0.5122377764862887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4622956615445943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011958231032294908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-34 Years Old:Yes,0.0,0.03282415542785162,0.0,0.13334715990965396,0.0,0.0,0.0,0.08057057579401972,0.0,-0.023638685493360848,0.0,-0.09649885631485854,0.0,0.0,0.0,0.0,0.0,0.0,0.09109487005643628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019293594815429856,0.0,0.05765498514136411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38696744461838395,0.0,0.0,0.0,0.0,0.031052984917307524,0.0,0.0,0.0005321088837461378,0.0,0.0,0.0,0.06442067815047492,0.0,0.07249850575836854,0.0,0.0,0.0,0.0,0.11051870035606039,0.0,0.03217730940118046,0.0,0.0,0.0,0.0,0.017386505955846232,0.028257687718937607,0.0,0.0
35-49 Years Old:No,-0.4777679907903654,0.0,0.0,0.0,0.0,0.0,0.5965337960695093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48415121790203963,0.0,0.0,0.0,-0.010382083215691933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14696432892194874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024533937326200197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07079318488753579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35-49 Years Old:Yes,0.0,0.0,0.03282177540329298,0.019242035161272448,0.0,0.0,-0.023580909855338266,0.11813141202644559,0.0,0.3908783484137088,0.0,0.27592183552260946,-0.24373846173614377,0.0,-0.03129755836643007,0.0572934000521303,0.0,0.0,0.0,0.0,-0.09493523304792936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08358931790522943,0.0,-0.08686849877923332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012376507978840576,0.013745378460445275,0.05435533548862537,0.0,0.0,0.0,0.022541248191899472,0.0,-0.02188039570079294,0.0,0.0,0.11533057282022444,0.0,-0.0032582001961665007,0.22915556239103224,0.0,0.0,0.0,0.05203718356374983,0.0,-0.07866422829800017,0.0,0.0,0.0,0.1487956776471078,-0.031200256062453385,0.15023971446695197
50-64 Years Old:No,-0.5460078194124324,0.0,0.0,0.0,0.0,0.0,0.255943982566168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0907978518738133,0.0,0.019669306565825103,0.0,0.0,0.0,-0.544398733349831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04114330675213854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50-64 Years Old:Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15050981415427275,-0.23303224813746778,0.3286059198627529,-0.19441608637425978,0.08922671252335039,-0.10216998258965791,0.0,0.19595686950863517,0.24384379066654596,0.0,0.007068457914069349,0.13021642315704046,-0.10782193939025396,0.0,0.09188695558966306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4668137386139029,0.0,-0.22623016913297242,-0.09077586064024959,0.029549269016621773,-0.27272100799176924,-0.037477061101242166,0.0,-0.1538059659034379,0.0,0.1975922372747532,0.0,-0.18517675468783226,0.0,-0.006162991870584251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07669186816022756,-0.03680630170597722,0.03160230223928545,-0.061226177556867045,-0.10870879051592255,0.0,0.1427067304804549,0.0,0.0,0.0,0.0,0.0,-0.01277358403698991,0.0,0.0,0.9259810918217976,-0.07327270030959403
65 or Older:No,-0.4758644931651697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.479328883311617,0.0,-0.012583402042346672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11723695550741596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65 or Older:Yes,0.0,0.0,0.0,-0.14008125682483363,0.0,0.0,0.02457001500868907,0.10506259415902423,-0.27897987400382146,0.0,-0.6673271159751349,1.5008158194729022,-1.1606999975128591,-1.5470182674212178,0.0,-0.1080793442566489,0.0,0.0,-0.04940274985797362,0.0,0.11856701218423647,0.0,0.0,0.0,0.0,0.0,0.0,-0.15442817489262167,0.18192608558901394,-0.0026995672214865964,-0.5732198362634772,-0.9766604338576607,-0.29939954464056434,-0.9476795034268072,0.0,1.536495539971566,0.20287258990272414,0.0,0.0,-0.4808629453265321,0.0,-0.1148286506309541,0.0,0.0,0.17529556227100915,-0.02302275124073861,-0.09027145125716907,0.0,0.0,0.0,0.26178941897878333,0.0,0.0,-0.12578521135020332,0.0,0.0,-0.026183782947886824,-1.7126773164061273,0.0,1.330604354588308,-0.19281702562752345,0.0,0.16903049263134834,0.0,0.09491187130828942,-0.1773094134075458,-0.7141971970932954,0.0,-0.6761073320667869
