,intercept,Year,Drug or Alcohol Use Disorder (any past year),Serious Psychological Distress (any past month),Serious Psychological Distress (any past year),Received Substance Use or Mental Health Treatment (any past year),Major Depressive Episode (any past year),Alcohol Use Disorder (any past year),Marijuana Use Disorder (any past year),Stimulant Use w/o RX (any past year),Sedative Use w/o RX (any past year),Cocaine Use Disorder (any past year),Heroin Use Disorder (any past year),Hallucinogen Use Disorder (any past year),Inhalant Use Disorder (any past year),Oxycontin Use (any past year),Drug Use Disorder (any past year),Binge Alcohol Use (any past month),Heavy Alcohol Use (any past month),Difficulty in Work Response (any past year),Felt Tired/Low Energy (nearly every day),Felt Worthless (nearly every day),Age_18-25 Years Old,Age_26-34 Years Old,Age_35-49 Years Old,Age_50-64 Years Old,Age_65 or Older,Gender_Female,Gender_Male,Race_Hispanic,Race_NonHisp Asian,Race_NonHisp Black/Afr Am,Race_NonHisp Native Am/AK Native,Race_NonHisp Native HI/Other Pac Isl,Race_NonHisp White,Race_NonHisp more than,Marital Status_Divorced or Separated,Marital Status_Married,Marital Status_Never Been Married,Marital Status_Widowed,Education_College graduate,Education_High school grad,Education_Less high school,Education_Some coll/Assoc Dg,Poverty_Income More Than 2X Fed Pov Thresh,Poverty_Income Up to 2X Fed Pov Thresh,Poverty_Living in Poverty,Employment Status_Employed full time,Employment Status_Employed part time,Employment Status_Other,Employment Status_Unemployed,"Family Income_$20,000 - $49,999","Family Income_$50,000 - $74,999","Family Income_$75,000 or More","Family Income_Less than $20,000",Health Insurance_Medicaid/CHIP,Health Insurance_Medicare,Health Insurance_Other,Health Insurance_Private plan,Health Insurance_Uninsured,Urban Residence_Large Metropolitan,Urban Residence_Nonmetropolitan,Urban Residence_Small Metropolitan,BMI_Healthy,BMI_Obesity,BMI_Overweight,BMI_Severe Obesity,BMI_Underweight,BMI_Unknown
Healthy:No,0.0,0.0,0.0,0.6438451910320971,0.33979863954366274,0.30763584280859996,0.7106734164748271,0.0,0.0,0.0,0.0,0.0,-0.027012638279030356,0.11476195893355529,0.029268221080124484,0.0,0.23592175430139145,0.0,0.0,0.0,0.0,0.8007518471592217,0.0,-0.18011877429689024,-0.27601308458823776,-0.40200342121237514,-0.6290117725197094,-1.368593014046862,-1.1459202888658904,-0.255144508168428,-0.11977463919917732,-0.1236188549978156,0.0,0.0,-0.20125020314802097,0.0,-0.029289925956823774,-0.21481207269025257,0.0,-0.14609343890469062,-0.10456499033342,-0.032610514182865716,-0.03975018638380428,0.0,-0.40142921833254064,-0.38047479133679457,-0.4884057079331827,-0.21241650553774583,-0.08930728263968137,-0.12080375699914234,0.0,0.0,0.0,-0.11067230607718852,0.0,-0.17526810490968417,-0.16135122160877635,0.0,-0.09618731404912612,0.0,-0.501605464692905,-0.37574368805841557,-0.3632304795440632,-0.27263186810493795,0.0,0.0,0.0,-0.01431529589185033,0.0
Healthy:Yes,0.06504357683396372,0.0,0.11782702200232793,0.03799673216813344,0.005288465116930716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10271459432675528,0.0,0.0,0.0,0.01360171558935071,0.0,0.03954371875263594,0.016462468472486506,0.0,0.0,0.0,0.0,0.0,0.00902407215364513,0.0,0.0,0.0,0.0,0.0,0.022296855308255658,0.0,0.0,0.0,0.0,0.0,0.0,0.015936594326393144,0.0,0.0,0.0,0.0,0.0,0.007279154626084954,0.0,0.0,0.0,0.0,0.0,0.0952095524032594,0.0,0.0,0.0,0.0,0.0,0.0,0.035012007392639634,0.0,0.0,1.819350780211616e-05,0.0,0.0,0.0,0.0,0.0
Obesity:No,-0.3282891073058592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3293695639789023,0.0,0.0,0.0,0.0
Obesity:Yes,0.0,0.0,0.05618354496948909,0.0,0.0,0.0,0.0,0.0399971636197395,0.0,0.0,0.0,0.12823535708130884,0.0,0.0,0.0,0.04972112988023623,0.0,0.0,0.0,0.0,0.0,0.0,0.11002200717736316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1729309966612215,-0.08058042878995553,0.0,0.0,0.0,0.1332536836049986,0.0,0.0,0.0,-0.06381338509543212,0.05713517131601956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019185666142660044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Overweight:No,-0.34824161042744584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3489872919561639,0.0,0.0,0.0
Overweight:Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07387310375605069,0.0,0.0,0.0,0.04707615886663114,0.0,0.0,0.0,0.0,0.0,0.0,0.08864674704624279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Severe Obesity:No,-0.30306142753824716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3046345912567751,0.0,0.0
Severe Obesity:Yes,0.0,0.0,0.07090711824074904,0.00026507189991349146,0.0,0.0,0.0,0.012286011751781649,0.0,0.0,0.0,0.0,-0.14516731186468815,0.0,0.0,0.10615346739664941,0.10868449749273819,0.0,0.0,0.0,0.0,0.0,0.10834676793492515,0.0,0.0,0.0,-0.38627363948524324,0.0,0.0446703739479445,-0.006057039338041237,0.0,0.17040506598081154,-0.165988564507318,0.2573591650585682,0.0,-0.11370016516406288,-0.14230911862189827,0.16128729771727204,0.0,0.0,0.0,0.0,0.06362544687608548,0.0,0.017942891174252965,0.0,0.0,0.0,0.0,0.0,-0.1074696046756375,0.0,0.0,0.0,0.0,0.0,-0.31012687036820347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Underweight:No,-0.23944779610813943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3851809837311241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03888074920827109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11424767242050674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23790937549960034,0.0
Underweight:Yes,0.0,0.14498325378449214,0.0,0.0,0.0,0.0,0.04252041115862343,0.0,-0.08520846559054047,0.0,0.0,0.0,-0.07382559572114115,0.0,0.0,-0.23143113318044423,0.0,0.22698765360278048,0.013966746350228201,0.0,0.0,0.0,0.0,0.0,0.0,1.0392553103485331,0.0,0.0,0.0,0.0,0.0,0.0,-0.5586297773371214,0.0,0.0,0.008226915654744694,-0.5004355381373886,0.0,0.0,0.0,0.0,0.07668938079337578,0.0,0.0,0.0,0.0,-0.04723967928147311,-0.13580401774377643,-0.00040498734098638896,0.2893622665599995,0.0,0.0764715893646012,0.0,0.0,-0.09408115600988473,-0.03309009240873422,-0.6471678144311958,-0.28517955658501165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
