,coefficient
Major Depressive Episode (any past year),704.1088110295161
Cocaine Use Disorder (any past year),555.1461498927646
Felt Worthless (nearly every day),500.55981806736025
Serious Psychological Distress (any past year),446.64609035118934
Heavy Alcohol Use (any past month),410.75945052976994
Hallucinogen Use Disorder (any past year),310.51846775340357
Serious Psychological Distress (any past month),304.41386585317895
Binge Alcohol Use (any past month),-285.48267772305815
Race_Hispanic,282.44559601517375
Race_NonHisp Black/Afr Am,-269.93206567215907
Heroin Use Disorder (any past year),-267.43795272578734
Education_High school grad,266.25707333156
Race_NonHisp Native Am/AK Native,-257.48093733777466
Employment Status_Employed full time,245.1186764458046
Health Insurance_Private plan,227.61214862969697
Urban Residence_Small Metropolitan,227.55884010605732
"Family Income_Less than $20,000",226.299161408526
BMI_Overweight,-220.01562465560252
BMI_Obesity,214.91401499799733
Race_NonHisp White,208.7219332649507
Poverty_Living in Poverty,205.95846235826642
Sedative Use w/o RX (any past year),-203.71358304944408
Felt Tired/Low Energy (nearly every day),-202.4796316673552
Race_NonHisp Asian,200.28701550126112
BMI_Healthy,199.6478635256151
Marital Status_Widowed,198.94470518682726
Gender_Male,192.6941730689817
Employment Status_Unemployed,162.45820642381472
Drug Use Disorder (any past year),148.5023395021954
Marijuana Use Disorder (any past year),-146.81081505639696
Race_NonHisp more than,145.33425889488828
BMI_Severe Obesity,141.672617478234
Poverty_Income More Than 2X Fed Pov Thresh,137.45999366027633
Inhalant Use Disorder (any past year),-118.38977058231565
Stimulant Use w/o RX (any past year),-116.81316283561083
Marital Status_Never Been Married,116.57413186036446
Gender_Female,113.37289584060339
Education_Less high school,-98.03963738494194
Health Insurance_Medicaid/CHIP,97.53643674972163
Health Insurance_Other,97.30732197302325
Alcohol Use Disorder (any past year),96.94945084717364
Health Insurance_Medicare,-96.63511020394505
"Family Income_$20,000 - $49,999",96.60004075438393
Education_Some coll/Assoc Dg,94.71741725852891
Oxycontin Use (any past year),-90.01703767278256
Employment Status_Other,-83.38571363883219
Year,68.09124659494522
Marital Status_Married,-56.29260973850772
Difficulty in Work Response (any past year),50.201740184594684
Marital Status_Divorced or Separated,46.75628123641288
Urban Residence_Nonmetropolitan,46.72271005160702
Education_College graduate,42.9870623013952
BMI_Underweight,-42.29478191239376
"Family Income_$50,000 - $74,999",-39.13442983336756
Poverty_Income Up to 2X Fed Pov Thresh,-37.33941768690307
Urban Residence_Large Metropolitan,31.719280702163154
Received Substance Use or Mental Health Treatment (any past year),-29.612952206059944
"Family Income_$75,000 or More",22.402456397662576
Health Insurance_Uninsured,-19.823454502299224
Employment Status_Employed part time,-18.248190564434108
BMI_Unknown,12.067373558756215
Drug or Alcohol Use Disorder (any past year),7.521645958899824
Race_NonHisp Native HI/Other Pac Isl,-3.2284438642634026
