,coefficient
Stimulant Use w/o RX (any past year),-2281.094201126852
Heroin Use Disorder (any past year),-1680.4850595316
Race_NonHisp Native HI/Other Pac Isl,-1164.719837252864
Serious Psychological Distress (any past year),1002.2542656270791
Felt Worthless (nearly every day),915.7153551359779
Gender_Male,-759.9762477860486
"Family Income_$75,000 or More",-743.7858752044674
Sedative Use w/o RX (any past year),734.8130907374399
Urban Residence_Large Metropolitan,-726.1398226869336
Education_High school grad,-710.3179607741708
Health Insurance_Medicaid/CHIP,-704.7042696585938
Poverty_Living in Poverty,-679.1119798470902
Hallucinogen Use Disorder (any past year),-675.5251883948447
Inhalant Use Disorder (any past year),-670.4436082637512
Major Depressive Episode (any past year),641.5373479097079
BMI_Unknown,636.8007540391293
BMI_Severe Obesity,-628.7282587941874
Health Insurance_Other,-622.7631321847737
Received Substance Use or Mental Health Treatment (any past year),605.8918237395437
Felt Tired/Low Energy (nearly every day),-603.0468233764177
Health Insurance_Uninsured,553.1682011356654
Employment Status_Employed full time,-545.5873585816419
BMI_Overweight,-530.9313608832203
Health Insurance_Medicare,493.7300476991374
Employment Status_Unemployed,449.19310704829707
Heavy Alcohol Use (any past month),-396.64123437938366
BMI_Underweight,-382.20869867604927
Race_NonHisp more than,379.94541486138485
Cocaine Use Disorder (any past year),356.5558996467761
Poverty_Income More Than 2X Fed Pov Thresh,333.0925680537938
Health Insurance_Private plan,-307.37865485502596
Employment Status_Other,-304.77037092018844
Marijuana Use Disorder (any past year),-304.3039229292355
Marital Status_Widowed,-300.40791082347585
BMI_Healthy,285.7517497732062
"Family Income_Less than $20,000",274.03163686579313
Poverty_Income Up to 2X Fed Pov Thresh,-242.15687785633858
Binge Alcohol Use (any past month),-239.11925672998566
Marital Status_Married,-229.30624093654933
Race_NonHisp Native Am/AK Native,-224.61332922900493
Race_NonHisp Black/Afr Am,220.77161662871325
Year,202.20940572324926
Difficulty in Work Response (any past year),191.45968226870835
Employment Status_Employed part time,-186.7154597749532
Race_Hispanic,181.723551353114
"Family Income_$50,000 - $74,999",-173.86657045894248
Gender_Female,172.1311558771627
Urban Residence_Nonmetropolitan,170.5401428573478
Oxycontin Use (any past year),-149.82276981283277
Alcohol Use Disorder (any past year),127.50802526003373
Race_NonHisp White,116.91916274574048
Marital Status_Divorced or Separated,-101.59185326162167
Race_NonHisp Asian,-98.53090130971623
Education_Some coll/Assoc Dg,81.56017956461052
"Family Income_$20,000 - $49,999",55.71159290014625
Drug or Alcohol Use Disorder (any past year),-50.62574321880695
Drug Use Disorder (any past year),-45.387104777800644
Education_Less high school,43.572310388899574
Marital Status_Never Been Married,43.45322657170893
Urban Residence_Small Metropolitan,-32.203268060294135
BMI_Obesity,31.186350666433743
Education_College graduate,-2.6664414013925164
Serious Psychological Distress (any past month),2.4620777490572587
