,coefficient
Felt Worthless (nearly every day),478.5569764570555
Marital Status_Widowed,-374.43023278698917
Received Substance Use or Mental Health Treatment (any past year),320.326246455306
Health Insurance_Medicare,318.67486673450685
Marital Status_Divorced or Separated,293.3388494465545
Heavy Alcohol Use (any past month),283.3358816128755
Inhalant Use Disorder (any past year),275.9529292995291
Felt Tired/Low Energy (nearly every day),-272.7361866283559
Serious Psychological Distress (any past month),256.03833599971534
Health Insurance_Other,-253.03079486034378
Oxycontin Use (any past year),-252.947993931421
Sedative Use w/o RX (any past year),244.30666060426606
Major Depressive Episode (any past year),233.59745730612372
Race_NonHisp Native HI/Other Pac Isl,-222.97788878546532
Cocaine Use Disorder (any past year),-218.89787829738106
"Family Income_$75,000 or More",-195.96173296464946
Difficulty in Work Response (any past year),-182.81419120858752
BMI_Obesity,-166.81808559207306
BMI_Unknown,147.08636507481089
Marijuana Use Disorder (any past year),144.19529016190353
"Family Income_Less than $20,000",142.2897787402976
Hallucinogen Use Disorder (any past year),140.28005518189818
Education_High school grad,138.63378160088965
Stimulant Use w/o RX (any past year),-132.10224904683065
Alcohol Use Disorder (any past year),119.11613461663444
Gender_Male,-112.63834944448655
Race_NonHisp more than,99.40324343031344
Binge Alcohol Use (any past month),98.20384940252909
"Family Income_$20,000 - $49,999",97.12800174153281
Heroin Use Disorder (any past year),96.89037208846352
Urban Residence_Large Metropolitan,95.91431752442259
BMI_Overweight,-93.61368641708071
Education_Some coll/Assoc Dg,-91.46502618537133
Marital Status_Married,91.4607970947917
Drug or Alcohol Use Disorder (any past year),-85.087850512228
Race_NonHisp Native Am/AK Native,84.49508457787668
Poverty_Income More Than 2X Fed Pov Thresh,-83.92726837600098
"Family Income_$50,000 - $74,999",-82.92936383843579
Urban Residence_Nonmetropolitan,-82.26355908375739
Gender_Female,73.2197941986651
BMI_Underweight,72.56074936450788
Poverty_Living in Poverty,66.94554695431302
Employment Status_Employed full time,-65.85223217316175
Education_Less high school,-59.623799409948624
Year,55.40443043271189
Health Insurance_Private plan,-54.26818372070318
Drug Use Disorder (any past year),53.91031477751821
Urban Residence_Small Metropolitan,-53.07519498851148
BMI_Severe Obesity,52.67266072945182
BMI_Healthy,-51.38733443858372
Marital Status_Never Been Married,-50.463882109886235
Race_NonHisp White,-46.95927320506474
Health Insurance_Uninsured,-44.284722277177764
Serious Psychological Distress (any past year),-39.32806395227671
Age_26-34 Years Old,-39.32806395227671
Employment Status_Other,37.11247945861559
Education_College graduate,-26.932613475114064
Employment Status_Employed part time,-23.30776746669693
Race_Hispanic,22.954549096469055
Poverty_Income Up to 2X Fed Pov Thresh,-22.435924871708025
Race_NonHisp Black/Afr Am,13.199721600383366
Employment Status_Unemployed,12.6068188836131
Race_NonHisp Asian,10.410769971178684
Health Insurance_Medicaid/CHIP,-6.428133604748148
Age_35-49 Years Old,0.0
Age_18-25 Years Old,0.0
Age_65 or Older,0.0
Age_50-64 Years Old,0.0
