,coefficient
Hallucinogen Use Disorder (any past year),729.0632318825012
Felt Worthless (nearly every day),615.0688821325202
Race_NonHisp Native Am/AK Native,-459.2354086361245
"Family Income_Less than $20,000",377.5995835913492
Received Substance Use or Mental Health Treatment (any past year),326.39462169676574
Marijuana Use Disorder (any past year),322.4357177437313
Gender_Male,312.4450894965716
Health Insurance_Medicaid/CHIP,304.5083275093587
Difficulty in Work Response (any past year),289.1939334270482
BMI_Healthy,276.12811062751854
Heavy Alcohol Use (any past month),-272.5539368876205
Drug Use Disorder (any past year),251.96783936691588
Gender_Female,-240.58042758375043
Race_NonHisp more than,232.54926007171773
"Family Income_$50,000 - $74,999",-224.734371680644
BMI_Underweight,-222.2855615145231
"Family Income_$75,000 or More",-199.27909898769477
Health Insurance_Other,-196.57705680740423
Inhalant Use Disorder (any past year),-189.12874407816045
Race_NonHisp Asian,186.92049581027885
Urban Residence_Nonmetropolitan,185.76849584869206
Health Insurance_Medicare,-171.3528114000849
Cocaine Use Disorder (any past year),163.42510587058496
Marital Status_Divorced or Separated,-151.92434957438147
Education_Some coll/Assoc Dg,136.62129766939952
Education_College graduate,-131.76637121940473
Health Insurance_Uninsured,130.8625254620192
Drug or Alcohol Use Disorder (any past year),-127.7188527243322
Education_High school grad,125.92802474581683
"Family Income_$20,000 - $49,999",118.20880997776865
BMI_Overweight,-117.646272867675
Race_Hispanic,113.41124462600804
Marital Status_Married,111.25611600144869
Major Depressive Episode (any past year),111.116173701863
Binge Alcohol Use (any past month),-103.24618731670276
Race_NonHisp Black/Afr Am,-95.08448647320772
Alcohol Use Disorder (any past year),-92.69049796082282
Employment Status_Unemployed,86.6980881299218
Heroin Use Disorder (any past year),-85.44403524238281
Marital Status_Never Been Married,83.63542616020617
Employment Status_Employed full time,-79.26878550920858
Employment Status_Employed part time,77.15465414671694
Age_50-64 Years Old,71.8483800915313
Urban Residence_Small Metropolitan,-66.56896614328221
BMI_Obesity,65.01578461147415
Race_NonHisp White,60.13640669401947
Education_Less high school,-58.887679511679075
Poverty_Income More Than 2X Fed Pov Thresh,58.785080130119496
Urban Residence_Large Metropolitan,-47.39941570799231
Felt Tired/Low Energy (nearly every day),46.91146393197744
BMI_Unknown,43.58804191466621
Race_NonHisp Native HI/Other Pac Isl,33.0233258260036
Poverty_Income Up to 2X Fed Pov Thresh,29.547220296146687
Marital Status_Widowed,28.787649659970505
BMI_Severe Obesity,27.106053233324744
Oxycontin Use (any past year),-18.349855316177692
Poverty_Living in Poverty,-16.66294723142225
Year,-13.704121832470596
Employment Status_Other,-12.649381847062987
Sedative Use w/o RX (any past year),-10.234453177106209
Health Insurance_Private plan,4.324930447548914
Stimulant Use w/o RX (any past year),1.3600232799637748
Serious Psychological Distress (any past year),0.0
Serious Psychological Distress (any past month),0.0
Age_35-49 Years Old,0.0
Age_26-34 Years Old,0.0
Age_18-25 Years Old,0.0
Age_65 or Older,0.0
