,coefficient
Health Insurance_Uninsured,171.5401207235319
Marital Status_Divorced or Separated,161.67476615385073
Felt Tired/Low Energy (nearly every day),148.35322634133317
Year,136.93633516898362
Race_NonHisp White,133.51063265046642
BMI_Obesity,119.65960623660612
Major Depressive Episode (any past year),106.99053151610089
Employment Status_Other,106.05915245844075
Race_Hispanic,-99.57462499999617
Health Insurance_Medicaid/CHIP,96.83684308020734
Urban Residence_Small Metropolitan,-95.33707389039552
Drug or Alcohol Use Disorder (any past year),93.86546285923652
Health Insurance_Other,-93.17535003060664
"Family Income_$20,000 - $49,999",-92.75972404264287
Marital Status_Married,-92.69318364062613
Health Insurance_Private plan,-88.69957643994796
Gender_Male,84.42743867334858
BMI_Overweight,-83.4720722541229
Urban Residence_Nonmetropolitan,82.22607752375113
BMI_Underweight,-78.91775553096024
Urban Residence_Large Metropolitan,68.7491224594511
Employment Status_Employed part time,-63.598357616362364
"Family Income_$50,000 - $74,999",62.69739543338999
Education_Less high school,61.96964921843235
Felt Worthless (nearly every day),60.06927118539752
"Family Income_Less than $20,000",57.4038235152501
Age_65 or Older,55.327077795215494
BMI_Unknown,49.029195592968215
Alcohol Use Disorder (any past year),47.292944141763506
BMI_Healthy,43.49233547206113
Binge Alcohol Use (any past month),42.50014201493654
Received Substance Use or Mental Health Treatment (any past year),40.813154303675454
Poverty_Living in Poverty,37.72177247524489
Difficulty in Work Response (any past year),34.96336783882493
Race_NonHisp Asian,34.76684842488453
Education_High school grad,-33.92112925434729
Education_Some coll/Assoc Dg,30.70640935679733
Health Insurance_Medicare,-30.38738034392695
Gender_Female,-29.13642264584889
"Family Income_$75,000 or More",28.02898782450613
Drug Use Disorder (any past year),27.029496956841186
Poverty_Income More Than 2X Fed Pov Thresh,15.249373826950276
Employment Status_Unemployed,14.97527147005755
Marital Status_Widowed,-14.790851991222773
Heavy Alcohol Use (any past month),14.30204539986757
Marijuana Use Disorder (any past year),-11.58224607715678
Oxycontin Use (any past year),8.322166577791672
Race_NonHisp Black/Afr Am,-8.062253200931098
Sedative Use w/o RX (any past year),7.378020530570603
Race_NonHisp more than,-4.969303624759621
BMI_Severe Obesity,4.63756307272405
Education_College graduate,-3.1240936791821747
Poverty_Income Up to 2X Fed Pov Thresh,2.6920958194674123
Employment Status_Employed full time,-2.4538539644792925
Marital Status_Never Been Married,1.4721494565617772
Hallucinogen Use Disorder (any past year),1.0614909608333638
Race_NonHisp Native Am/AK Native,0.6821784399384483
Race_NonHisp Native HI/Other Pac Isl,-0.6749193298074389
Serious Psychological Distress (any past year),0.0
Serious Psychological Distress (any past month),0.0
Age_35-49 Years Old,0.0
Age_26-34 Years Old,0.0
Age_18-25 Years Old,0.0
Age_50-64 Years Old,0.0
Heroin Use Disorder (any past year),0.0
Cocaine Use Disorder (any past year),0.0
Stimulant Use w/o RX (any past year),0.0
Inhalant Use Disorder (any past year),0.0
