,coefficient
Race_NonHisp more than,2175.96203905013
"Family Income_Less than $20,000",1756.6014441704947
Alcohol Use Disorder (any past year),1562.551863494124
Health Insurance_Uninsured,1529.542347174458
Cocaine Use Disorder (any past year),1384.5267530814363
Felt Worthless (nearly every day),1316.7993345346076
Drug or Alcohol Use Disorder (any past year),-1181.9891617657422
Stimulant Use w/o RX (any past year),-1106.6294585517849
Marital Status_Divorced or Separated,1053.5241726745853
Race_NonHisp Black/Afr Am,-966.7519331733471
Heroin Use Disorder (any past year),-936.5148099579163
"Family Income_$75,000 or More",-932.7018878187719
BMI_Healthy,905.5400835071091
Difficulty in Work Response (any past year),902.5958036728914
Drug Use Disorder (any past year),859.4888075884733
Gender_Male,840.9291666288773
Urban Residence_Large Metropolitan,-822.9151495053876
Health Insurance_Other,-768.2785377803347
Urban Residence_Nonmetropolitan,766.1956287906307
Major Depressive Episode (any past year),764.8277036654968
Race_NonHisp Asian,-734.079793022243
Race_NonHisp Native Am/AK Native,-701.4130655970929
Poverty_Living in Poverty,-698.8019378375382
Education_Less high school,660.4359743138319
Poverty_Income Up to 2X Fed Pov Thresh,650.2055127786286
Serious Psychological Distress (any past month),646.0648236724402
Race_Hispanic,644.2141732281788
Marital Status_Never Been Married,-634.8779345892397
Received Substance Use or Mental Health Treatment (any past year),563.3484086214025
Hallucinogen Use Disorder (any past year),-550.2086611830085
Urban Residence_Small Metropolitan,531.4743851625282
Poverty_Income More Than 2X Fed Pov Thresh,523.35234931053
Health Insurance_Medicaid/CHIP,-520.4436099113232
Serious Psychological Distress (any past year),474.7443857395084
Age_65 or Older,474.7443857395084
Employment Status_Other,453.66198046565574
BMI_Severe Obesity,-436.2166051120762
Employment Status_Employed full time,-393.2782966139418
BMI_Underweight,387.2768364019239
Gender_Female,-366.19190734275
Marijuana Use Disorder (any past year),-363.04351285183895
Sedative Use w/o RX (any past year),-357.4566564468049
Race_NonHisp White,355.7215466739786
Health Insurance_Medicare,332.14390000054607
Race_NonHisp Native HI/Other Pac Isl,-297.43716628986243
Employment Status_Employed part time,266.74630857316015
Inhalant Use Disorder (any past year),-266.1713052177853
"Family Income_$50,000 - $74,999",-259.14054040988424
Year,-224.91639332471163
BMI_Obesity,-174.69445084318997
BMI_Overweight,-161.96745663124284
Felt Tired/Low Energy (nearly every day),-161.08957205555498
Marital Status_Widowed,158.8529915796317
Employment Status_Unemployed,147.4225882106933
Heavy Alcohol Use (any past month),-145.67464839972735
Education_Some coll/Assoc Dg,-103.48847301604279
Marital Status_Married,-102.75837855131974
Health Insurance_Private plan,-97.78373904474056
Education_College graduate,-91.78053289462746
"Family Income_$20,000 - $49,999",-89.4331008520945
BMI_Unknown,-44.93454210677621
Binge Alcohol Use (any past month),-9.651679096896078
Education_High school grad,9.538984046268663
Oxycontin Use (any past year),3.6251867372612097
Age_35-49 Years Old,0.0
Age_26-34 Years Old,0.0
Age_18-25 Years Old,0.0
Age_50-64 Years Old,0.0
