,coefficient
Age_50-64 Years Old,-246.96825245770538
Serious Psychological Distress (any past year),194.7668905188771
Employment Status_Employed part time,183.33606987776776
Heroin Use Disorder (any past year),162.39582696593473
Race_NonHisp White,-160.36087554085515
Race_NonHisp Asian,157.95297431686984
Age_65 or Older,151.87359390245504
Year,-150.88868773623363
Sedative Use w/o RX (any past year),147.51651359457017
Felt Worthless (nearly every day),144.48491014504393
Serious Psychological Distress (any past month),141.7691457704413
Employment Status_Other,-141.0330553556309
Marijuana Use Disorder (any past year),-138.74552046857346
Received Substance Use or Mental Health Treatment (any past year),134.85434615234246
Poverty_Income More Than 2X Fed Pov Thresh,134.8222034841811
Marital Status_Never Been Married,108.21727943454013
Urban Residence_Nonmetropolitan,106.88429734265141
Education_Some coll/Assoc Dg,104.55901501153885
Major Depressive Episode (any past year),-103.9893967818158
Health Insurance_Uninsured,87.91719360905586
Age_26-34 Years Old,85.52182838381555
Stimulant Use w/o RX (any past year),81.74677854190745
Inhalant Use Disorder (any past year),77.40638787824476
Education_College graduate,-70.18110115421497
Cocaine Use Disorder (any past year),-66.416360165728
Health Insurance_Private plan,65.82078014544052
Age_18-25 Years Old,62.56279935230278
Race_NonHisp more than,60.678649899271285
Poverty_Living in Poverty,-60.206231520830535
Difficulty in Work Response (any past year),59.71769071021274
"Family Income_$50,000 - $74,999",57.81392497883283
Urban Residence_Small Metropolitan,-57.4328402406605
Marital Status_Married,56.058803768934176
Gender_Female,53.42358802871487
Employment Status_Employed full time,52.117016489950984
Marital Status_Widowed,-51.034618860614785
Drug or Alcohol Use Disorder (any past year),-49.88484541966622
Health Insurance_Other,-45.52806598007847
Marital Status_Divorced or Separated,-39.69307552670953
Heavy Alcohol Use (any past month),36.82378370125905
Alcohol Use Disorder (any past year),34.52280861224057
Felt Tired/Low Energy (nearly every day),34.33439441188044
Drug Use Disorder (any past year),-24.51992643592772
Education_Less high school,24.44834574346149
Urban Residence_Large Metropolitan,24.103093656084248
Health Insurance_Medicare,-23.112231293874032
"Family Income_$20,000 - $49,999",21.894005331413524
Employment Status_Unemployed,-20.946396060952413
Age_35-49 Years Old,20.41492557886238
Gender_Male,20.127734092620027
"Family Income_$75,000 or More",-17.330445463044935
Race_NonHisp Black/Afr Am,16.759431631550672
Education_High school grad,14.681824061962914
Race_Hispanic,-12.83651407534076
Hallucinogen Use Disorder (any past year),12.806971673376154
Race_NonHisp Native Am/AK Native,12.677704584329259
Health Insurance_Medicaid/CHIP,-11.597587812404372
"Family Income_Less than $20,000",11.154266705882801
Oxycontin Use (any past year),8.392619162660448
Binge Alcohol Use (any past month),-2.6019871090725295
Race_NonHisp Native HI/Other Pac Isl,-1.2692271690258743
Poverty_Income Up to 2X Fed Pov Thresh,-1.025846661799052
