,coefficient
Major Depressive Episode (any past year),459.937578587281
Year,417.41733123422017
Felt Worthless (nearly every day),329.8367737500113
Age_65 or Older,-306.75643917761465
Oxycontin Use (any past year),296.2310384910777
Urban Residence_Nonmetropolitan,-240.33303406419358
Employment Status_Other,-233.37382961690165
Marital Status_Married,-220.79715968478854
Education_College graduate,209.4023338361542
Education_High school grad,-208.0603040470298
Poverty_Income More Than 2X Fed Pov Thresh,204.70558895438708
Serious Psychological Distress (any past year),196.3865077359954
Health Insurance_Other,194.60433577665097
Race_NonHisp White,-177.17534834076335
Race_NonHisp Asian,-165.52661466514002
Poverty_Income Up to 2X Fed Pov Thresh,-163.43431386902972
Urban Residence_Small Metropolitan,161.89567210170216
Age_50-64 Years Old,159.47540911418028
Health Insurance_Private plan,-157.61502469482184
Stimulant Use w/o RX (any past year),-154.4304444657351
Marijuana Use Disorder (any past year),145.31294653263103
Gender_Male,141.67622097364432
Age_26-34 Years Old,139.40335837397302
Employment Status_Employed full time,139.14904377509004
Marital Status_Never Been Married,135.2359460056464
Race_NonHisp more than,134.69215271516853
Gender_Female,-128.7204735151088
Serious Psychological Distress (any past month),124.42971618356535
Felt Tired/Low Energy (nearly every day),-120.60509446899376
Marital Status_Divorced or Separated,118.67111873591357
Hallucinogen Use Disorder (any past year),117.87458810221975
"Family Income_$50,000 - $74,999",112.72186558192327
"Family Income_$75,000 or More",-110.54287315358903
Employment Status_Unemployed,104.94098337514615
Alcohol Use Disorder (any past year),-102.24025005367426
"Family Income_$20,000 - $49,999",100.80216718136239
Urban Residence_Large Metropolitan,91.13636180295836
"Family Income_Less than $20,000",-90.11272768190895
Drug Use Disorder (any past year),-82.85859066420497
Inhalant Use Disorder (any past year),79.65245375419107
Age_18-25 Years Old,79.50032761986809
Heroin Use Disorder (any past year),77.13044386023934
Cocaine Use Disorder (any past year),72.06811636058265
Race_NonHisp Native HI/Other Pac Isl,71.66922108855213
Race_NonHisp Black/Afr Am,64.92654067390764
Age_35-49 Years Old,-58.78656012175365
Race_NonHisp Native Am/AK Native,56.97910502821461
Education_Some coll/Assoc Dg,49.16285636860952
Difficulty in Work Response (any past year),-45.40948908501137
Education_Less high school,-37.45749176883946
Received Substance Use or Mental Health Treatment (any past year),-35.76850187790365
Sedative Use w/o RX (any past year),31.00241852264634
Poverty_Living in Poverty,-28.26210443453825
Race_Hispanic,26.9338240667703
Binge Alcohol Use (any past month),-26.05537498095073
Health Insurance_Medicaid/CHIP,-25.88735168694946
Marital Status_Widowed,-20.246257426890573
Heavy Alcohol Use (any past month),-17.070790718254397
Health Insurance_Uninsured,17.046750642688533
Health Insurance_Medicare,-15.11204075033375
Drug or Alcohol Use Disorder (any past year),6.049169353485881
Employment Status_Employed part time,2.2250472567874686
