,coefficient
Education_Less high school,779.6946244156151
Felt Worthless (nearly every day),569.1279191330032
Drug Use Disorder (any past year),512.0243711559204
Education_High school grad,-511.962547783385
Age_50-64 Years Old,501.1015446395807
Employment Status_Other,476.2682008402199
Marital Status_Widowed,-436.3845985545911
Major Depressive Episode (any past year),421.52612281441463
Serious Psychological Distress (any past year),419.33603937873994
Drug or Alcohol Use Disorder (any past year),392.28657570143685
Employment Status_Employed full time,-370.7411991666595
Age_65 or Older,-361.7509602838229
Difficulty in Work Response (any past year),357.267623574245
Education_College graduate,-305.0934180846135
Health Insurance_Private plan,294.5494122929614
Age_26-34 Years Old,-293.0017433555408
Urban Residence_Large Metropolitan,-275.4201530870084
Felt Tired/Low Energy (nearly every day),269.17668710412715
Marital Status_Married,268.94612287909234
Heavy Alcohol Use (any past month),267.3892084898279
Urban Residence_Nonmetropolitan,257.21351489395886
Poverty_Living in Poverty,-255.66245618653318
"Family Income_$75,000 or More",-227.6253288623919
Employment Status_Employed part time,-218.29144302688874
Marijuana Use Disorder (any past year),204.6285348868866
Health Insurance_Uninsured,-190.44922514966123
Health Insurance_Medicaid/CHIP,-185.75210599013238
Gender_Female,-166.8957316001047
"Family Income_$50,000 - $74,999",159.7374556223035
"Family Income_Less than $20,000",-156.54694731162408
Hallucinogen Use Disorder (any past year),150.82363029095237
Alcohol Use Disorder (any past year),150.75057830198136
Received Substance Use or Mental Health Treatment (any past year),129.98658862966718
Poverty_Income More Than 2X Fed Pov Thresh,124.41552509221262
Urban Residence_Small Metropolitan,-123.95507127388531
Education_Some coll/Assoc Dg,-104.61708214026031
Race_NonHisp White,-104.46295175789162
Race_NonHisp Asian,-97.9078206763923
Serious Psychological Distress (any past month),96.50458749150957
Heroin Use Disorder (any past year),-95.33142510853546
Marital Status_Divorced or Separated,94.2267465346336
"Family Income_$20,000 - $49,999",82.70774450485028
Cocaine Use Disorder (any past year),77.33786012799304
Marital Status_Never Been Married,-68.77954799609543
Race_Hispanic,68.34871755324968
Sedative Use w/o RX (any past year),65.34381704833054
Inhalant Use Disorder (any past year),62.21123982175041
Health Insurance_Medicare,-48.21103742952768
Race_NonHisp more than,-46.1709836243686
Employment Status_Unemployed,-29.20597262458502
Stimulant Use w/o RX (any past year),-27.31751266479564
Age_18-25 Years Old,26.75520810419483
Race_NonHisp Black/Afr Am,25.384541895249267
Race_NonHisp Native Am/AK Native,25.091145253973547
Gender_Male,24.881225757870126
Year,21.50550277802803
Age_35-49 Years Old,-15.338993094533787
Oxycontin Use (any past year),-15.118795533214957
Race_NonHisp Native HI/Other Pac Isl,-12.754179099903926
Binge Alcohol Use (any past month),12.46682158848196
Health Insurance_Other,-12.186159888892094
Poverty_Income Up to 2X Fed Pov Thresh,-10.736617098357232
