,coefficient
Difficulty in Work Response (any past year),179.90176622191586
Major Depressive Episode (any past year),142.62509004727087
Felt Worthless (nearly every day),136.13753802139243
Oxycontin Use (any past year),-127.54741058364657
Hallucinogen Use Disorder (any past year),107.02389912140329
Employment Status_Other,-106.0635741222445
Health Insurance_Uninsured,-105.24952908458556
Employment Status_Employed full time,104.69904518559999
Marital Status_Divorced or Separated,100.69432421873978
Health Insurance_Medicare,97.18361398220705
Poverty_Income Up to 2X Fed Pov Thresh,-95.34941713049929
"Family Income_$20,000 - $49,999",95.33836645887688
Race_Hispanic,93.93525821233979
Education_High school grad,90.79528280777208
Poverty_Income More Than 2X Fed Pov Thresh,88.90219233838228
Age_18-25 Years Old,88.37148292271573
Race_NonHisp Black/Afr Am,-86.91816201329846
Race_NonHisp Native HI/Other Pac Isl,85.53716338263533
Employment Status_Unemployed,85.25837775851602
Age_50-64 Years Old,-76.86820129617051
Poverty_Living in Poverty,75.34730138832751
Gender_Male,75.16981605206786
Urban Residence_Nonmetropolitan,-72.30014102020297
Urban Residence_Small Metropolitan,71.14139935212515
Urban Residence_Large Metropolitan,69.98881357606419
BMI_Healthy,68.78191833402579
"Family Income_$75,000 or More",-65.97666055154035
Sedative Use w/o RX (any past year),57.99410913219574
Marital Status_Never Been Married,53.20796366308593
Marital Status_Widowed,-51.65428440836083
Health Insurance_Other,45.9102340276736
Education_Less high school,-42.27369858168819
Race_NonHisp Asian,-42.01722017850319
Race_NonHisp more than,39.51069387339667
Age_26-34 Years Old,38.760329547004005
Heroin Use Disorder (any past year),37.72766571409072
Inhalant Use Disorder (any past year),37.078161797424876
Stimulant Use w/o RX (any past year),34.286106676651734
Marital Status_Married,-33.30847883305524
Cocaine Use Disorder (any past year),32.80035084236
Drug Use Disorder (any past year),28.64475108901547
"Family Income_Less than $20,000",27.608184227407556
Felt Tired/Low Energy (nearly every day),-26.028449453504972
Health Insurance_Medicaid/CHIP,25.01670076142557
Received Substance Use or Mental Health Treatment (any past year),-24.060491545539097
Alcohol Use Disorder (any past year),-22.874795936119426
Race_NonHisp White,-19.98947624748422
Education_Some coll/Assoc Dg,18.672322655618334
Binge Alcohol Use (any past month),15.800172206421747
Employment Status_Employed part time,-15.31004565011244
Age_35-49 Years Old,14.995970302782172
Heavy Alcohol Use (any past month),-14.170808482289141
"Family Income_$50,000 - $74,999",11.821806547257811
Year,-8.078442131277601
Gender_Female,-6.353356769566328
Health Insurance_Private plan,5.821924902250895
Marijuana Use Disorder (any past year),4.811695421317723
Drug or Alcohol Use Disorder (any past year),3.9036799711956194
Age_65 or Older,3.6893867021297515
Education_College graduate,1.4965786451796328
Race_NonHisp Native Am/AK Native,-1.4303693531794341
Serious Psychological Distress (any past month),0.0
Serious Psychological Distress (any past year),0.0
BMI_Obesity,0.0
BMI_Overweight,0.0
BMI_Severe Obesity,0.0
BMI_Underweight,0.0
BMI_Unknown,0.0
