,coefficient
Major Depressive Episode (any past year),297.68206867977597
Health Insurance_Medicare,-272.1909515280457
Age_50-64 Years Old,-227.40940782793726
Age_35-49 Years Old,-220.41887315496703
Health Insurance_Other,210.5583796694767
Serious Psychological Distress (any past month),210.01630836734353
Marital Status_Never Been Married,-204.8915175177039
Age_26-34 Years Old,204.36847552294373
Marital Status_Married,198.21883556968535
"Family Income_Less than $20,000",193.66586648928356
Marijuana Use Disorder (any past year),165.96860576431715
Received Substance Use or Mental Health Treatment (any past year),163.28131028164685
Age_18-25 Years Old,162.84664426188925
Education_Less high school,144.7418526899519
Alcohol Use Disorder (any past year),137.26362519985105
Difficulty in Work Response (any past year),-130.5321977387853
"Family Income_$50,000 - $74,999",-121.02974242191367
Health Insurance_Private plan,118.53732074512452
Poverty_Income Up to 2X Fed Pov Thresh,-117.30984244875991
Hallucinogen Use Disorder (any past year),113.1443366944777
Employment Status_Employed full time,-106.78958541907384
Drug Use Disorder (any past year),104.0956679709241
Race_NonHisp Asian,-103.89290288989939
Poverty_Income More Than 2X Fed Pov Thresh,93.0866257397266
Binge Alcohol Use (any past month),-91.2414065724568
Education_High school grad,-85.52223481969496
Marital Status_Widowed,-85.39985482617305
Health Insurance_Medicaid/CHIP,-84.07257402449673
Marital Status_Divorced or Separated,79.6807328163372
Year,74.21709979391818
Employment Status_Unemployed,72.51798240467738
"Family Income_$75,000 or More",-70.08623584185888
Age_65 or Older,68.28408564244937
Race_NonHisp Black/Afr Am,66.37043625610295
Education_Some coll/Assoc Dg,-62.79304350522472
Felt Worthless (nearly every day),56.67058455836613
Race_NonHisp more than,-51.90168549570513
Employment Status_Employed part time,46.2883540744046
Sedative Use w/o RX (any past year),45.81056192485214
Stimulant Use w/o RX (any past year),45.307129174316955
Inhalant Use Disorder (any past year),-44.738746397109615
Race_NonHisp White,41.20197519544933
Urban Residence_Small Metropolitan,-37.50108839386719
Felt Tired/Low Energy (nearly every day),36.046235884334806
Race_Hispanic,33.9363306928091
Heavy Alcohol Use (any past month),32.85845068249198
Race_NonHisp Native Am/AK Native,30.691628842586603
Gender_Male,-30.281547286079835
Race_NonHisp Native HI/Other Pac Isl,-29.219705562217438
Oxycontin Use (any past year),-24.598938961459115
Employment Status_Other,-24.454858634027918
Heroin Use Disorder (any past year),23.19715919971414
Urban Residence_Large Metropolitan,18.215200997767734
Gender_Female,17.76402554632437
"Family Income_$20,000 - $49,999",-14.771456269496282
Health Insurance_Uninsured,14.574039064552517
BMI_Healthy,-12.544957195175655
Serious Psychological Distress (any past year),-12.544957195175655
Poverty_Living in Poverty,11.729985033987948
Drug or Alcohol Use Disorder (any past year),-10.169490244971264
Education_College graduate,-8.79294460188935
Urban Residence_Nonmetropolitan,6.778633234479112
Cocaine Use Disorder (any past year),-3.680162986560819
BMI_Obesity,0.0
BMI_Overweight,0.0
BMI_Severe Obesity,0.0
BMI_Underweight,0.0
BMI_Unknown,0.0
