,coefficient
Felt Worthless (nearly every day),306.436242082102
Sedative Use w/o RX (any past year),283.31188366085826
Race_NonHisp Native HI/Other Pac Isl,-264.3964996020049
Marital Status_Widowed,-257.07378543815173
Received Substance Use or Mental Health Treatment (any past year),255.07869201900374
Major Depressive Episode (any past year),247.5581021967576
Hallucinogen Use Disorder (any past year),226.7058947488613
Race_Hispanic,205.77662774980706
Marital Status_Never Been Married,200.89933581732245
Employment Status_Employed full time,-188.9563206352743
Age_50-64 Years Old,-172.82809933727958
Race_NonHisp Black/Afr Am,165.55894612086755
Marital Status_Married,163.7599249164843
"Family Income_$50,000 - $74,999",-152.74009825438378
Felt Tired/Low Energy (nearly every day),-141.50538755513517
Education_Less high school,-139.15001222247835
Marijuana Use Disorder (any past year),131.76514470606296
Drug Use Disorder (any past year),-131.3472163206828
Inhalant Use Disorder (any past year),130.39419019334605
"Family Income_$20,000 - $49,999",123.04195946004106
Heavy Alcohol Use (any past month),119.92736740896675
Urban Residence_Large Metropolitan,-112.54459411193368
Employment Status_Other,104.97881642656887
Poverty_Living in Poverty,-102.49979044931536
Binge Alcohol Use (any past month),100.47950454039407
Marital Status_Divorced or Separated,-100.35697204047707
Age_18-25 Years Old,98.30603208954534
Education_College graduate,98.05594988506958
Race_NonHisp more than,-94.01168340565593
Cocaine Use Disorder (any past year),91.91056792214637
Health Insurance_Medicare,87.7575365492595
Year,-79.53942330392023
Health Insurance_Medicaid/CHIP,-76.63529144269938
Age_65 or Older,76.47881481154141
Difficulty in Work Response (any past year),-75.70091296449006
Health Insurance_Uninsured,-70.38815337356033
Poverty_Income Up to 2X Fed Pov Thresh,68.40153859782322
Urban Residence_Small Metropolitan,66.8326732938355
Race_NonHisp Asian,-66.62030239274048
Age_26-34 Years Old,63.603879495155184
Age_35-49 Years Old,-58.40332278236747
"Family Income_Less than $20,000",56.00027144133744
Urban Residence_Nonmetropolitan,53.048428804976055
Race_NonHisp Native Am/AK Native,50.17418053698475
Employment Status_Unemployed,49.83490768591394
Drug or Alcohol Use Disorder (any past year),-47.0539698254648
Health Insurance_Private plan,44.64923678582842
Oxycontin Use (any past year),42.736845550438254
Employment Status_Employed part time,41.571679754625656
Poverty_Income More Than 2X Fed Pov Thresh,41.495694931950354
Heroin Use Disorder (any past year),41.09837832281117
Alcohol Use Disorder (any past year),25.796045540819357
Education_High school grad,25.600057675266097
Education_Some coll/Assoc Dg,22.786981154099806
Health Insurance_Other,22.02716185918348
"Family Income_$75,000 or More",-18.976324812817115
Stimulant Use w/o RX (any past year),15.221583395116486
Gender_Female,11.879678179540853
Race_NonHisp White,10.670286298422603
BMI_Obesity,7.389306970515407
Gender_Male,-4.4746885470833115
Serious Psychological Distress (any past month),0.0
Serious Psychological Distress (any past year),0.0
BMI_Healthy,0.0
BMI_Overweight,0.0
BMI_Severe Obesity,0.0
BMI_Underweight,0.0
BMI_Unknown,0.0
