,coefficient
Felt Tired/Low Energy (nearly every day),-280.2249738886313
Employment Status_Employed full time,-189.42486544640056
Major Depressive Episode (any past year),187.80941741808851
Felt Worthless (nearly every day),183.60711577041732
"Family Income_Less than $20,000",176.90459666297883
"Family Income_$75,000 or More",-166.77866609282574
Gender_Female,-155.34702666098588
Received Substance Use or Mental Health Treatment (any past year),154.61533798689786
Health Insurance_Medicare,-151.76439166912206
Oxycontin Use (any past year),147.69432487657446
Cocaine Use Disorder (any past year),146.81884670999077
Poverty_Living in Poverty,-140.68582053539674
Difficulty in Work Response (any past year),-133.4278476149805
Poverty_Income More Than 2X Fed Pov Thresh,132.74545802616205
Race_NonHisp Black/Afr Am,-120.35955176988101
Race_NonHisp more than,114.10111638477046
Gender_Male,112.362296400505
Age_50-64 Years Old,-109.84183966260731
Marital Status_Widowed,-100.35404952714231
Race_NonHisp White,-88.63968978879744
Employment Status_Other,86.61709285385038
Marital Status_Never Been Married,-85.19193014248552
Marital Status_Divorced or Separated,78.35889191181306
Drug Use Disorder (any past year),73.85966474801423
Age_35-49 Years Old,71.68237222859894
Age_26-34 Years Old,-64.4532553676417
Marital Status_Married,63.96375909132177
Serious Psychological Distress (any past month),59.10123071028256
Employment Status_Unemployed,56.664043132024645
Urban Residence_Nonmetropolitan,-54.49678342972021
Inhalant Use Disorder (any past year),-52.71255358699034
Health Insurance_Other,52.139525797521664
Sedative Use w/o RX (any past year),51.07566428019357
Health Insurance_Medicaid/CHIP,50.217423912428856
Race_Hispanic,47.80267166386781
Education_Less high school,-45.722930039788565
Serious Psychological Distress (any past year),-43.0397044650492
BMI_Obesity,-43.0397044650492
Education_College graduate,40.93995402996352
Education_High school grad,-39.08319834213714
Poverty_Income Up to 2X Fed Pov Thresh,-34.987472810743874
Binge Alcohol Use (any past month),-34.49556379919416
Health Insurance_Uninsured,34.451082911677204
Age_65 or Older,33.56908339365346
Stimulant Use w/o RX (any past year),32.84093243593135
Heroin Use Disorder (any past year),31.665738984975143
Marijuana Use Disorder (any past year),29.821614176382266
Race_NonHisp Native Am/AK Native,28.997727629915346
Health Insurance_Private plan,-28.229719845245782
"Family Income_$20,000 - $49,999",-26.653844338863596
"Family Income_$50,000 - $74,999",-26.452412383820846
Age_18-25 Years Old,25.819582084254655
Alcohol Use Disorder (any past year),-22.547817528476447
Heavy Alcohol Use (any past month),-21.128947369503184
Year,21.124085867408088
Urban Residence_Small Metropolitan,18.79019417120167
Race_NonHisp Native HI/Other Pac Isl,-16.95512619549357
Hallucinogen Use Disorder (any past year),-10.912388557856959
Race_NonHisp Asian,-8.18172634942108
Urban Residence_Large Metropolitan,-7.32390389857751
Drug or Alcohol Use Disorder (any past year),3.3114126208051275
Employment Status_Employed part time,2.9646293550463887
Education_Some coll/Assoc Dg,0.9352279276045014
BMI_Healthy,0.0
BMI_Overweight,0.0
BMI_Severe Obesity,0.0
BMI_Underweight,0.0
BMI_Unknown,0.0
