,coefficient
Felt Tired/Low Energy (nearly every day),235.4902502043852
Received Substance Use or Mental Health Treatment (any past year),224.30706399773277
Major Depressive Episode (any past year),200.81204921822052
Health Insurance_Medicaid/CHIP,199.5800035243915
Difficulty in Work Response (any past year),197.23777983432313
Employment Status_Employed full time,-189.44386705985352
Employment Status_Other,169.3269877250707
Poverty_Living in Poverty,145.66645552999654
Employment Status_Unemployed,144.67993205733774
Marijuana Use Disorder (any past year),137.80457702298582
Health Insurance_Private plan,-128.87718220875706
Alcohol Use Disorder (any past year),125.05186471373827
Education_Less high school,-123.63998646187075
Poverty_Income Up to 2X Fed Pov Thresh,-112.10420507567022
Race_NonHisp Asian,111.49025155913311
Urban Residence_Nonmetropolitan,110.69343433279386
Marital Status_Married,109.0153513280148
Gender_Male,107.31440916891857
Age_18-25 Years Old,99.76260287662382
Education_Some coll/Assoc Dg,92.70499277243735
Education_College graduate,86.72124607253026
Felt Worthless (nearly every day),86.44889993129149
Drug Use Disorder (any past year),85.10403535946415
Cocaine Use Disorder (any past year),82.01207949061963
BMI_Overweight,77.55992783151834
Drug or Alcohol Use Disorder (any past year),73.98834573129632
Health Insurance_Other,72.11266170183642
Age_26-34 Years Old,-69.65811892618885
Marital Status_Widowed,-68.63159817520871
Marital Status_Never Been Married,68.49911220213531
Urban Residence_Small Metropolitan,-67.62004569882426
Heavy Alcohol Use (any past month),61.46475806175507
Stimulant Use w/o RX (any past year),-59.84512045713423
"Family Income_Less than $20,000",55.083265328924284
Age_50-64 Years Old,52.311824469595045
Race_NonHisp White,-51.20034154695265
Employment Status_Employed part time,-47.49992471826659
Health Insurance_Medicare,-45.45209346571757
Poverty_Income More Than 2X Fed Pov Thresh,43.38622121074212
Oxycontin Use (any past year),40.69450781439781
Urban Residence_Large Metropolitan,34.4825756962875
Marital Status_Divorced or Separated,-30.94042225992196
"Family Income_$20,000 - $49,999",-29.860353455288855
Gender_Female,-29.546727685970115
"Family Income_$50,000 - $74,999",28.844016813661206
Inhalant Use Disorder (any past year),27.213103499710833
Race_NonHisp more than,-26.20619418009214
"Family Income_$75,000 or More",23.557701468095154
Binge Alcohol Use (any past month),22.04823648363177
Education_High school grad,21.311358054762525
Year,-20.62910042908897
Health Insurance_Uninsured,-19.88332938883173
Hallucinogen Use Disorder (any past year),-14.838930929038854
Race_NonHisp Black/Afr Am,14.58740370284976
Race_NonHisp Native Am/AK Native,13.901538038285517
Race_Hispanic,12.588537493208383
Age_65 or Older,-10.849870289885128
Age_35-49 Years Old,6.16253922831297
Sedative Use w/o RX (any past year),-5.752173011425261
Heroin Use Disorder (any past year),-2.4655210305276847
Race_NonHisp Native HI/Other Pac Isl,1.2539026507072708
Serious Psychological Distress (any past month),0.0
Serious Psychological Distress (any past year),0.0
BMI_Healthy,0.0
BMI_Obesity,0.0
BMI_Severe Obesity,0.0
BMI_Underweight,0.0
BMI_Unknown,0.0
