,coefficient
Age_18-25 Years Old,582.7069492299881
Age_65 or Older,-527.9821079167061
Marital Status_Divorced or Separated,524.1205249360812
Year,512.0905579047777
Health Insurance_Uninsured,470.4274205254536
Marijuana Use Disorder (any past year),-437.2309495428131
Major Depressive Episode (any past year),410.95370940659745
Race_NonHisp Asian,382.2980775761763
Race_NonHisp Native HI/Other Pac Isl,-381.6961383959785
Gender_Female,-381.6231957418928
Received Substance Use or Mental Health Treatment (any past year),374.38318687679316
Marital Status_Widowed,-359.97889693064013
Race_NonHisp White,-331.0778511445392
Heroin Use Disorder (any past year),-328.65442740984184
Heavy Alcohol Use (any past month),323.0182160162295
Health Insurance_Private plan,-321.38170430435036
Serious Psychological Distress (any past month),-316.36367545800124
Oxycontin Use (any past year),314.38824515561765
Urban Residence_Large Metropolitan,-282.63236060702366
Gender_Male,272.0050435617493
Sedative Use w/o RX (any past year),256.26052815490357
Drug or Alcohol Use Disorder (any past year),-250.09356921637846
Race_NonHisp Native Am/AK Native,234.4528631994704
Education_Some coll/Assoc Dg,-189.92903215400452
Age_50-64 Years Old,-189.70380816308798
Employment Status_Employed part time,-187.1637685799687
Poverty_Income Up to 2X Fed Pov Thresh,-181.54606037892552
Age_26-34 Years Old,176.11694727961077
Poverty_Living in Poverty,174.7437887623273
Urban Residence_Small Metropolitan,163.33554454423003
Marital Status_Never Been Married,-156.0579953868489
Age_35-49 Years Old,-151.33022534460943
Education_College graduate,136.03485488241452
Cocaine Use Disorder (any past year),136.02255796831233
Health Insurance_Medicaid/CHIP,-131.3024285136649
Health Insurance_Medicare,-127.03408137938816
Education_Less high school,-123.41102565521608
Marital Status_Married,-117.76866178153955
"Family Income_$75,000 or More",-116.60730078499492
Serious Psychological Distress (any past year),-109.51182613904727
BMI_Overweight,-109.51182613904727
Binge Alcohol Use (any past month),105.53106965441363
Poverty_Income More Than 2X Fed Pov Thresh,-102.81302566613856
Employment Status_Unemployed,79.5968404627831
Education_High school grad,67.65564480516132
Alcohol Use Disorder (any past year),66.99354448884813
Race_Hispanic,-66.12874555727643
Hallucinogen Use Disorder (any past year),-64.11245227623499
Employment Status_Employed full time,-52.34231042864856
"Family Income_$20,000 - $49,999",-52.29021796032876
Employment Status_Other,50.24962633035943
Race_NonHisp more than,49.78304302432606
Felt Worthless (nearly every day),46.821395615955204
Felt Tired/Low Energy (nearly every day),45.14440852724144
Inhalant Use Disorder (any past year),33.45907957174004
"Family Income_$50,000 - $74,999",32.74557874589223
"Family Income_Less than $20,000",26.494570737629534
Stimulant Use w/o RX (any past year),-21.369346905217146
Urban Residence_Nonmetropolitan,9.628953735070967
Difficulty in Work Response (any past year),-7.871359976213687
Drug Use Disorder (any past year),-2.56514174063455
Race_NonHisp Black/Afr Am,1.7316370794721239
Health Insurance_Other,-0.20770426152407243
BMI_Healthy,0.0
BMI_Obesity,0.0
BMI_Severe Obesity,0.0
BMI_Underweight,0.0
BMI_Unknown,0.0
