,coefficient
"Family Income_$75,000 or More",-299.56126192842515
Employment Status_Other,-272.2413886944763
Marital Status_Never Been Married,269.06667550616544
Felt Tired/Low Energy (nearly every day),-267.4542997579362
Gender_Female,-235.18029406660727
Poverty_Income More Than 2X Fed Pov Thresh,-214.97570398486332
Marital Status_Married,-211.56818059018738
Education_College graduate,-186.6342810506343
Employment Status_Unemployed,185.7525325543195
Poverty_Income Up to 2X Fed Pov Thresh,179.63345260491235
Health Insurance_Medicare,175.49182535907374
Health Insurance_Private plan,-173.7226868525957
Age_65 or Older,-163.88205214361452
Race_NonHisp White,-160.9873503985301
Gender_Male,156.40973524831466
Education_Some coll/Assoc Dg,150.3811882512024
Drug Use Disorder (any past year),141.27071037648687
Major Depressive Episode (any past year),131.37856105446954
Received Substance Use or Mental Health Treatment (any past year),125.57430540592425
"Family Income_Less than $20,000",120.4033621438432
Year,-118.66306912154667
"Family Income_$20,000 - $49,999",104.9802380527928
Education_Less high school,-101.50412654227267
Marital Status_Widowed,-99.46314963957012
Age_50-64 Years Old,95.1703686652988
Drug or Alcohol Use Disorder (any past year),93.77650061505166
Health Insurance_Medicaid/CHIP,-90.18799738443866
Urban Residence_Small Metropolitan,-90.02475142296049
Employment Status_Employed part time,88.8537745422153
Heroin Use Disorder (any past year),-87.98060443437177
Felt Worthless (nearly every day),85.36963745564638
Employment Status_Employed full time,-81.05986049817686
BMI_Severe Obesity,-78.64567631371385
Urban Residence_Large Metropolitan,73.28557848368091
Race_Hispanic,72.89711839036973
Age_35-49 Years Old,-71.21533078288111
Sedative Use w/o RX (any past year),66.4454511860653
Urban Residence_Nonmetropolitan,-61.92060298869366
Age_26-34 Years Old,61.37816665252464
Education_High school grad,59.30083425165015
Marijuana Use Disorder (any past year),46.47420608935524
Race_NonHisp Asian,44.37747188406939
Binge Alcohol Use (any past month),43.94929908784329
Poverty_Living in Poverty,-43.491598483392266
Alcohol Use Disorder (any past year),-42.14306769449564
Marital Status_Divorced or Separated,-36.24985518451803
Health Insurance_Uninsured,36.10194613031816
Race_NonHisp Native HI/Other Pac Isl,-32.35031944867631
Inhalant Use Disorder (any past year),29.452083741229423
Health Insurance_Other,-26.581988664962307
Hallucinogen Use Disorder (any past year),-23.139040508522108
Race_NonHisp Native Am/AK Native,-22.108019981328944
Stimulant Use w/o RX (any past year),22.09242494009373
Difficulty in Work Response (any past year),18.826753410273618
Cocaine Use Disorder (any past year),-17.56253623264717
Race_NonHisp more than,12.993003188579523
Heavy Alcohol Use (any past month),-5.724439239955032
Race_NonHisp Black/Afr Am,5.3544377996191646
"Family Income_$50,000 - $74,999",-4.44387122344418
Oxycontin Use (any past year),-1.5181736203993181
Age_18-25 Years Old,-0.48221846903005466
Serious Psychological Distress (any past month),0.0
Serious Psychological Distress (any past year),0.0
BMI_Healthy,0.0
BMI_Obesity,0.0
BMI_Overweight,0.0
BMI_Underweight,0.0
BMI_Unknown,0.0
