,coefficient
Serious Psychological Distress (any past month),293.3697027158092
Age_65 or Older,243.42148991423082
Health Insurance_Other,182.37024356372928
Drug Use Disorder (any past year),177.5859534644367
Binge Alcohol Use (any past month),-165.22718028452456
Education_Less high school,156.9602911029583
Marijuana Use Disorder (any past year),155.859148524295
Race_NonHisp Asian,152.70214414195445
Oxycontin Use (any past year),148.24969588230985
Received Substance Use or Mental Health Treatment (any past year),139.7391171880903
Marital Status_Never Been Married,128.75086288300815
Gender_Male,125.18741308925838
Health Insurance_Medicare,-121.07358944283814
"Family Income_Less than $20,000",118.21294801068791
Urban Residence_Nonmetropolitan,115.5178118970171
Marital Status_Divorced or Separated,-103.20105187320772
Serious Psychological Distress (any past year),94.49680092976932
BMI_Severe Obesity,94.49680092976932
Difficulty in Work Response (any past year),89.43139178180711
Age_50-64 Years Old,-83.50030146054476
Race_NonHisp Native Am/AK Native,-82.83554845738614
Employment Status_Employed part time,82.22217236320148
Health Insurance_Medicaid/CHIP,-80.37798864924599
Education_College graduate,-78.86735437162984
Race_NonHisp White,75.20984082307453
Year,74.6551036657389
Stimulant Use w/o RX (any past year),-73.30666819034137
Poverty_Living in Poverty,70.48750496413277
Health Insurance_Private plan,66.60587514325431
Race_Hispanic,-64.89606794546806
"Family Income_$20,000 - $49,999",63.58490455629779
Major Depressive Episode (any past year),58.86734376032021
"Family Income_$75,000 or More",-55.66309435867577
Heavy Alcohol Use (any past month),52.817869954350996
Education_High school grad,46.242527024115866
Health Insurance_Uninsured,45.966867470622816
Drug or Alcohol Use Disorder (any past year),42.91849490184173
Marital Status_Married,38.06635443785955
Age_26-34 Years Old,-37.335105451472046
Poverty_Income Up to 2X Fed Pov Thresh,36.64223475528126
Age_35-49 Years Old,-35.03522688710209
Employment Status_Other,34.26702534488544
Employment Status_Employed full time,-31.86005368757359
"Family Income_$50,000 - $74,999",-31.778190976942877
Marital Status_Widowed,30.66139931164
Gender_Female,-30.65376583097166
Education_Some coll/Assoc Dg,-29.583529933633468
Hallucinogen Use Disorder (any past year),29.409571205479704
Felt Worthless (nearly every day),-29.405130140151734
Felt Tired/Low Energy (nearly every day),-28.95042371030652
Race_NonHisp Black/Afr Am,26.63508778299909
Race_NonHisp Native HI/Other Pac Isl,-26.562165329623447
Alcohol Use Disorder (any past year),21.110645609616302
Urban Residence_Small Metropolitan,-19.09515469569572
Cocaine Use Disorder (any past year),-14.934141390413828
Race_NonHisp more than,14.148736099160873
Poverty_Income More Than 2X Fed Pov Thresh,-12.720627029459335
Heroin Use Disorder (any past year),-11.215024528596455
Employment Status_Unemployed,9.91534837027086
Age_18-25 Years Old,6.896751687931172
Sedative Use w/o RX (any past year),-2.197046358824517
Urban Residence_Large Metropolitan,-2.0594925559643955
Inhalant Use Disorder (any past year),0.021597220281603827
BMI_Healthy,0.0
BMI_Obesity,0.0
BMI_Overweight,0.0
BMI_Underweight,0.0
BMI_Unknown,0.0
