,coefficient
"Family Income_$20,000 - $49,999",143.5672549458872
Marijuana Use Disorder (any past year),-112.91941968492594
Cocaine Use Disorder (any past year),95.38535711952673
Felt Worthless (nearly every day),91.18010457637372
Major Depressive Episode (any past year),81.48228128235245
BMI_Underweight,71.06016227847887
Year,70.03959454639677
Employment Status_Employed full time,64.23347586462702
Marital Status_Never Been Married,61.320536253068774
Education_Less high school,60.576370143637135
Drug Use Disorder (any past year),59.53039303484898
Race_NonHisp Asian,58.03203196791328
Gender_Male,54.61844171398129
Marital Status_Married,52.337661448901
Received Substance Use or Mental Health Treatment (any past year),50.862511355758436
Age_65 or Older,-49.92858914269992
Poverty_Living in Poverty,49.81554053434311
Age_26-34 Years Old,49.63262766371573
"Family Income_$50,000 - $74,999",-47.08450388035627
Race_NonHisp more than,46.4016267778656
Education_College graduate,43.72755150703301
Health Insurance_Uninsured,42.67290852731438
Age_18-25 Years Old,42.17576096803105
"Family Income_Less than $20,000",-39.51259717114922
Urban Residence_Large Metropolitan,36.94606469597134
Heavy Alcohol Use (any past month),-36.09009678913666
Urban Residence_Small Metropolitan,35.75761997456624
Alcohol Use Disorder (any past year),-30.426878995417546
Age_35-49 Years Old,30.21464253745747
Race_Hispanic,-30.04241091874102
Heroin Use Disorder (any past year),29.464691766157028
Felt Tired/Low Energy (nearly every day),29.04027626106332
Poverty_Income Up to 2X Fed Pov Thresh,27.118127231526476
Health Insurance_Medicare,26.27964140626876
Marital Status_Divorced or Separated,-24.18353232810735
Stimulant Use w/o RX (any past year),23.42815844297823
Drug or Alcohol Use Disorder (any past year),-22.87238850449818
Education_Some coll/Assoc Dg,-18.76214451942499
Hallucinogen Use Disorder (any past year),-18.367949553450195
Marital Status_Widowed,-17.833638191136217
Health Insurance_Private plan,16.31341541008005
Gender_Female,16.112203868339453
"Family Income_$75,000 or More",15.048455725826896
Employment Status_Other,14.416019886028106
Binge Alcohol Use (any past month),14.159509767097745
Education_High school grad,-13.911516201477044
Health Insurance_Other,-12.843109060143162
Oxycontin Use (any past year),11.92300322686153
Inhalant Use Disorder (any past year),-10.363337391958154
Difficulty in Work Response (any past year),9.662252453761493
Race_NonHisp Black/Afr Am,-8.025480467178278
Employment Status_Employed part time,-6.849561998258376
Poverty_Income More Than 2X Fed Pov Thresh,-6.01638015246363
Race_NonHisp White,5.774689984090041
Race_NonHisp Native Am/AK Native,-4.671667052425934
Race_NonHisp Native HI/Other Pac Isl,3.4923681892056093
Health Insurance_Medicaid/CHIP,-2.346581445438622
Age_50-64 Years Old,-2.225200680040219
Urban Residence_Nonmetropolitan,-1.4070483146972983
Employment Status_Unemployed,-0.35471653230643985
Serious Psychological Distress (any past year),0.0
Serious Psychological Distress (any past month),0.0
Sedative Use w/o RX (any past year),0.0
BMI_Healthy,0.0
BMI_Obesity,0.0
BMI_Overweight,0.0
BMI_Severe Obesity,0.0
BMI_Unknown,0.0
