,coefficient
Health Insurance_Medicare,-997.0665091557336
Drug or Alcohol Use Disorder (any past year),-835.8660349261478
Health Insurance_Medicaid/CHIP,784.5754573241869
Felt Worthless (nearly every day),755.7168124692013
Binge Alcohol Use (any past month),-596.1503886075219
Urban Residence_Nonmetropolitan,-593.407340434338
Race_NonHisp Black/Afr Am,-572.6839206630394
Serious Psychological Distress (any past month),521.3159746692667
Major Depressive Episode (any past year),496.1123345592918
Race_NonHisp more than,487.0739453141107
Marital Status_Divorced or Separated,-427.2669018722308
Hallucinogen Use Disorder (any past year),423.68917571573036
Marital Status_Never Been Married,406.82532597399177
Employment Status_Employed full time,-402.3761691752695
Urban Residence_Small Metropolitan,395.59412814494596
Alcohol Use Disorder (any past year),-393.99586584957694
Race_NonHisp Native Am/AK Native,-371.7180881433923
Stimulant Use w/o RX (any past year),-367.75842507919504
Age_50-64 Years Old,-365.1511907512035
Marital Status_Widowed,-361.6330339556846
Health Insurance_Uninsured,359.10563927318776
Employment Status_Other,356.9234186459424
"Family Income_Less than $20,000",-321.50767438358116
Race_NonHisp Native HI/Other Pac Isl,313.43484559536205
Year,262.91301778843825
"Family Income_$20,000 - $49,999",252.5502117236745
Heavy Alcohol Use (any past month),234.68562789959591
Age_26-34 Years Old,223.78013012725538
Marital Status_Married,221.5145244361139
Race_NonHisp White,214.38166915888283
Education_Some coll/Assoc Dg,214.29606851764632
Cocaine Use Disorder (any past year),-212.44569788764989
Gender_Female,-210.39867108560156
Education_College graduate,-208.86178135484164
Inhalant Use Disorder (any past year),-202.19300042948942
Education_Less high school,-198.69210435736778
Health Insurance_Other,-192.36346289028705
"Family Income_$75,000 or More",-181.42213493789117
Felt Tired/Low Energy (nearly every day),181.18849107841754
Serious Psychological Distress (any past year),-159.86464584696225
BMI_Underweight,-159.86464584696225
Poverty_Income More Than 2X Fed Pov Thresh,-158.11232561034439
Race_Hispanic,-157.75506628861055
Age_18-25 Years Old,135.08608188848697
Employment Status_Unemployed,-121.61951641938627
Health Insurance_Private plan,-116.17345650876973
Sedative Use w/o RX (any past year),114.90462131166251
Oxycontin Use (any past year),-113.3760359711824
Drug Use Disorder (any past year),113.1622344173418
Marijuana Use Disorder (any past year),-104.65082773469136
"Family Income_$50,000 - $74,999",90.66593582496786
Age_35-49 Years Old,-86.09352211034734
Race_NonHisp Asian,-73.27333538490038
Poverty_Living in Poverty,-70.25783940035639
Poverty_Income Up to 2X Fed Pov Thresh,68.45877746183713
Age_65 or Older,-67.65764042517404
Received Substance Use or Mental Health Treatment (any past year),-53.71698600526055
Gender_Male,50.559237475614836
Heroin Use Disorder (any past year),-44.62850898705233
Urban Residence_Large Metropolitan,38.09223257493489
Education_High school grad,33.213477330781494
Difficulty in Work Response (any past year),-14.743144248051516
Employment Status_Employed part time,7.297153093303345
BMI_Healthy,0.0
BMI_Obesity,0.0
BMI_Overweight,0.0
BMI_Severe Obesity,0.0
BMI_Unknown,0.0
