,coefficient
Major Depressive Episode (any past year),1050.3551504307934
Health Insurance_Other,-907.2174840105996
Received Substance Use or Mental Health Treatment (any past year),760.3402924634833
Felt Tired/Low Energy (nearly every day),-717.0987726941903
Felt Worthless (nearly every day),657.4702024055466
Poverty_Income Up to 2X Fed Pov Thresh,-526.9971980779324
Drug or Alcohol Use Disorder (any past year),443.5605006324876
Health Insurance_Medicare,403.65109781277476
Age_50-64 Years Old,-357.2872269264602
BMI_Unknown,-355.28041845124056
Marital Status_Married,-320.15638922442776
Cocaine Use Disorder (any past year),289.28176274500385
Heroin Use Disorder (any past year),-283.60521553156025
Education_College graduate,-267.07741502846073
Urban Residence_Large Metropolitan,-257.27950212228575
Education_Some coll/Assoc Dg,-252.8343887245913
Stimulant Use w/o RX (any past year),-249.69180233056957
Marital Status_Divorced or Separated,-243.68329731469726
Employment Status_Other,-241.34621794595265
Race_NonHisp Native Am/AK Native,237.68519159259088
Race_NonHisp Native HI/Other Pac Isl,-233.81553953111992
Health Insurance_Medicaid/CHIP,227.6934049699486
Marital Status_Widowed,217.54434698069866
"Family Income_$20,000 - $49,999",-215.86164728212833
"Family Income_$75,000 or More",-208.6312230333798
Year,203.54912554471343
Gender_Female,-193.99474649415453
Sedative Use w/o RX (any past year),189.0866429168201
Employment Status_Unemployed,182.01358814704548
Poverty_Income More Than 2X Fed Pov Thresh,179.21626237436874
Oxycontin Use (any past year),178.05610135152816
Education_High school grad,164.66838551213692
Gender_Male,-161.16286273555346
Employment Status_Employed part time,-158.73348294689603
Inhalant Use Disorder (any past year),152.7027509913769
Heavy Alcohol Use (any past month),152.18505283311967
Marijuana Use Disorder (any past year),-137.92664421541792
Employment Status_Employed full time,-137.1324909906032
Race_NonHisp Black/Afr Am,-137.10095848906738
Race_NonHisp more than,-131.91930220845038
Urban Residence_Nonmetropolitan,-123.55082607630301
Age_35-49 Years Old,-113.68181385547268
Drug Use Disorder (any past year),97.86984440467262
"Family Income_$50,000 - $74,999",89.83667536743793
Health Insurance_Uninsured,-83.77013019346253
Age_65 or Older,83.44547136446914
Alcohol Use Disorder (any past year),-83.07974923115411
Age_26-34 Years Old,52.364840826166294
Binge Alcohol Use (any past month),-49.4443024093225
Race_NonHisp White,-46.22804224345824
Hallucinogen Use Disorder (any past year),-42.23502103347121
Urban Residence_Small Metropolitan,25.662501029147304
Race_NonHisp Asian,-23.246794534472308
Race_Hispanic,-20.560234344122442
"Family Income_Less than $20,000",-20.507733852205522
Age_18-25 Years Old,-20.071799472623088
Difficulty in Work Response (any past year),10.614776133697807
Marital Status_Never Been Married,-8.92916276869285
Poverty_Living in Poverty,-7.38019753489671
Health Insurance_Private plan,4.376803701862603
Education_Less high school,0.05932303824863919
Serious Psychological Distress (any past month),0.0
Serious Psychological Distress (any past year),0.0
BMI_Healthy,0.0
BMI_Obesity,0.0
BMI_Overweight,0.0
BMI_Severe Obesity,0.0
BMI_Underweight,0.0
