,coefficient
Age_65 or Older,-563.748042014507
Heavy Alcohol Use (any past month),534.7076096054469
Health Insurance_Other,-430.0325594801892
Heroin Use Disorder (any past year),-425.2551392981157
Felt Worthless (nearly every day),326.10603726858653
Employment Status_Other,-299.0327449829591
Employment Status_Unemployed,294.86389398020276
Education_Less high school,-294.5821564914543
Race_NonHisp Native Am/AK Native,291.7639113285604
Sedative Use w/o RX (any past year),281.67597274820923
Serious Psychological Distress (any past month),270.746300680695
Received Substance Use or Mental Health Treatment (any past year),261.48641936556686
Race_NonHisp White,-253.7540821877245
Poverty_Living in Poverty,-251.19741111901496
Gender_Male,-244.24691548833871
Stimulant Use w/o RX (any past year),-229.86707066887067
Age_18-25 Years Old,228.51555098965605
Health Insurance_Uninsured,225.86863924406072
Urban Residence_Small Metropolitan,-222.3287746111648
Health Insurance_Medicare,215.20595331582717
Marital Status_Married,-209.655344840045
Race_Hispanic,-202.79729492460993
Age_26-34 Years Old,200.02505779013813
Cocaine Use Disorder (any past year),-194.049556991849
Hallucinogen Use Disorder (any past year),193.69710937097523
Urban Residence_Large Metropolitan,191.96923992156053
Oxycontin Use (any past year),175.35737656334774
Binge Alcohol Use (any past month),-168.35444337227716
"Family Income_$20,000 - $49,999",-162.03822692990556
Education_College graduate,155.69487278642518
Year,155.0543957094906
Serious Psychological Distress (any past year),-154.54692689284042
BMI_Unknown,-154.54692689284042
Major Depressive Episode (any past year),128.112795899844
Felt Tired/Low Energy (nearly every day),127.75296016766308
Drug Use Disorder (any past year),127.55427028889596
Urban Residence_Nonmetropolitan,-124.18649254879496
Poverty_Income More Than 2X Fed Pov Thresh,123.74163766002128
Difficulty in Work Response (any past year),-120.38385824962948
Drug or Alcohol Use Disorder (any past year),-105.86933045349697
Race_NonHisp more than,-103.49567289058093
Employment Status_Employed part time,-94.64333752737984
"Family Income_Less than $20,000",90.60024069797643
Gender_Female,89.71608659425794
Health Insurance_Private plan,-83.71830820310163
Health Insurance_Medicaid/CHIP,-81.96330286301446
Marijuana Use Disorder (any past year),-76.070677244667
Inhalant Use Disorder (any past year),74.79671497014525
Race_NonHisp Asian,72.84806874924408
Employment Status_Employed full time,-55.72810480085247
Marital Status_Divorced or Separated,53.42955458481134
"Family Income_$50,000 - $74,999",-52.90917161619997
Marital Status_Widowed,40.853792255722986
Marital Status_Never Been Married,-39.240912612793394
Education_High school grad,-30.795784849440757
"Family Income_$75,000 or More",-30.21804916368713
Race_NonHisp Native HI/Other Pac Isl,28.76529195802815
Poverty_Income Up to 2X Fed Pov Thresh,-27.096422391604417
Alcohol Use Disorder (any past year),24.53081084331411
Age_35-49 Years Old,-21.59302559658827
Education_Some coll/Assoc Dg,15.121832815520438
Race_NonHisp Black/Afr Am,12.25322422263641
Age_50-64 Years Old,2.1350818280193358
BMI_Healthy,0.0
BMI_Obesity,0.0
BMI_Overweight,0.0
BMI_Severe Obesity,0.0
BMI_Underweight,0.0
