,coefficient
Felt Worthless (nearly every day),738.0242867024662
Marital Status_Widowed,-419.04007879413524
Serious Psychological Distress (any past year),356.5249033938715
Stimulant Use w/o RX (any past year),-338.44743798485996
Major Depressive Episode (any past year),308.15202970789755
Sedative Use w/o RX (any past year),282.4430385320602
Health Insurance_Uninsured,-279.6801133890096
Drug Use Disorder (any past year),274.69887347447815
Received Substance Use or Mental Health Treatment (any past year),214.19286579444992
Heroin Use Disorder (any past year),-212.58009262213827
Race_Hispanic,-207.01074845803453
Marital Status_Divorced or Separated,201.71157852050467
Health Insurance_Medicare,-199.07229669302572
Drug or Alcohol Use Disorder (any past year),-194.8826943874571
Employment Status_Unemployed,-192.15735879485706
Age_65 or Older,-171.45027611953245
Oxycontin Use (any past year),167.81977452404274
"Family Income_$20,000 - $49,999",-163.66134910136407
Employment Status_Employed full time,-154.01062521216005
Poverty_Income More Than 2X Fed Pov Thresh,-151.68874389015733
Gender_Male,-145.95314988517532
Felt Tired/Low Energy (nearly every day),-140.35897112327572
Hallucinogen Use Disorder (any past year),127.53466071453845
Marijuana Use Disorder (any past year),126.61897328434188
Urban Residence_Small Metropolitan,-118.2223305659359
Race_NonHisp Native Am/AK Native,-116.01391032406802
Gender_Female,-115.78809124535213
Race_NonHisp more than,112.48993085252405
Age_50-64 Years Old,-109.67288105982729
Employment Status_Employed part time,101.48420974365868
Urban Residence_Large Metropolitan,-98.29828271287721
Health Insurance_Medicaid/CHIP,94.86730799019948
Poverty_Living in Poverty,-91.51052768395603
"Family Income_Less than $20,000",-90.93050048093566
Health Insurance_Private plan,90.63929907737912
Age_18-25 Years Old,84.02226759234149
Education_High school grad,-81.7592165883789
Education_Some coll/Assoc Dg,-74.15110417152097
Alcohol Use Disorder (any past year),-70.94465698019036
Education_College graduate,-68.95434020682997
Marital Status_Never Been Married,-64.71892714270511
Age_35-49 Years Old,-61.78567648031357
Serious Psychological Distress (any past month),58.68314624907612
Race_NonHisp Asian,-57.14362631713403
Year,-53.64036725635778
Binge Alcohol Use (any past month),-52.85894266407809
"Family Income_$75,000 or More",-46.97751338272772
Urban Residence_Nonmetropolitan,-45.069706426666336
Cocaine Use Disorder (any past year),-43.45530821535632
"Family Income_$50,000 - $74,999",39.86849150127
Difficulty in Work Response (any past year),-37.12352160696404
Education_Less high school,-36.80554487071855
Race_NonHisp White,34.98680425060642
Health Insurance_Other,30.881628981697084
Marital Status_Married,19.98856317110085
Poverty_Income Up to 2X Fed Pov Thresh,-18.46504984068497
Employment Status_Other,-16.923971374161294
Race_NonHisp Black/Afr Am,-15.030596824543615
Race_NonHisp Native HI/Other Pac Isl,-14.9030153614417
Heavy Alcohol Use (any past month),-4.014389543365993
Age_26-34 Years Old,-3.305274696101698
Inhalant Use Disorder (any past year),-1.112456472943523
