,coefficient
Education_Some coll/Assoc Dg,256.4088862886133
Serious Psychological Distress (any past month),200.09466712641506
Felt Worthless (nearly every day),191.4004901001473
Urban Residence_Small Metropolitan,177.98396237061283
Poverty_Living in Poverty,-174.85282293649027
Poverty_Income Up to 2X Fed Pov Thresh,162.02834401887276
Serious Psychological Distress (any past year),153.34213953728474
Urban Residence_Large Metropolitan,-151.20194004209355
Health Insurance_Medicaid/CHIP,148.76970525680753
Race_NonHisp more than,145.34434558842386
Employment Status_Other,143.24063475337374
Age_50-64 Years Old,-141.20099963833525
Binge Alcohol Use (any past month),-118.94816677120235
Race_NonHisp Asian,117.85662908821429
"Family Income_$75,000 or More",115.87981346084295
Marital Status_Married,115.31922069471258
Received Substance Use or Mental Health Treatment (any past year),110.08301829502555
Race_NonHisp Black/Afr Am,-104.54601083854719
Cocaine Use Disorder (any past year),-102.66995428190656
Age_65 or Older,102.06257278129952
Hallucinogen Use Disorder (any past year),99.89692328023347
Year,98.45974383845166
Employment Status_Employed part time,-97.67109929272607
Race_NonHisp White,-94.67697728395254
Education_Less high school,-92.26089940296319
Education_College graduate,-84.3935463039537
Felt Tired/Low Energy (nearly every day),83.31245158570351
Heavy Alcohol Use (any past month),73.97341390971548
Drug or Alcohol Use Disorder (any past year),-72.18388855727817
Drug Use Disorder (any past year),69.64862612409861
Heroin Use Disorder (any past year),-64.66366908011078
Age_18-25 Years Old,64.46828081642111
Poverty_Income More Than 2X Fed Pov Thresh,62.542803144087756
"Family Income_Less than $20,000",-59.865617195697034
Stimulant Use w/o RX (any past year),-59.091560840444885
Oxycontin Use (any past year),58.6104671923051
"Family Income_$50,000 - $74,999",-58.51712643321656
Marijuana Use Disorder (any past year),56.75751003404661
Health Insurance_Medicare,-54.58219147894956
"Family Income_$20,000 - $49,999",52.78366852387121
Race_Hispanic,-50.64098010419431
Health Insurance_Uninsured,-47.88839695470978
Marital Status_Widowed,-35.458018655657305
Sedative Use w/o RX (any past year),-35.03198611813252
Gender_Female,31.974075939774437
Inhalant Use Disorder (any past year),-30.39462074008088
Major Depressive Episode (any past year),-29.365579242584527
Education_High school grad,-29.29337216755593
Health Insurance_Other,28.81391001216585
Marital Status_Never Been Married,-28.048406145914278
Health Insurance_Private plan,-25.105521317977228
Race_NonHisp Native HI/Other Pac Isl,23.855729705844613
Urban Residence_Nonmetropolitan,22.937279929756723
Age_35-49 Years Old,19.94022320890151
Gender_Male,18.504002049117137
Employment Status_Employed full time,18.07442184348747
Alcohol Use Disorder (any past year),-14.40345852073984
Employment Status_Unemployed,-13.519715929086333
Race_NonHisp Native Am/AK Native,10.986601329203205
Difficulty in Work Response (any past year),-5.434266354739611
Age_26-34 Years Old,4.390793852740718
Marital Status_Divorced or Separated,-2.17880771468747
