,coefficient
Health Insurance_Other,-548.2852416337338
Serious Psychological Distress (any past year),546.5543013133084
Difficulty in Work Response (any past year),-508.2512130680995
Gender_Male,-508.15293477985824
Major Depressive Episode (any past year),442.23588467881564
Poverty_Living in Poverty,-436.79772580262875
Drug Use Disorder (any past year),-400.661197433929
Health Insurance_Medicare,379.6467920993558
Gender_Female,356.3819885326152
Serious Psychological Distress (any past month),323.2370437544287
Cocaine Use Disorder (any past year),-309.29791005651566
Race_NonHisp Native Am/AK Native,293.0676448736978
Urban Residence_Small Metropolitan,-284.9528743593115
Marital Status_Married,282.1722836084192
Felt Worthless (nearly every day),269.83353201124146
Poverty_Income More Than 2X Fed Pov Thresh,268.59022080680984
Stimulant Use w/o RX (any past year),-256.33838063992107
Drug or Alcohol Use Disorder (any past year),240.57427171431695
Race_NonHisp more than,-237.72661585948526
Employment Status_Other,-234.9792296231341
Age_18-25 Years Old,234.38663743545985
Received Substance Use or Mental Health Treatment (any past year),231.31247985911378
Age_26-34 Years Old,-230.45436344118028
Binge Alcohol Use (any past month),228.99010668136654
Employment Status_Employed full time,-200.6305343390658
Heavy Alcohol Use (any past month),197.90402078886805
Marital Status_Divorced or Separated,-192.54752544713637
Heroin Use Disorder (any past year),-168.37155398216623
Employment Status_Employed part time,148.3346731437316
Education_College graduate,-143.9590793215782
Sedative Use w/o RX (any past year),143.80265987068233
Race_NonHisp White,-143.56670836253414
Race_NonHisp Black/Afr Am,-142.75868448060615
Marijuana Use Disorder (any past year),-135.86017120112191
Employment Status_Unemployed,135.45283588853948
Age_35-49 Years Old,-130.43739376839378
Marital Status_Widowed,-123.40413100068477
Race_NonHisp Asian,123.08553879049435
Marital Status_Never Been Married,-118.27865274636706
Urban Residence_Nonmetropolitan,117.33606942497566
Inhalant Use Disorder (any past year),-109.33417686561876
"Family Income_$75,000 or More",-99.8974292791388
Year,-97.53934727011426
Health Insurance_Private plan,96.31352187733674
Alcohol Use Disorder (any past year),-95.14680112222206
"Family Income_$50,000 - $74,999",-88.2711003477772
"Family Income_$20,000 - $49,999",71.18411466463577
Age_65 or Older,-67.58305730089384
Felt Tired/Low Energy (nearly every day),-58.03969008187115
Education_High school grad,56.920795196289035
Race_Hispanic,-52.80509003050496
Health Insurance_Medicaid/CHIP,-50.791243164411675
Hallucinogen Use Disorder (any past year),-50.61308863453048
Education_Less high school,-48.417499163421994
Age_50-64 Years Old,41.93596222593756
"Family Income_Less than $20,000",-34.81963387995646
Oxycontin Use (any past year),32.75686406067153
Health Insurance_Uninsured,-29.005417287235538
Poverty_Income Up to 2X Fed Pov Thresh,16.382467042357238
Education_Some coll/Assoc Dg,-16.320335630140633
Urban Residence_Large Metropolitan,15.788482624307498
Race_NonHisp Native HI/Other Pac Isl,8.902433990618265
