,coefficient
Health Insurance_Medicare,-413.10446822645713
Marital Status_Widowed,-373.99823125835496
Cocaine Use Disorder (any past year),323.1245951534627
Major Depressive Episode (any past year),274.69337989662654
Drug or Alcohol Use Disorder (any past year),-259.7785377954707
Race_Hispanic,-256.97032574102633
Oxycontin Use (any past year),-235.13957935334975
Heavy Alcohol Use (any past month),232.7976486076565
Age_18-25 Years Old,224.33376164279278
Education_Less high school,-219.18189872877252
Race_NonHisp Native HI/Other Pac Isl,213.16375548930313
Felt Worthless (nearly every day),192.9474957289482
Serious Psychological Distress (any past month),187.58177526711214
Received Substance Use or Mental Health Treatment (any past year),165.41302867312854
Age_50-64 Years Old,-161.38317292328182
Felt Tired/Low Energy (nearly every day),-158.93987915963658
Heroin Use Disorder (any past year),146.1790171532215
Urban Residence_Nonmetropolitan,-145.0835899076425
Education_College graduate,-141.81803825644184
Serious Psychological Distress (any past year),138.3010569926798
Binge Alcohol Use (any past month),-134.71776612481426
BMI_Healthy,-134.01292808715442
Marital Status_Never Been Married,132.62331421524036
Sedative Use w/o RX (any past year),131.77063944745908
Race_NonHisp White,-131.21319682139432
Urban Residence_Small Metropolitan,-131.13326486900488
Alcohol Use Disorder (any past year),-127.08018716879428
Hallucinogen Use Disorder (any past year),112.99459196510736
Health Insurance_Other,110.09166072193744
BMI_Overweight,-109.05931873488484
Age_35-49 Years Old,-107.89486210450184
"Family Income_Less than $20,000",-105.02832263509096
Education_High school grad,103.5543638675129
Difficulty in Work Response (any past year),103.50569983080612
Poverty_Income Up to 2X Fed Pov Thresh,-96.57601562944483
Employment Status_Unemployed,-94.70695688781895
Poverty_Income More Than 2X Fed Pov Thresh,-94.27359680116102
Age_65 or Older,-93.7838050786559
Health Insurance_Medicaid/CHIP,87.22090792360922
Urban Residence_Large Metropolitan,86.7672070933868
Stimulant Use w/o RX (any past year),-83.382516921612
Race_NonHisp more than,-78.93099057015222
Employment Status_Employed part time,-78.70660793049376
Education_Some coll/Assoc Dg,67.92768255120069
Marital Status_Married,67.42375671547495
Race_NonHisp Asian,63.493429181781806
BMI_Obesity,63.32720930992304
Health Insurance_Uninsured,62.50667820953978
"Family Income_$50,000 - $74,999",-61.81209147000762
Marijuana Use Disorder (any past year),54.383394294366134
Age_26-34 Years Old,-51.12860500358841
Inhalant Use Disorder (any past year),50.7059983152689
Drug Use Disorder (any past year),-50.17913887706512
BMI_Severe Obesity,-43.92422296028373
Health Insurance_Private plan,-36.3429141163544
BMI_Underweight,33.7148489979713
Year,-22.491017352016957
"Family Income_$75,000 or More",-22.109584377287998
Employment Status_Employed full time,-19.839019562558345
Marital Status_Divorced or Separated,-15.844835079160397
Race_NonHisp Native Am/AK Native,13.6468672723949
Race_NonHisp Black/Afr Am,-12.806185074603347
Employment Status_Other,3.7849630244842682
Poverty_Living in Poverty,1.2827177912181396
"Family Income_$20,000 - $49,999",-0.5857750770291551
BMI_Unknown,0.4192546072630189
