,coefficient
Major Depressive Episode (any past year),734.3369366835119
Health Insurance_Private plan,577.4674381147254
Felt Worthless (nearly every day),508.9825746232509
Marital Status_Widowed,484.42261478477576
Urban Residence_Small Metropolitan,464.5892415324316
Year,456.8665328578524
Education_Less high school,-450.69932495377947
Education_Some coll/Assoc Dg,447.6951280399109
Serious Psychological Distress (any past year),434.9332308960769
BMI_Obesity,407.79667255606995
Drug or Alcohol Use Disorder (any past year),383.1104775193768
Heroin Use Disorder (any past year),-373.53888472075823
Binge Alcohol Use (any past month),-363.410958005679
Health Insurance_Medicaid/CHIP,-319.87348786449166
Age_65 or Older,-298.66601787436576
BMI_Unknown,-296.55339326357705
Marital Status_Married,-292.2781491114428
BMI_Overweight,283.7070235698618
Felt Tired/Low Energy (nearly every day),264.78424701473773
Urban Residence_Nonmetropolitan,-245.2642845206613
"Family Income_$75,000 or More",-218.65964582367897
Urban Residence_Large Metropolitan,-218.26685699497085
Poverty_Living in Poverty,-215.36947929026823
BMI_Underweight,-213.9044424397262
Cocaine Use Disorder (any past year),201.0386129951874
Age_18-25 Years Old,197.8124556419275
Race_NonHisp Asian,194.44576222504344
Age_26-34 Years Old,173.70916463514772
Poverty_Income More Than 2X Fed Pov Thresh,171.418819114788
Received Substance Use or Mental Health Treatment (any past year),171.0224173527238
Serious Psychological Distress (any past month),163.0915684095923
Alcohol Use Disorder (any past year),-160.9484568444693
Race_NonHisp Black/Afr Am,-154.55554112782573
Education_High school grad,150.8017625522803
BMI_Severe Obesity,-147.60335650792427
Education_College graduate,-146.73184634655212
Race_Hispanic,136.34622368841812
Health Insurance_Uninsured,-126.99472577326915
Inhalant Use Disorder (any past year),-126.9880483719896
Marital Status_Divorced or Separated,-110.06610564085292
Race_NonHisp more than,-106.16601103180209
Race_NonHisp Native HI/Other Pac Isl,-104.93481786290454
Health Insurance_Other,-99.54139591261671
Employment Status_Employed part time,-97.46442589657495
Stimulant Use w/o RX (any past year),96.99462144810839
"Family Income_Less than $20,000",95.23938371484807
Difficulty in Work Response (any past year),94.71379437702505
"Family Income_$20,000 - $49,999",93.46860533519191
Race_NonHisp White,86.93331884253907
Oxycontin Use (any past year),81.47079268947546
Marital Status_Never Been Married,-81.03046671931297
Age_50-64 Years Old,-65.37013447575785
Drug Use Disorder (any past year),61.3765488562871
Marijuana Use Disorder (any past year),-59.77613897918751
Race_NonHisp Native Am/AK Native,-51.02215392451329
Poverty_Income Up to 2X Fed Pov Thresh,45.026882773984944
Employment Status_Other,44.90067331239368
Heavy Alcohol Use (any past month),-37.096732704891465
Hallucinogen Use Disorder (any past year),32.495395975175974
BMI_Healthy,-32.438797965114965
"Family Income_$50,000 - $74,999",31.024493570257
Health Insurance_Medicare,-30.05184373588398
Employment Status_Employed full time,29.546395956906526
Employment Status_Unemployed,24.079501213471158
Sedative Use w/o RX (any past year),-18.712891093068976
Age_35-49 Years Old,-6.577605964442387
