,coefficient
Major Depressive Episode (any past year),369.9995238792938
Age_18-25 Years Old,302.2884536285184
BMI_Overweight,-277.23555367417634
Age_65 or Older,-267.23128623986366
Race_NonHisp Native Am/AK Native,-230.96510095649816
Felt Worthless (nearly every day),216.50878052590582
Sedative Use w/o RX (any past year),-208.27225469642352
Education_Some coll/Assoc Dg,208.05748902869072
Race_NonHisp Asian,200.29396315563136
Difficulty in Work Response (any past year),197.52557788432102
Education_High school grad,-196.1320142302772
Year,-195.67333239630864
"Family Income_$20,000 - $49,999",-194.05406582947543
Heroin Use Disorder (any past year),-179.1245633377737
Race_NonHisp White,172.53322184502028
Serious Psychological Distress (any past month),170.32212389438862
BMI_Severe Obesity,163.57412368456835
Drug Use Disorder (any past year),163.077183190949
Education_Less high school,-148.868157294951
"Family Income_$50,000 - $74,999",147.46032381569424
Marital Status_Divorced or Separated,-147.28304150995646
BMI_Unknown,141.4062370090265
Marital Status_Widowed,-139.53299558577206
BMI_Underweight,138.6435955611656
Race_NonHisp Native HI/Other Pac Isl,-138.3209771054963
Binge Alcohol Use (any past month),134.68861519370193
Inhalant Use Disorder (any past year),131.26249597160984
Stimulant Use w/o RX (any past year),130.4296058016497
Marital Status_Married,129.4650625962684
Marital Status_Never Been Married,125.49572568022475
"Family Income_Less than $20,000",125.09702311544089
Heavy Alcohol Use (any past month),-124.19333313516121
Age_35-49 Years Old,-123.06764331645097
Cocaine Use Disorder (any past year),116.56966921643698
Employment Status_Unemployed,-110.66995828855605
"Family Income_$75,000 or More",-110.19764288660384
BMI_Healthy,-107.41403717785066
Education_College graduate,105.29720655772462
Oxycontin Use (any past year),-100.40658883793311
Felt Tired/Low Energy (nearly every day),-97.76532085394642
BMI_Obesity,-90.64373902555619
Poverty_Income More Than 2X Fed Pov Thresh,-84.653131839787
Alcohol Use Disorder (any past year),79.45097753641063
Employment Status_Employed part time,79.0027046797216
Received Substance Use or Mental Health Treatment (any past year),70.80047720615865
Urban Residence_Small Metropolitan,-68.4388633043662
Age_26-34 Years Old,62.24782790568387
Race_NonHisp Black/Afr Am,-59.44988215537971
Gender_Female,-49.98288113692258
Employment Status_Other,49.895373677450294
Employment Status_Employed full time,-49.77184227257655
Poverty_Living in Poverty,48.17274313070339
Urban Residence_Large Metropolitan,42.21706382094284
Drug or Alcohol Use Disorder (any past year),-28.554742322439147
Race_Hispanic,27.68120381016786
Serious Psychological Distress (any past year),27.63000256199898
Gender_Male,18.2913286774996
Marijuana Use Disorder (any past year),14.121484783993637
Age_50-64 Years Old,-6.3345088215793925
Hallucinogen Use Disorder (any past year),6.022160734227706
Urban Residence_Nonmetropolitan,-5.3899130428644435
Poverty_Income Up to 2X Fed Pov Thresh,4.851912098478636
Race_NonHisp more than,-3.6452874507331448
