,coefficient
Employment Status_Other,-1760.0878686661276
Race_NonHisp Native Am/AK Native,-1235.4483325502317
Race_NonHisp more than,1177.499976342409
Serious Psychological Distress (any past year),1138.539044569752
Race_NonHisp Asian,-1133.006152135739
Drug Use Disorder (any past year),1071.5959836104057
"Family Income_$75,000 or More",-900.8065244125881
Major Depressive Episode (any past year),871.1760634268567
Hallucinogen Use Disorder (any past year),-804.633280178571
Marital Status_Never Been Married,-723.356637338346
Race_NonHisp White,675.0807707529383
Alcohol Use Disorder (any past year),663.7505448864896
Age_65 or Older,-657.9731679069668
Inhalant Use Disorder (any past year),653.3740973522556
Received Substance Use or Mental Health Treatment (any past year),645.8532872296727
BMI_Severe Obesity,-612.578651593188
Employment Status_Employed part time,599.8492713975148
Age_50-64 Years Old,-584.3539676994524
Year,577.8838814544862
Poverty_Living in Poverty,-556.6744171477055
Difficulty in Work Response (any past year),548.7786464593817
Poverty_Income More Than 2X Fed Pov Thresh,-534.7773154300726
Stimulant Use w/o RX (any past year),-534.164924272508
Marital Status_Married,-531.1682475969784
Education_Less high school,-495.87531304972634
Race_NonHisp Black/Afr Am,-487.49248167762795
Gender_Male,-485.73856928335067
Age_26-34 Years Old,467.39191540168696
Cocaine Use Disorder (any past year),460.1077542237143
Gender_Female,-419.97395500577863
Oxycontin Use (any past year),-407.5192729387428
Education_College graduate,-403.21034470639603
BMI_Unknown,-402.282447130726
BMI_Overweight,374.6616297923491
"Family Income_Less than $20,000",363.8147204300592
Marijuana Use Disorder (any past year),-357.7975265985826
Urban Residence_Small Metropolitan,-355.38628597218633
Binge Alcohol Use (any past month),321.0287106640583
Urban Residence_Large Metropolitan,-318.83987971141227
BMI_Underweight,-318.15403428937753
Education_High school grad,-317.99636285149387
Education_Some coll/Assoc Dg,311.37104073853345
Employment Status_Unemployed,299.23822589420945
Heroin Use Disorder (any past year),275.852149762577
Drug or Alcohol Use Disorder (any past year),-269.19791205394523
Felt Tired/Low Energy (nearly every day),247.76157579599015
"Family Income_$50,000 - $74,999",-235.87912356011077
Urban Residence_Nonmetropolitan,-231.44335224925115
Age_35-49 Years Old,-200.8938297810695
Heavy Alcohol Use (any past month),196.01253665958615
Race_Hispanic,191.21727238221214
Marital Status_Widowed,189.43194325088302
Poverty_Income Up to 2X Fed Pov Thresh,185.71679016323492
Marital Status_Divorced or Separated,159.4263684893885
BMI_Obesity,150.7996941196735
"Family Income_$20,000 - $49,999",-132.85150073089133
BMI_Healthy,-98.27885896872945
Race_NonHisp Native HI/Other Pac Isl,-93.66710818344181
Age_18-25 Years Old,70.02767440104431
Felt Worthless (nearly every day),53.99787617768092
Employment Status_Employed full time,-44.70706534972454
Sedative Use w/o RX (any past year),-37.7337762689533
Serious Psychological Distress (any past month),-1.9543363495849295
