,coefficient
Major Depressive Episode (any past year),425.09684507642123
Alcohol Use Disorder (any past year),-392.5188183660808
Hallucinogen Use Disorder (any past year),343.9322550729206
Age_18-25 Years Old,329.77294625885713
Stimulant Use w/o RX (any past year),313.82603306655557
Drug or Alcohol Use Disorder (any past year),305.700063930378
Oxycontin Use (any past year),282.26174951991646
Heavy Alcohol Use (any past month),265.0651387119959
Binge Alcohol Use (any past month),263.9986365423629
Race_NonHisp Native HI/Other Pac Isl,241.16108390191772
Education_College graduate,-238.31983026556046
Felt Tired/Low Energy (nearly every day),-207.92774503724456
Age_50-64 Years Old,-198.00119139462387
BMI_Obesity,-194.77804464102644
Inhalant Use Disorder (any past year),192.84804166957352
Sedative Use w/o RX (any past year),-187.87727415378157
Race_NonHisp White,184.00789448348516
Difficulty in Work Response (any past year),154.14459708988213
Urban Residence_Nonmetropolitan,150.48667469003706
"Family Income_Less than $20,000",150.17569470236063
Race_NonHisp Black/Afr Am,-147.46865492753764
Cocaine Use Disorder (any past year),-147.27053199320775
Education_High school grad,146.92278501760595
Employment Status_Other,142.75815795441147
BMI_Underweight,-140.67738572083877
Education_Less high school,138.21906973578976
Age_65 or Older,-136.63721925586515
BMI_Severe Obesity,136.6163294815341
"Family Income_$50,000 - $74,999",-135.36230639882186
Serious Psychological Distress (any past month),127.48975000084043
Race_NonHisp more than,-119.32727964949898
Felt Worthless (nearly every day),118.57559147774084
BMI_Healthy,117.01876173899963
BMI_Overweight,109.20658220904524
Employment Status_Employed part time,-103.53331484662519
Drug Use Disorder (any past year),102.14908116050145
Race_NonHisp Native Am/AK Native,-97.63980477776241
Age_35-49 Years Old,84.49197735555177
Urban Residence_Large Metropolitan,-78.66068607626946
Gender_Female,73.74383219879773
Race_NonHisp Asian,-57.82554226024139
Employment Status_Employed full time,-57.694045603159374
Marital Status_Widowed,56.96905721266967
"Family Income_$75,000 or More",54.181166423561805
Marital Status_Married,53.44945493638226
Poverty_Living in Poverty,52.11948843686944
Year,-51.87513705027339
Age_26-34 Years Old,-50.49218080771393
Serious Psychological Distress (any past year),49.72882831126149
Employment Status_Unemployed,48.21571962878541
Marijuana Use Disorder (any past year),47.52650968319858
Marital Status_Never Been Married,-46.39843628269937
Gender_Male,-44.044602526445864
Poverty_Income More Than 2X Fed Pov Thresh,-43.89595727212909
Urban Residence_Small Metropolitan,-42.1805936690258
"Family Income_$20,000 - $49,999",-39.35447822068342
Heroin Use Disorder (any past year),-34.65090262348724
Marital Status_Divorced or Separated,-34.49000387666309
Race_Hispanic,26.720104732844934
Poverty_Income Up to 2X Fed Pov Thresh,21.460475917350884
Education_Some coll/Assoc Dg,-17.21692354039264
Received Substance Use or Mental Health Treatment (any past year),14.754949466626053
BMI_Unknown,2.312282669036815
