,coefficient
Gender_Female,-543.9944322302683
Marital Status_Widowed,-441.36666544922963
Age_65 or Older,-441.1155878939782
Received Substance Use or Mental Health Treatment (any past year),356.44553646161063
Employment Status_Employed full time,-300.9091821338541
Poverty_Living in Poverty,-299.1371234929554
BMI_Severe Obesity,294.91302781796804
Felt Worthless (nearly every day),284.5491790022149
Education_Less high school,-283.754392914508
BMI_Unknown,-282.1000934187514
Oxycontin Use (any past year),270.7377875554121
BMI_Overweight,-267.6339193793229
Gender_Male,260.4212506976315
Difficulty in Work Response (any past year),256.54947487864956
"Family Income_$75,000 or More",256.2711921989808
"Family Income_$20,000 - $49,999",-248.2612030270237
"Family Income_Less than $20,000",-239.1078975391631
Year,234.76631326363116
Serious Psychological Distress (any past year),232.14436491930687
Heavy Alcohol Use (any past month),-230.48522574681553
Cocaine Use Disorder (any past year),227.27498989549142
Employment Status_Other,-214.9085725218921
Race_NonHisp Asian,-208.7505874646799
Felt Tired/Low Energy (nearly every day),-203.01589141953693
Urban Residence_Large Metropolitan,-185.02012178496216
Marijuana Use Disorder (any past year),179.4768126415364
Marital Status_Divorced or Separated,174.83630717829453
Sedative Use w/o RX (any past year),163.90400764844938
BMI_Healthy,-150.32785048429963
Alcohol Use Disorder (any past year),139.41647516762717
Employment Status_Employed part time,133.5219884855699
Age_35-49 Years Old,121.4453416337588
Drug or Alcohol Use Disorder (any past year),118.30827239291862
Major Depressive Episode (any past year),117.48485806532832
Race_Hispanic,-113.40201555854549
BMI_Underweight,99.89509078657659
Employment Status_Unemployed,98.76876923434692
Education_College graduate,98.07498295296897
Urban Residence_Nonmetropolitan,-94.48126366034704
Serious Psychological Distress (any past month),84.04026315161511
Poverty_Income More Than 2X Fed Pov Thresh,81.63342551997651
Inhalant Use Disorder (any past year),80.1764142469244
Drug Use Disorder (any past year),-68.94729455364164
Poverty_Income Up to 2X Fed Pov Thresh,-65.99841576816407
Education_Some coll/Assoc Dg,-63.18194204140903
"Family Income_$50,000 - $74,999",-52.432166745514536
Stimulant Use w/o RX (any past year),38.962069690287066
Heroin Use Disorder (any past year),-36.22239068060436
Age_18-25 Years Old,35.55466355131867
Education_High school grad,-34.68782789232958
Hallucinogen Use Disorder (any past year),31.98754009818736
Age_26-34 Years Old,28.429719087354687
Age_50-64 Years Old,-28.09601130578716
Marital Status_Married,-23.250818033624828
Race_NonHisp White,22.620385421174984
BMI_Obesity,21.70404420097597
Race_NonHisp Native HI/Other Pac Isl,18.627933485008285
Marital Status_Never Been Married,6.040515424478436
Urban Residence_Small Metropolitan,-3.9646816791297486
Binge Alcohol Use (any past month),2.1005000578107906
Race_NonHisp Native Am/AK Native,-1.6644780413585043
Race_NonHisp more than,-1.6475342573079044
Race_NonHisp Black/Afr Am,0.5999648684601475
