,coefficient
Received Substance Use or Mental Health Treatment (any past year),575.7712218748668
Serious Psychological Distress (any past year),517.7967451473504
Sedative Use w/o RX (any past year),480.36915585403926
BMI_Overweight,-444.88687815024497
Major Depressive Episode (any past year),436.0453874319106
Race_NonHisp Black/Afr Am,430.7114437040574
Employment Status_Unemployed,420.29115532458155
Drug or Alcohol Use Disorder (any past year),-315.94915871468726
Education_Some coll/Assoc Dg,311.2489850695239
Education_Less high school,-270.22550793561163
Felt Worthless (nearly every day),265.19703926660213
BMI_Unknown,255.01636205468893
Drug Use Disorder (any past year),232.04461021039157
Alcohol Use Disorder (any past year),229.6765120929719
Race_Hispanic,-222.7780534413725
Marital Status_Married,220.33338920709312
Binge Alcohol Use (any past month),210.42004055334257
Race_NonHisp Native HI/Other Pac Isl,-205.2814659645433
Age_26-34 Years Old,202.12639478612144
"Family Income_$20,000 - $49,999",200.17040444510204
Marijuana Use Disorder (any past year),-196.87108593494145
Employment Status_Employed part time,-196.36963183614358
Employment Status_Other,-193.8536441237191
Age_65 or Older,-190.99346097611752
Oxycontin Use (any past year),189.6323373546372
Marital Status_Never Been Married,-172.24444412033753
Age_35-49 Years Old,-170.50804861327862
Hallucinogen Use Disorder (any past year),-151.1870244805702
Serious Psychological Distress (any past month),150.58820993675434
BMI_Severe Obesity,146.59603408032268
Urban Residence_Small Metropolitan,143.45664842696712
Stimulant Use w/o RX (any past year),124.9499793384832
Poverty_Income Up to 2X Fed Pov Thresh,114.75699372866347
Felt Tired/Low Energy (nearly every day),-114.03568359949179
BMI_Obesity,110.59903187555192
Heroin Use Disorder (any past year),-107.11036104531456
Age_50-64 Years Old,106.48670804294905
Age_18-25 Years Old,105.60067006622052
"Family Income_$50,000 - $74,999",-102.33081469334226
Race_NonHisp White,-101.4539346253148
Race_NonHisp Native Am/AK Native,97.26890745175778
Year,95.32854101596806
Cocaine Use Disorder (any past year),-92.70090299492969
Poverty_Income More Than 2X Fed Pov Thresh,-91.03503600399387
Urban Residence_Large Metropolitan,-75.8923454048992
"Family Income_Less than $20,000",-74.603907947785
Inhalant Use Disorder (any past year),72.47705099053397
Heavy Alcohol Use (any past month),65.01564486718233
Gender_Male,59.21317957598555
Difficulty in Work Response (any past year),-48.373261035135734
Race_NonHisp more than,45.93351665756853
Marital Status_Divorced or Separated,32.54402444577131
"Family Income_$75,000 or More",29.699856457581426
Poverty_Living in Poverty,29.221280724319108
Marital Status_Widowed,-27.678690671706295
Employment Status_Employed full time,22.861516492475133
Education_High school grad,17.94970170478324
Urban Residence_Nonmetropolitan,-14.630045013365612
BMI_Healthy,-9.161407136426122
Race_NonHisp Asian,7.891452254148951
Gender_Female,-6.269408913205181
Education_College graduate,-6.044217634971215
BMI_Underweight,-5.283378309445285
