,coefficient
Race_NonHisp Asian,-379.8071417584341
Inhalant Use Disorder (any past year),340.1799452324013
Hallucinogen Use Disorder (any past year),335.3259631257587
Felt Worthless (nearly every day),330.6697022793953
Alcohol Use Disorder (any past year),-327.94539974839677
Race_NonHisp more than,323.61250458094673
Major Depressive Episode (any past year),270.1282074120676
Drug Use Disorder (any past year),269.6404799728731
Poverty_Income More Than 2X Fed Pov Thresh,267.5042725645171
Sedative Use w/o RX (any past year),264.45828921054874
Employment Status_Employed full time,-233.56452305795506
Race_NonHisp Black/Afr Am,202.6883918406712
Received Substance Use or Mental Health Treatment (any past year),202.4062244580434
Poverty_Living in Poverty,-193.02339660455962
Difficulty in Work Response (any past year),188.13135561589053
Employment Status_Unemployed,185.7932136486899
"Family Income_$75,000 or More",182.23630577334998
Gender_Male,181.00678785207552
Marijuana Use Disorder (any past year),-173.54440277327575
Heavy Alcohol Use (any past month),168.76277600127685
Urban Residence_Small Metropolitan,161.49597513387482
BMI_Unknown,161.4718386224732
Race_NonHisp Native HI/Other Pac Isl,157.38140220579368
Education_High school grad,-151.66660568409569
BMI_Obesity,-150.6466349869178
Cocaine Use Disorder (any past year),147.72858107034807
Drug or Alcohol Use Disorder (any past year),-138.11784125836832
"Family Income_$50,000 - $74,999",-133.28719959589455
Gender_Female,-133.16512863168984
Health Insurance_Uninsured,-129.87908775693006
BMI_Healthy,-128.43937259866073
Race_NonHisp Native Am/AK Native,-125.41285698366455
BMI_Underweight,124.49960218731435
Race_NonHisp White,-118.48315851798952
Education_Less high school,115.7886853073443
Education_Some coll/Assoc Dg,113.87428595330742
Heroin Use Disorder (any past year),-110.45691680567074
Age_18-25 Years Old,103.14596945311588
Oxycontin Use (any past year),102.32039730520424
Health Insurance_Other,100.39332181370068
Felt Tired/Low Energy (nearly every day),-99.95945473440356
Age_50-64 Years Old,-98.73394866940899
"Family Income_$20,000 - $49,999",-98.57754850446454
Age_65 or Older,98.24792289082166
"Family Income_Less than $20,000",97.47630887699299
Age_35-49 Years Old,-95.52840665347928
Binge Alcohol Use (any past month),95.49278286932193
Stimulant Use w/o RX (any past year),92.44985313294494
Urban Residence_Large Metropolitan,-63.078828613966444
Employment Status_Employed part time,61.85188443929637
Health Insurance_Private plan,56.510157254331006
Urban Residence_Nonmetropolitan,-50.63772815405578
Marital Status_Divorced or Separated,47.81760470450659
Year,-42.92783325484569
Age_26-34 Years Old,40.31649240008719
Employment Status_Other,33.73761593368208
Education_College graduate,-30.22896359785265
Health Insurance_Medicaid/CHIP,27.971502304616326
Poverty_Income Up to 2X Fed Pov Thresh,-26.649868956373123
BMI_Overweight,25.812000062342126
BMI_Severe Obesity,14.972985540049606
Race_Hispanic,-11.915361833963972
Health Insurance_Medicare,-7.26829565643923
Serious Psychological Distress (any past month),0.0
Serious Psychological Distress (any past year),0.0
Marital Status_Married,0.0
Marital Status_Never Been Married,0.0
Marital Status_Widowed,0.0
