,coefficient
Felt Worthless (nearly every day),884.6228254429043
Race_NonHisp White,813.2796319616886
Cocaine Use Disorder (any past year),736.2361385673867
Stimulant Use w/o RX (any past year),732.6169658049371
Race_NonHisp Asian,-648.4015412718002
Inhalant Use Disorder (any past year),-510.55666522632436
Serious Psychological Distress (any past month),434.7532858127151
Hallucinogen Use Disorder (any past year),-425.5614706188093
Poverty_Living in Poverty,-421.93963471202443
Education_Some coll/Assoc Dg,409.00227152620914
Race_NonHisp more than,398.84367086202195
Race_NonHisp Native HI/Other Pac Isl,-392.2170284525113
Health Insurance_Uninsured,387.43684848935277
Health Insurance_Private plan,-382.93065352812664
Age_50-64 Years Old,-379.10267077494547
Alcohol Use Disorder (any past year),378.3538493714997
Heroin Use Disorder (any past year),-374.7854429960284
Race_NonHisp Black/Afr Am,-359.63352764976554
Oxycontin Use (any past year),351.6556024480309
Health Insurance_Medicare,-317.43336693339495
Sedative Use w/o RX (any past year),-315.8396699211328
Health Insurance_Medicaid/CHIP,307.8609659205776
Gender_Male,279.3209811249395
Age_65 or Older,274.2368972922217
Poverty_Income Up to 2X Fed Pov Thresh,266.5238167370624
Gender_Female,-263.4035206428662
Major Depressive Episode (any past year),251.07085768547148
Age_18-25 Years Old,238.8241613655545
Race_NonHisp Native Am/AK Native,231.4881409718071
BMI_Unknown,229.3833719801156
BMI_Overweight,226.55264460092718
"Family Income_$75,000 or More",223.30164560523306
Employment Status_Employed part time,222.40590849290922
BMI_Healthy,-184.95635371165235
Education_High school grad,-182.09694798587827
Employment Status_Employed full time,-172.92333111874862
Poverty_Income More Than 2X Fed Pov Thresh,171.2296843873238
BMI_Obesity,-159.0205641312956
Education_College graduate,-158.55730544103662
Marijuana Use Disorder (any past year),149.8886298267975
"Family Income_$20,000 - $49,999",-132.82607533956428
Urban Residence_Small Metropolitan,132.0679830107118
Binge Alcohol Use (any past month),-124.41320084692146
Employment Status_Other,-123.31682727559775
Received Substance Use or Mental Health Treatment (any past year),-105.31637648466125
Employment Status_Unemployed,89.76548031024963
Year,-83.29471698748283
Drug or Alcohol Use Disorder (any past year),83.14693433840874
"Family Income_Less than $20,000",-82.48437506101185
Urban Residence_Large Metropolitan,-82.13177071926258
BMI_Underweight,-77.86348190533535
Age_35-49 Years Old,-74.18576604798227
Heavy Alcohol Use (any past month),73.96988571339394
Difficulty in Work Response (any past year),-68.999750413534
Education_Less high school,-52.44191939422911
Drug Use Disorder (any past year),47.58455148679461
Age_26-34 Years Old,-43.941643814724195
Urban Residence_Nonmetropolitan,-34.00541370576387
Felt Tired/Low Energy (nearly every day),31.021568865081743
Race_Hispanic,-27.602089255380907
Health Insurance_Other,20.809435262300973
BMI_Severe Obesity,-18.42999178585681
Serious Psychological Distress (any past year),15.996279846510836
Marital Status_Divorced or Separated,15.996279846510836
"Family Income_$50,000 - $74,999",8.071964252397505
Marital Status_Married,0.0
Marital Status_Never Been Married,0.0
Marital Status_Widowed,0.0
