,coefficient
Binge Alcohol Use (any past month),-480.38029327224024
Major Depressive Episode (any past year),398.1201846227187
"Family Income_Less than $20,000",-332.15389613061495
Drug or Alcohol Use Disorder (any past year),328.1008986482141
Age_50-64 Years Old,-299.0780411642322
Felt Worthless (nearly every day),262.35665504560944
BMI_Underweight,224.52432199907267
Difficulty in Work Response (any past year),207.80023292786294
Received Substance Use or Mental Health Treatment (any past year),191.44407723629428
Hallucinogen Use Disorder (any past year),189.0119807386271
BMI_Severe Obesity,-170.05821669113007
Race_NonHisp more than,-169.0011759964486
Employment Status_Employed part time,162.2242788210602
Gender_Female,-154.21634109076183
Inhalant Use Disorder (any past year),-154.00314294641464
Education_College graduate,-152.791799277828
Urban Residence_Large Metropolitan,143.2659296395369
"Family Income_$20,000 - $49,999",135.66499553115764
Age_26-34 Years Old,135.47843156215876
Felt Tired/Low Energy (nearly every day),131.26664758494783
Gender_Male,129.1654418151626
Heavy Alcohol Use (any past month),-124.54995966899659
Age_65 or Older,114.34820465660769
Education_Less high school,108.1972820731378
Race_Hispanic,105.42882717937167
"Family Income_$75,000 or More",101.56801440358431
Employment Status_Other,-99.18254335198495
Poverty_Living in Poverty,-96.8277156998449
Urban Residence_Nonmetropolitan,-88.54222175479185
Race_NonHisp Asian,-88.50504180163318
Stimulant Use w/o RX (any past year),-82.18083208346177
Drug Use Disorder (any past year),80.74625195275792
Urban Residence_Small Metropolitan,-79.71770985548697
Marijuana Use Disorder (any past year),78.78429906219118
"Family Income_$50,000 - $74,999",69.31463053947229
Poverty_Income Up to 2X Fed Pov Thresh,68.72164726396366
Oxycontin Use (any past year),-67.9018075448399
Employment Status_Unemployed,-66.9953809885279
Race_NonHisp Black/Afr Am,63.85647204762884
BMI_Unknown,-60.493546072875006
Race_NonHisp Native Am/AK Native,52.03869147121314
Health Insurance_Other,-43.93409517326763
Cocaine Use Disorder (any past year),38.06770870389928
Age_18-25 Years Old,36.44509572063425
Health Insurance_Medicaid/CHIP,29.151729738039435
BMI_Overweight,26.23659190789776
Marital Status_Married,-25.139534945885025
Heroin Use Disorder (any past year),-23.412688674960926
BMI_Healthy,-23.359630695373113
BMI_Obesity,-21.99445786415281
Education_Some coll/Assoc Dg,21.53726431263864
Employment Status_Employed full time,-21.35081926035406
Sedative Use w/o RX (any past year),18.849706126024333
Year,17.351712322131895
Alcohol Use Disorder (any past year),-16.987855901875115
Race_NonHisp White,15.772143324451918
Health Insurance_Medicare,-13.957658489033399
Health Insurance_Private plan,13.742114803164256
Age_35-49 Years Old,-12.862549709110793
Health Insurance_Uninsured,-10.296357931149828
Race_NonHisp Native HI/Other Pac Isl,-4.3807644985116605
Poverty_Income More Than 2X Fed Pov Thresh,2.6625614931058066
Education_High school grad,-2.5392909689497465
Serious Psychological Distress (any past month),0.0
Serious Psychological Distress (any past year),0.0
Marital Status_Divorced or Separated,0.0
Marital Status_Widowed,0.0
Marital Status_Never Been Married,0.0
