,coefficient
Felt Worthless (nearly every day),672.0465573056986
Race_NonHisp Native HI/Other Pac Isl,-415.55956348977554
Major Depressive Episode (any past year),350.17230398813217
Cocaine Use Disorder (any past year),341.9846089644349
Race_NonHisp White,335.41662480374873
Received Substance Use or Mental Health Treatment (any past year),331.3676686346763
Employment Status_Unemployed,301.3672414148008
Age_65 or Older,-285.75784316891884
"Family Income_$75,000 or More",-275.0546212195856
Health Insurance_Medicare,-261.4270191631946
Heavy Alcohol Use (any past month),252.5947173054884
BMI_Healthy,-250.52664865776262
Race_NonHisp more than,245.45187122484936
Age_35-49 Years Old,244.0044655354156
Employment Status_Employed part time,-215.6431001678941
Sedative Use w/o RX (any past year),-201.85935695076995
Health Insurance_Private plan,183.96586384511832
Hallucinogen Use Disorder (any past year),-176.81296661307576
Felt Tired/Low Energy (nearly every day),-176.1553756734362
"Family Income_Less than $20,000",175.8555150765501
Urban Residence_Large Metropolitan,168.11134949872874
BMI_Obesity,164.41234704112452
BMI_Overweight,-162.34494738680968
Heroin Use Disorder (any past year),160.780343110606
Health Insurance_Other,152.6801207042594
Education_Some coll/Assoc Dg,-147.92203247009525
Urban Residence_Small Metropolitan,-140.8502838489464
Employment Status_Employed full time,-125.2270979264525
Serious Psychological Distress (any past month),124.54756413749934
Race_Hispanic,-122.36947909451472
Stimulant Use w/o RX (any past year),111.28649066107523
Age_26-34 Years Old,111.21552736351576
Age_50-64 Years Old,-110.99352224093963
BMI_Severe Obesity,106.39360421178897
BMI_Unknown,96.81176641170475
Difficulty in Work Response (any past year),-92.59423093950852
Education_Less high school,92.35298560207465
Drug Use Disorder (any past year),91.59871726944955
"Family Income_$20,000 - $49,999",85.13470058410975
Race_NonHisp Black/Afr Am,-84.72786055125104
Race_NonHisp Native Am/AK Native,79.94993062355215
Binge Alcohol Use (any past month),-79.2621673423911
Education_High school grad,74.50724683083139
BMI_Underweight,71.64384626259887
Age_18-25 Years Old,67.63466390680257
Employment Status_Other,65.82173002236239
Gender_Male,48.107770920230045
Year,40.99548232885609
Oxycontin Use (any past year),-40.47491965172402
"Family Income_$50,000 - $74,999",40.34461441753204
Inhalant Use Disorder (any past year),35.734003663065735
Poverty_Living in Poverty,32.12823761380153
Drug or Alcohol Use Disorder (any past year),29.54179359636577
Health Insurance_Medicaid/CHIP,-28.443480089713773
Serious Psychological Distress (any past year),26.330360953386347
Marital Status_Married,26.330360953386347
Gender_Female,-21.762005357834916
Poverty_Income More Than 2X Fed Pov Thresh,-21.737116397628718
Health Insurance_Uninsured,-20.3718040212708
Marijuana Use Disorder (any past year),-19.254288204940316
Poverty_Income Up to 2X Fed Pov Thresh,15.909361395780014
Race_NonHisp Asian,-12.150853994181238
Alcohol Use Disorder (any past year),-11.213715533685205
Education_College graduate,7.317910505725218
Urban Residence_Nonmetropolitan,-0.8485149601341092
Marital Status_Divorced or Separated,0.0
Marital Status_Widowed,0.0
Marital Status_Never Been Married,0.0
