,coefficient
Race_NonHisp Black/Afr Am,-200.31656195486957
Stimulant Use w/o RX (any past year),190.1857233614261
Poverty_Living in Poverty,-171.05533103697502
Marital Status_Never Been Married,-169.47878462649533
Felt Worthless (nearly every day),164.7487463466515
Drug or Alcohol Use Disorder (any past year),155.13344476478954
Urban Residence_Small Metropolitan,-153.36313036523248
Age_35-49 Years Old,-139.39727406949658
Gender_Male,-131.73281647617853
Age_50-64 Years Old,-129.17609377751023
"Family Income_$75,000 or More",-122.74927528315403
Received Substance Use or Mental Health Treatment (any past year),116.5808518882818
Major Depressive Episode (any past year),111.64221738461029
Heavy Alcohol Use (any past month),-109.86455516009781
Year,-108.51309914176788
Race_NonHisp Asian,-103.25380880611408
Oxycontin Use (any past year),100.65295142984694
Employment Status_Employed full time,-89.89202915715818
Employment Status_Unemployed,-89.40607546524595
Poverty_Income More Than 2X Fed Pov Thresh,86.86302304323151
Poverty_Income Up to 2X Fed Pov Thresh,-85.04368258285494
Felt Tired/Low Energy (nearly every day),-83.80348626726516
Sedative Use w/o RX (any past year),-83.1527709802119
Education_High school grad,-80.00130556883218
Heroin Use Disorder (any past year),-79.99652858821742
Employment Status_Employed part time,78.12032848957918
Health Insurance_Medicare,-77.49336367292953
BMI_Obesity,-76.7346779782922
Education_Less high school,-68.31264043954246
Employment Status_Other,-68.05493874560177
Education_Some coll/Assoc Dg,-62.325927745827045
Health Insurance_Private plan,-61.74240641496982
BMI_Unknown,-61.13909401710649
Age_26-34 Years Old,59.947568497938306
Race_NonHisp Native HI/Other Pac Isl,59.879041230995234
Inhalant Use Disorder (any past year),58.45215751798834
Age_65 or Older,56.55732697656598
Race_NonHisp White,54.50089911074515
Binge Alcohol Use (any past month),-53.80318417370038
Difficulty in Work Response (any past year),53.608667024626854
Urban Residence_Nonmetropolitan,-53.14735733739127
Race_NonHisp Native Am/AK Native,52.74698464356531
Cocaine Use Disorder (any past year),49.64698149431082
Alcohol Use Disorder (any past year),-44.269227512700375
Education_College graduate,41.31942497247395
Gender_Female,-37.453997453269636
Urban Residence_Large Metropolitan,37.35404859626326
Health Insurance_Uninsured,-30.558254451485507
Drug Use Disorder (any past year),30.168106283080526
"Family Income_$50,000 - $74,999",-28.779736873584298
BMI_Healthy,-28.532798888001114
BMI_Severe Obesity,-27.38559514134502
"Family Income_$20,000 - $49,999",-26.011603588151676
BMI_Overweight,24.744719194660952
Race_NonHisp more than,-23.13201227980464
Marijuana Use Disorder (any past year),21.27911117752585
Health Insurance_Medicaid/CHIP,21.273822506948147
Health Insurance_Other,-20.892329303035336
Age_18-25 Years Old,-17.681344680156702
Hallucinogen Use Disorder (any past year),-10.714680116253597
Race_Hispanic,-9.887273255623317
"Family Income_Less than $20,000",8.24095177009958
BMI_Underweight,-0.2941929991736709
Serious Psychological Distress (any past month),0.0
Serious Psychological Distress (any past year),0.0
Marital Status_Divorced or Separated,0.0
Marital Status_Widowed,0.0
Marital Status_Married,0.0
