,coefficient
Serious Psychological Distress (any past month),604.209482553108
Felt Worthless (nearly every day),551.4428533307965
Age_65 or Older,-480.56191025983236
Sedative Use w/o RX (any past year),369.54112856071873
BMI_Healthy,-287.82905277626713
Health Insurance_Medicare,-257.21672344309195
"Family Income_$50,000 - $74,999",249.17215628956154
"Family Income_$20,000 - $49,999",-244.7819939945778
BMI_Unknown,232.01227539036694
Employment Status_Other,-231.07437934115507
Employment Status_Employed full time,226.2426191939954
Race_NonHisp Asian,204.6830498910507
Binge Alcohol Use (any past month),-192.6254356497582
Major Depressive Episode (any past year),184.87633830312947
Alcohol Use Disorder (any past year),178.0969336034615
Race_NonHisp White,-176.7508861149926
Oxycontin Use (any past year),174.25469131131484
Heroin Use Disorder (any past year),-171.6544081307729
Health Insurance_Uninsured,171.5191642577287
Urban Residence_Large Metropolitan,-153.58329762435463
Age_26-34 Years Old,142.15474369075844
BMI_Overweight,132.97538330929905
Poverty_Living in Poverty,-129.11255036122418
Inhalant Use Disorder (any past year),127.21128186739095
Hallucinogen Use Disorder (any past year),-108.56011773155932
Marital Status_Never Been Married,-107.41029413321446
Serious Psychological Distress (any past year),-107.41029413321446
Education_College graduate,-107.16056765513584
"Family Income_Less than $20,000",-106.31393724085505
Felt Tired/Low Energy (nearly every day),-101.6397764991644
Race_Hispanic,-99.69382249186765
Race_NonHisp Black/Afr Am,-99.61941827216961
Age_18-25 Years Old,97.47499481854659
Marijuana Use Disorder (any past year),90.34828526960086
Employment Status_Employed part time,-79.99657832442185
Urban Residence_Nonmetropolitan,79.00971409798922
BMI_Obesity,-77.27697515571408
Education_Some coll/Assoc Dg,76.59215949265632
Cocaine Use Disorder (any past year),69.59703418160339
Race_NonHisp more than,67.58606370515749
Age_35-49 Years Old,66.61966288176093
Health Insurance_Private plan,-66.21959698696172
Age_50-64 Years Old,66.04420288035779
Gender_Male,-56.93853761229165
BMI_Underweight,-56.596597005780396
Education_High school grad,-51.084589379580216
BMI_Severe Obesity,-50.77759187874856
Gender_Female,-50.47470978917471
Health Insurance_Medicaid/CHIP,49.48499460081539
Difficulty in Work Response (any past year),-36.40536597181365
Year,34.44766330016769
Urban Residence_Small Metropolitan,-32.81143531159287
Drug Use Disorder (any past year),-32.67388106399448
Education_Less high school,-25.88812112222441
Stimulant Use w/o RX (any past year),-25.377133559952295
Poverty_Income More Than 2X Fed Pov Thresh,24.86501271430195
Employment Status_Unemployed,-22.630718353562493
Drug or Alcohol Use Disorder (any past year),-20.78581454076573
Heavy Alcohol Use (any past month),15.065200593628349
Received Substance Use or Mental Health Treatment (any past year),-9.38790841519805
Race_NonHisp Native Am/AK Native,-6.593325911798154
"Family Income_$75,000 or More",-5.558221874688026
Health Insurance_Other,-5.087006951038123
Poverty_Income Up to 2X Fed Pov Thresh,-3.193255089937885
Race_NonHisp Native HI/Other Pac Isl,2.7591141156327406
Marital Status_Divorced or Separated,0.0
Marital Status_Widowed,0.0
Marital Status_Married,0.0
