,coefficient
Poverty_Income Up to 2X Fed Pov Thresh,260.93715535901856
Age_50-64 Years Old,-212.57335251916425
Major Depressive Episode (any past year),211.63766241082595
Felt Worthless (nearly every day),209.26450625119114
Health Insurance_Medicare,-208.8312376094297
Heavy Alcohol Use (any past month),206.97270591810602
Felt Tired/Low Energy (nearly every day),198.04471023986676
BMI_Obesity,195.65695980040573
Year,193.82575280816934
Employment Status_Unemployed,191.81566282213618
Race_Hispanic,189.8127475462646
Employment Status_Employed part time,-187.74090280115257
Race_NonHisp White,-165.44850083974805
Employment Status_Other,154.73510188799898
Binge Alcohol Use (any past month),141.8788432368111
Age_35-49 Years Old,131.32496564776778
Education_Some coll/Assoc Dg,119.31040698025723
Health Insurance_Uninsured,117.19919731990527
Drug Use Disorder (any past year),-108.74230296189009
Health Insurance_Medicaid/CHIP,104.21392786741839
Poverty_Living in Poverty,-101.12339560977357
Alcohol Use Disorder (any past year),89.8476255300476
Poverty_Income More Than 2X Fed Pov Thresh,-83.31291011207534
BMI_Overweight,-82.34491530974803
Employment Status_Employed full time,-81.7009664804974
Education_Less high school,-80.6019212035575
"Family Income_$20,000 - $49,999",79.6641868226461
Marital Status_Widowed,76.4742912332332
Received Substance Use or Mental Health Treatment (any past year),76.21391242634941
Difficulty in Work Response (any past year),-70.39467055676624
Age_65 or Older,68.51557785507487
Urban Residence_Small Metropolitan,67.72198718195473
Race_NonHisp Asian,60.811309467123024
BMI_Healthy,-58.75791077983887
Education_High school grad,57.492334240441295
Urban Residence_Nonmetropolitan,53.36712324469499
Age_18-25 Years Old,48.042408290599134
Health Insurance_Other,47.337526203612484
"Family Income_Less than $20,000",45.18350331146475
Urban Residence_Large Metropolitan,-44.837355337354
"Family Income_$75,000 or More",-43.78560743890553
Race_NonHisp Black/Afr Am,-41.561242003411856
Age_26-34 Years Old,39.69258608047862
Gender_Male,38.807296080978176
Gender_Female,37.77024513347531
BMI_Unknown,35.95140005205143
Oxycontin Use (any past year),34.40164457130463
Race_NonHisp Native Am/AK Native,25.01637652709562
Education_College graduate,-19.696732925590467
BMI_Underweight,-18.72804379208861
Health Insurance_Private plan,15.456297541174974
Race_NonHisp more than,14.950062052345778
Stimulant Use w/o RX (any past year),11.630406356343256
Marijuana Use Disorder (any past year),-8.80741084261126
Drug or Alcohol Use Disorder (any past year),7.667408270373608
Race_NonHisp Native HI/Other Pac Isl,-5.434324172539336
BMI_Severe Obesity,5.290340056678591
"Family Income_$50,000 - $74,999",-4.314595344190345
Cocaine Use Disorder (any past year),-2.762263882281023
Sedative Use w/o RX (any past year),2.030075328858787
Inhalant Use Disorder (any past year),1.0607896537836885
Heroin Use Disorder (any past year),0.8164310721033191
Serious Psychological Distress (any past year),0.0
Serious Psychological Distress (any past month),0.0
Marital Status_Divorced or Separated,0.0
Hallucinogen Use Disorder (any past year),0.0
Marital Status_Married,0.0
Marital Status_Never Been Married,0.0
