,coefficient
Hallucinogen Use Disorder (any past year),1910.2129756883555
Inhalant Use Disorder (any past year),-1509.1279587140418
Race_NonHisp Native HI/Other Pac Isl,1410.934410692762
Felt Worthless (nearly every day),1317.0590921603607
"Family Income_$75,000 or More",-1134.869161179965
Employment Status_Unemployed,-1132.4077469922727
Race_NonHisp Asian,-1027.5036002486263
Sedative Use w/o RX (any past year),1025.506854793596
Heroin Use Disorder (any past year),-1005.6330833904439
Cocaine Use Disorder (any past year),962.6898490277044
Age_18-25 Years Old,890.0521565021472
"Family Income_Less than $20,000",866.1696409110366
Employment Status_Employed part time,853.5674010047028
Received Substance Use or Mental Health Treatment (any past year),845.1548324185185
Alcohol Use Disorder (any past year),833.8294760677292
Education_College graduate,774.4709125956688
Drug Use Disorder (any past year),688.9535675400219
Year,579.8486510255908
Age_65 or Older,-571.6304073419178
Age_26-34 Years Old,-558.7927505235463
Gender_Female,-482.86866847137634
Stimulant Use w/o RX (any past year),-476.0301565473033
Employment Status_Other,450.48787920843375
Education_High school grad,-439.0548997867286
Poverty_Income Up to 2X Fed Pov Thresh,-435.0790172763
Employment Status_Employed full time,-414.2015985387721
Oxycontin Use (any past year),393.6122916752749
Race_NonHisp Native Am/AK Native,390.2139394861475
Education_Less high school,-347.1395615263041
"Family Income_$20,000 - $49,999",343.30706679827955
Race_NonHisp more than,-343.22288695128486
Health Insurance_Medicaid/CHIP,-337.92684024948505
Race_NonHisp White,-327.6762887745822
BMI_Underweight,-325.5314880630169
"Family Income_$50,000 - $74,999",-317.10181676423406
Serious Psychological Distress (any past month),291.3623612398074
Urban Residence_Nonmetropolitan,-276.9544559582369
BMI_Severe Obesity,251.4076230101159
Marital Status_Widowed,-241.87212668091948
Serious Psychological Distress (any past year),-241.87212668091948
Gender_Male,240.54155527538768
BMI_Overweight,240.3607771173957
Marijuana Use Disorder (any past year),234.76323246495141
Poverty_Income More Than 2X Fed Pov Thresh,232.03826441220556
Education_Some coll/Assoc Dg,-230.20527897095337
Binge Alcohol Use (any past month),-192.38100953665747
Race_NonHisp Black/Afr Am,-172.2479881899782
Race_Hispanic,-171.68170317461005
BMI_Obesity,-166.05710828772132
Urban Residence_Small Metropolitan,148.6335796756999
Health Insurance_Medicare,-148.5663889367482
Health Insurance_Uninsured,146.56896167813483
Major Depressive Episode (any past year),141.61235166325955
BMI_Unknown,-136.55629265783867
Urban Residence_Large Metropolitan,-113.34958970271889
BMI_Healthy,-105.6275973923028
Felt Tired/Low Energy (nearly every day),-102.84624226378354
Health Insurance_Private plan,98.40777992763792
Heavy Alcohol Use (any past month),-74.04134723688605
Poverty_Living in Poverty,-38.575112892236476
Age_35-49 Years Old,-38.56789991642291
Age_50-64 Years Old,37.14286896254523
Difficulty in Work Response (any past year),-20.243492687954802
Drug or Alcohol Use Disorder (any past year),-8.494452547701867
Health Insurance_Other,-0.18650636566967466
Marital Status_Divorced or Separated,0.0
Marital Status_Married,0.0
Marital Status_Never Been Married,0.0
