,coefficient
Heroin Use Disorder (any past year),-518.0556632026344
Education_Some coll/Assoc Dg,-441.62398518334743
Heavy Alcohol Use (any past month),-440.7039802697535
Age_50-64 Years Old,-439.77744364389355
BMI_Severe Obesity,-414.9957718019605
Received Substance Use or Mental Health Treatment (any past year),375.3181911238943
Alcohol Use Disorder (any past year),355.6141407256152
Year,332.1533007425114
Gender_Male,-320.7660531231348
Urban Residence_Nonmetropolitan,-301.7069758171472
Marital Status_Never Been Married,-286.6716148608361
Serious Psychological Distress (any past year),284.91498631288266
Felt Tired/Low Energy (nearly every day),-266.5684457734351
Age_65 or Older,-251.3202586830732
Employment Status_Other,-244.091013211954
Poverty_Living in Poverty,-242.05152599130653
Marijuana Use Disorder (any past year),-229.70885016571611
Marital Status_Divorced or Separated,-226.55952345918607
"Family Income_$20,000 - $49,999",-223.3746950966604
Oxycontin Use (any past year),-219.87542446477903
Serious Psychological Distress (any past month),218.8915583410272
Drug Use Disorder (any past year),213.59476085731086
BMI_Unknown,212.2488607914446
Drug or Alcohol Use Disorder (any past year),-205.63915223911968
Felt Worthless (nearly every day),189.89743635926706
Poverty_Income More Than 2X Fed Pov Thresh,-183.1445280070846
"Family Income_$50,000 - $74,999",-178.79447058320207
BMI_Overweight,-177.740507335286
Hallucinogen Use Disorder (any past year),177.40057315843762
Marital Status_Widowed,168.97253857317318
Health Insurance_Uninsured,-166.0878884151149
Health Insurance_Medicaid/CHIP,-163.9396300213257
"Family Income_$75,000 or More",-161.66213781130972
Health Insurance_Private plan,-159.57468610455157
Age_18-25 Years Old,144.23334358046267
Health Insurance_Medicare,143.44791092179008
Sedative Use w/o RX (any past year),-142.56931336724944
"Family Income_Less than $20,000",142.26296650728608
Urban Residence_Small Metropolitan,-138.97303824301477
Employment Status_Employed part time,-128.92435284412062
Gender_Female,-100.81423298398406
Age_35-49 Years Old,93.59173292962743
Difficulty in Work Response (any past year),-88.17600388397305
Marital Status_Married,-77.33469100443018
Health Insurance_Other,-75.41360478847783
Education_College graduate,74.72473097767838
Education_High school grad,-74.4529879935751
Employment Status_Unemployed,-72.01208669387427
BMI_Underweight,-62.679189395511436
Cocaine Use Disorder (any past year),59.47257084370203
BMI_Healthy,54.67938019759054
Major Depressive Episode (any past year),39.84042588023466
BMI_Obesity,-33.078631941823616
Age_26-34 Years Old,31.61352594144746
Employment Status_Employed full time,23.483323496127703
Education_Less high school,19.801670650369385
Stimulant Use w/o RX (any past year),19.30111587807793
Urban Residence_Large Metropolitan,19.136440222756985
Inhalant Use Disorder (any past year),-18.021974805552524
Binge Alcohol Use (any past month),-16.5616966942277
Poverty_Income Up to 2X Fed Pov Thresh,3.642854558739385
