,coefficient
Age_50-64 Years Old,-721.7498823556839
Health Insurance_Medicare,-424.75527178060554
Stimulant Use w/o RX (any past year),-410.357785614793
Major Depressive Episode (any past year),404.0295354670775
Age_26-34 Years Old,348.13921128420725
Marital Status_Divorced or Separated,-331.8765423054498
Age_18-25 Years Old,324.339483572636
Alcohol Use Disorder (any past year),304.60696594949616
BMI_Underweight,-303.7217911689421
Serious Psychological Distress (any past year),300.6257681549696
Cocaine Use Disorder (any past year),283.09782243398297
Heavy Alcohol Use (any past month),274.422463725061
Health Insurance_Other,-241.91213784079773
Health Insurance_Uninsured,229.69024719311645
Inhalant Use Disorder (any past year),215.69557019254253
Health Insurance_Private plan,213.45206795736934
Employment Status_Employed full time,-208.1908369031043
Drug Use Disorder (any past year),205.74125529270734
Marital Status_Married,185.9430830980917
"Family Income_$75,000 or More",-185.5130789769332
Education_Less high school,154.8453604445769
BMI_Healthy,140.2549007760658
Education_High school grad,-137.74155571076014
Hallucinogen Use Disorder (any past year),137.26895875042192
Difficulty in Work Response (any past year),127.3920877652577
"Family Income_$20,000 - $49,999",126.79307501026759
Age_65 or Older,-124.45880759560002
Health Insurance_Medicaid/CHIP,116.6678261377939
Employment Status_Other,108.33789074367837
Poverty_Income Up to 2X Fed Pov Thresh,-106.92548304056976
Felt Worthless (nearly every day),102.72543584671183
Urban Residence_Nonmetropolitan,-98.08980821333853
Employment Status_Unemployed,-94.88121572572683
Received Substance Use or Mental Health Treatment (any past year),93.86786884547496
Employment Status_Employed part time,88.42390344070472
Year,85.46502248815281
Gender_Female,-78.84262951164308
BMI_Obesity,-76.78151327163924
Serious Psychological Distress (any past month),71.55404982685495
BMI_Unknown,70.94070858762537
Age_35-49 Years Old,66.59724101309368
Felt Tired/Low Energy (nearly every day),62.38145416613053
Education_Some coll/Assoc Dg,-62.06022279476296
Education_College graduate,-61.36291571559778
BMI_Severe Obesity,59.25980811356676
Binge Alcohol Use (any past month),52.70922632817804
"Family Income_$50,000 - $74,999",-37.037929226568544
Marital Status_Widowed,28.304302411456277
Gender_Male,-27.490163453066362
Heroin Use Disorder (any past year),27.08281118878591
Drug or Alcohol Use Disorder (any past year),25.99022305451443
Marijuana Use Disorder (any past year),12.384844526253756
Urban Residence_Small Metropolitan,-11.965447227383219
"Family Income_Less than $20,000",-10.65351590517823
Marital Status_Never Been Married,10.45389604703325
Oxycontin Use (any past year),8.64082400857632
Sedative Use w/o RX (any past year),7.2739095065825845
Urban Residence_Large Metropolitan,3.647171892467814
BMI_Overweight,3.364810467453549
Poverty_Living in Poverty,1.891936083486663
Poverty_Income More Than 2X Fed Pov Thresh,-1.3588320271221181
