,coefficient
Felt Worthless (nearly every day),402.9574094542841
Received Substance Use or Mental Health Treatment (any past year),263.07380174246634
BMI_Severe Obesity,177.32499477773936
Employment Status_Unemployed,174.2985275772736
Age_50-64 Years Old,-173.57598430826135
Major Depressive Episode (any past year),165.89635322385715
Education_Less high school,-158.88659358988443
Marijuana Use Disorder (any past year),149.91799734592948
Serious Psychological Distress (any past year),148.0492404014307
Serious Psychological Distress (any past month),145.32297445104365
Age_18-25 Years Old,142.16750076940355
Age_26-34 Years Old,133.8194117376691
Employment Status_Employed part time,-131.7451171706953
Drug Use Disorder (any past year),-130.6711276760941
Education_Some coll/Assoc Dg,126.82350787244629
Felt Tired/Low Energy (nearly every day),122.66655523441939
Health Insurance_Private plan,115.72876724161408
Health Insurance_Medicaid/CHIP,-115.66959090422962
Urban Residence_Large Metropolitan,-107.59254828027792
Binge Alcohol Use (any past month),101.07204281657432
Drug or Alcohol Use Disorder (any past year),99.00145912147255
Health Insurance_Medicare,-84.57161018411473
Age_65 or Older,-82.59995601432658
Employment Status_Employed full time,-81.80233857069834
Cocaine Use Disorder (any past year),81.42946348246724
Urban Residence_Small Metropolitan,77.31670188675682
Poverty_Income More Than 2X Fed Pov Thresh,-72.56354452570862
BMI_Healthy,-71.71624765876422
Stimulant Use w/o RX (any past year),65.78484017552323
Gender_Male,-62.4000850055886
BMI_Unknown,-60.48980908821741
"Family Income_Less than $20,000",53.22477676883679
"Family Income_$20,000 - $49,999",-51.04232012578854
Gender_Female,49.09810891378035
Health Insurance_Uninsured,48.273140792368395
Marital Status_Widowed,48.19213821348189
Poverty_Living in Poverty,46.119342150831564
BMI_Overweight,-45.684762680074165
Alcohol Use Disorder (any past year),-39.463791930907625
"Family Income_$75,000 or More",-37.46145221988685
Education_High school grad,37.21657867120309
Heavy Alcohol Use (any past month),36.41179457455483
Age_35-49 Years Old,-33.25118439016516
Marital Status_Never Been Married,-31.813802103572588
Sedative Use w/o RX (any past year),-30.456773772941297
Year,27.689010459079572
Hallucinogen Use Disorder (any past year),26.362747412922484
Employment Status_Other,26.044749037323754
Heroin Use Disorder (any past year),25.381704447760445
Inhalant Use Disorder (any past year),24.47858090548031
Health Insurance_Other,23.049465684732777
"Family Income_$50,000 - $74,999",21.99926893569835
BMI_Obesity,-18.785633975463234
Education_College graduate,-18.55242544838896
Difficulty in Work Response (any past year),-18.346269114032133
Marital Status_Divorced or Separated,-17.330030494942374
Urban Residence_Nonmetropolitan,16.824325997297922
Poverty_Income Up to 2X Fed Pov Thresh,13.212554622750172
Marital Status_Married,-12.406624969141953
Oxycontin Use (any past year),9.353438556404805
BMI_Underweight,5.833237057170965
