,coefficient
Age_65 or Older,-104.87088941811203
Felt Tired/Low Energy (nearly every day),95.93448508747943
Received Substance Use or Mental Health Treatment (any past year),83.7915812664483
Education_Some coll/Assoc Dg,79.62536509975233
Binge Alcohol Use (any past month),78.07475308215648
Serious Psychological Distress (any past year),68.98355189491622
Serious Psychological Distress (any past month),66.68141757878305
Employment Status_Employed full time,64.17159757914219
Age_18-25 Years Old,64.14255339333361
"Family Income_$20,000 - $49,999",62.51608237003739
Sedative Use w/o RX (any past year),57.45243875878397
BMI_Severe Obesity,-57.30133919076034
Felt Worthless (nearly every day),56.9779592670584
Employment Status_Other,-56.67115320399813
Alcohol Use Disorder (any past year),-53.85640241697787
Marital Status_Never Been Married,51.97308732150429
Age_26-34 Years Old,49.11710617019373
Marijuana Use Disorder (any past year),-44.41954279645926
Health Insurance_Medicaid/CHIP,43.20879718282616
Marital Status_Divorced or Separated,-43.16430374993468
Gender_Male,43.133796191914264
Age_35-49 Years Old,40.58579905438627
"Family Income_$50,000 - $74,999",-37.781591055349026
Hallucinogen Use Disorder (any past year),35.978577331470696
BMI_Obesity,35.837078704433196
Health Insurance_Medicare,-35.829834638842435
Stimulant Use w/o RX (any past year),34.64184125709875
Difficulty in Work Response (any past year),33.39724157375854
Education_College graduate,-31.255908164181772
Urban Residence_Small Metropolitan,29.68130961142473
Education_High school grad,-29.403484143733444
Year,26.324785851145553
Age_50-64 Years Old,-25.28998051323895
Urban Residence_Nonmetropolitan,-23.538857981614935
Oxycontin Use (any past year),22.107893561994363
BMI_Overweight,21.33232644921492
Health Insurance_Uninsured,20.152361771212412
Cocaine Use Disorder (any past year),19.853414172289053
Health Insurance_Private plan,-19.3904511637387
Gender_Female,-19.292964150992653
Poverty_Living in Poverty,17.764716213992692
"Family Income_$75,000 or More",-17.74611152738005
"Family Income_Less than $20,000",17.373313985099397
Urban Residence_Large Metropolitan,17.3305221627428
Drug or Alcohol Use Disorder (any past year),-17.02743309237989
Health Insurance_Other,15.570163327206922
Heroin Use Disorder (any past year),15.018295997906328
Employment Status_Unemployed,14.630153400587433
Heavy Alcohol Use (any past month),14.467336507433187
BMI_Unknown,13.498651641998867
Major Depressive Episode (any past year),12.094393522987755
BMI_Healthy,10.972107930113545
Marital Status_Widowed,10.607455910903271
Drug Use Disorder (any past year),6.969144462169667
Education_Less high school,4.519943798835476
Poverty_Income More Than 2X Fed Pov Thresh,4.04273717664237
Marital Status_Married,3.702649462748548
Inhalant Use Disorder (any past year),-1.9964991012964062
Poverty_Income Up to 2X Fed Pov Thresh,1.8864546328533751
BMI_Underweight,-0.9729717254595811
Employment Status_Employed part time,0.7224875879295998
