,coefficient
Marijuana Use Disorder (any past year),1580.0952909974865
Drug Use Disorder (any past year),-1505.92973794842
Cocaine Use Disorder (any past year),1426.9308938636834
Sedative Use w/o RX (any past year),902.4680424819609
Age_65 or Older,-851.904945483499
Heroin Use Disorder (any past year),753.8431586238063
Drug or Alcohol Use Disorder (any past year),602.9774585456197
Age_18-25 Years Old,588.3502232570079
Inhalant Use Disorder (any past year),566.1322337130663
Marital Status_Married,-552.569558576454
Gender_Male,-491.20993009328146
Heavy Alcohol Use (any past month),449.6757086259167
Alcohol Use Disorder (any past year),-427.5520614716205
Health Insurance_Uninsured,-398.2789133035706
Serious Psychological Distress (any past year),396.07845730676604
"Family Income_$20,000 - $49,999",-388.88885276464094
Employment Status_Unemployed,-379.1805578221461
Poverty_Living in Poverty,-378.70474745346985
Marital Status_Widowed,367.55520902038614
Health Insurance_Medicaid/CHIP,360.43490787888953
Urban Residence_Large Metropolitan,-332.2176816874572
Felt Worthless (nearly every day),-296.20872415543744
Oxycontin Use (any past year),-284.53065844411987
Education_College graduate,-278.6115195627441
Difficulty in Work Response (any past year),217.39993729476643
Poverty_Income Up to 2X Fed Pov Thresh,215.27293787213205
Education_Less high school,203.74069412408707
Education_Some coll/Assoc Dg,-202.28073088056018
Poverty_Income More Than 2X Fed Pov Thresh,-192.97025963258514
"Family Income_$75,000 or More",192.3569675987826
Employment Status_Employed part time,189.82622300018392
Health Insurance_Medicare,-183.65281756610676
Hallucinogen Use Disorder (any past year),-179.36550185373932
Marital Status_Never Been Married,-175.79340430120465
BMI_Unknown,-165.57425229559368
BMI_Healthy,-155.18647497463925
Urban Residence_Small Metropolitan,-147.3480348964726
Gender_Female,134.79258553350556
Urban Residence_Nonmetropolitan,123.123113379203
"Family Income_Less than $20,000",-109.98851384715196
Stimulant Use w/o RX (any past year),-107.80137655730906
Employment Status_Employed full time,-104.90016727397035
Felt Tired/Low Energy (nearly every day),-104.09853171836323
Binge Alcohol Use (any past month),87.95209545503766
Received Substance Use or Mental Health Treatment (any past year),-83.8962403205551
Age_35-49 Years Old,-83.84401693441791
Age_50-64 Years Old,-83.72821922338296
Education_High school grad,-79.28423593775119
Health Insurance_Private plan,-75.88553533921578
Age_26-34 Years Old,74.35838586729378
BMI_Overweight,-74.05275808420865
Employment Status_Other,-62.28348105590187
Health Insurance_Other,-59.059003598304066
Year,59.00421367017282
"Family Income_$50,000 - $74,999",-49.99972467448578
Serious Psychological Distress (any past month),27.35988357467182
BMI_Underweight,26.65598398893655
Major Depressive Episode (any past year),21.22786432679305
BMI_Severe Obesity,11.01031579909265
Marital Status_Divorced or Separated,4.18147434160113
BMI_Obesity,0.6313616211631282
