,coefficient
Inhalant Use Disorder (any past year),219.34909087166037
BMI_Unknown,196.13520076206783
Serious Psychological Distress (any past month),193.20599398189165
Age_18-25 Years Old,193.04544112509652
Age_65 or Older,-189.08210074649116
Major Depressive Episode (any past year),172.76942861192092
Felt Worthless (nearly every day),158.79343142928252
Employment Status_Employed part time,-146.48307535921398
Year,-137.99143434213653
"Family Income_$20,000 - $49,999",-136.4734587738102
Education_Less high school,131.6479495294877
Health Insurance_Other,129.73095713069642
Gender_Male,-127.16895045653168
BMI_Severe Obesity,-125.6895251426872
Cocaine Use Disorder (any past year),-124.78568991701181
Heavy Alcohol Use (any past month),118.82793774549424
Education_College graduate,-117.05149981399273
Marital Status_Widowed,115.24937538740801
"Family Income_Less than $20,000",113.016420973306
Drug or Alcohol Use Disorder (any past year),-107.38429225570339
Urban Residence_Large Metropolitan,-100.45915410615189
Gender_Female,93.24977417700637
Serious Psychological Distress (any past year),93.06696992048727
Urban Residence_Nonmetropolitan,91.06769777172592
Health Insurance_Medicaid/CHIP,-90.51310366302062
Poverty_Income Up to 2X Fed Pov Thresh,88.2742632784492
Age_26-34 Years Old,85.40689757949104
Age_35-49 Years Old,-78.64220431394094
BMI_Obesity,-76.73804222646024
Health Insurance_Medicare,-72.35991655366531
Binge Alcohol Use (any past month),-71.66255952717908
Marijuana Use Disorder (any past year),70.08658016722086
Poverty_Living in Poverty,-68.66559093664353
Health Insurance_Private plan,-65.6241661960663
Health Insurance_Uninsured,64.91619980398586
Stimulant Use w/o RX (any past year),57.58260731623754
Marital Status_Never Been Married,-57.18287070142105
Marital Status_Married,-56.11571261780392
Poverty_Income More Than 2X Fed Pov Thresh,-53.63472791086944
Employment Status_Unemployed,51.543290525461444
Felt Tired/Low Energy (nearly every day),47.89658153895303
Employment Status_Other,46.043779978619824
Alcohol Use Disorder (any past year),45.84807478146161
BMI_Underweight,-45.8120174405205
Age_50-64 Years Old,-44.728715408340356
Marital Status_Divorced or Separated,-36.10866984918966
Hallucinogen Use Disorder (any past year),32.37991197930283
BMI_Overweight,30.767571119225373
Education_Some coll/Assoc Dg,-29.914579992933643
Urban Residence_Small Metropolitan,-24.587981359988465
Difficulty in Work Response (any past year),-24.075689798449822
Heroin Use Disorder (any past year),-20.80090822934123
Education_High school grad,-18.69770392779573
Drug Use Disorder (any past year),-17.852162213112866
Sedative Use w/o RX (any past year),17.35688391436517
Oxycontin Use (any past year),-15.87851168781081
Employment Status_Employed full time,14.948119306947614
BMI_Healthy,-12.6702159813884
Received Substance Use or Mental Health Treatment (any past year),11.31760151214169
"Family Income_$75,000 or More",-6.878361976473626
"Family Income_$50,000 - $74,999",-3.583912653682667
