,coefficient
Serious Psychological Distress (any past month),339.6606041827404
Heroin Use Disorder (any past year),-337.660053575919
BMI_Underweight,327.40842246741454
BMI_Healthy,-290.659311610295
Age_18-25 Years Old,279.3946325093426
Employment Status_Other,-260.36240888074883
Felt Worthless (nearly every day),254.70710711435993
Health Insurance_Other,-232.94811506493974
Received Substance Use or Mental Health Treatment (any past year),227.1930635848659
Oxycontin Use (any past year),-214.62848091637022
Heavy Alcohol Use (any past month),214.174327910126
Education_Less high school,200.8901290954993
Cocaine Use Disorder (any past year),190.40765860284097
"Family Income_$75,000 or More",-188.3325592949793
Marital Status_Widowed,180.5167074462445
Education_College graduate,-167.2476085540619
Age_65 or Older,-161.81825231240825
Education_Some coll/Assoc Dg,-158.15531987879785
Age_35-49 Years Old,-154.25170161549158
Health Insurance_Medicaid/CHIP,151.07906203784017
Year,138.86742296730802
Employment Status_Employed part time,135.7753625056168
Marital Status_Never Been Married,-132.89785709070304
"Family Income_$20,000 - $49,999",132.86161325762754
"Family Income_Less than $20,000",129.29619819808462
Health Insurance_Uninsured,-127.68103059349612
"Family Income_$50,000 - $74,999",-118.53173463819633
Major Depressive Episode (any past year),115.34900197371344
Employment Status_Unemployed,112.3330559453235
Age_26-34 Years Old,-109.32063388976539
Difficulty in Work Response (any past year),106.94941038378232
Age_50-64 Years Old,100.64097448676544
Health Insurance_Private plan,89.77996624011107
Marijuana Use Disorder (any past year),-83.73288219264523
Sedative Use w/o RX (any past year),83.28596170698651
Gender_Female,-80.82003910751489
Education_High school grad,79.64127771452891
Health Insurance_Medicare,75.13523401428525
Hallucinogen Use Disorder (any past year),70.79619552876193
Marital Status_Divorced or Separated,-68.7364706132501
Serious Psychological Distress (any past year),68.14339448236184
BMI_Unknown,-67.65592792461217
Urban Residence_Small Metropolitan,-63.11342654391146
BMI_Severe Obesity,62.11379398139667
BMI_Overweight,-56.55586858600029
Inhalant Use Disorder (any past year),47.499368589838255
Felt Tired/Low Energy (nearly every day),-42.74483226232854
Alcohol Use Disorder (any past year),-40.00924192075982
Gender_Male,36.03565254985533
Employment Status_Employed full time,-32.714367255007204
Binge Alcohol Use (any past month),30.128315138522872
Urban Residence_Nonmetropolitan,28.555193800789645
Poverty_Income Up to 2X Fed Pov Thresh,-27.937034268122602
Poverty_Living in Poverty,-24.608299288348462
Marital Status_Married,-23.9553904080924
Drug Use Disorder (any past year),23.2980400050767
BMI_Obesity,-19.557606534632427
Drug or Alcohol Use Disorder (any past year),-17.759248932355714
Urban Residence_Large Metropolitan,-10.191885658698109
Stimulant Use w/o RX (any past year),8.803579706669705
Poverty_Income More Than 2X Fed Pov Thresh,7.376465203859616
