,coefficient
Urban Residence_Small Metropolitan,212.13909842876845
Urban Residence_Large Metropolitan,-138.7266120595269
Received Substance Use or Mental Health Treatment (any past year),137.74164741922888
Major Depressive Episode (any past year),128.4420657882748
Education_College graduate,-112.85581930718689
BMI_Overweight,-111.95256053626865
Felt Worthless (nearly every day),110.60401447755382
Poverty_Income More Than 2X Fed Pov Thresh,-109.3980160502422
Urban Residence_Nonmetropolitan,-101.39364115248871
Employment Status_Other,100.26845207752571
Health Insurance_Medicare,-93.76751323572782
Felt Tired/Low Energy (nearly every day),-91.46824526148507
Heavy Alcohol Use (any past month),-83.07912772899518
Race_NonHisp White,-79.85248243192324
Hallucinogen Use Disorder (any past year),77.89027449727162
Employment Status_Employed full time,-74.55763584300506
Poverty_Income Up to 2X Fed Pov Thresh,72.80435158430278
Age_18-25 Years Old,69.9951963413545
Marijuana Use Disorder (any past year),-66.39735778512755
BMI_Unknown,65.55916323756567
Health Insurance_Uninsured,65.10451039560391
Drug or Alcohol Use Disorder (any past year),-58.96892744422081
Education_High school grad,56.64697425523717
Cocaine Use Disorder (any past year),55.34686635482748
Binge Alcohol Use (any past month),-50.65165318618427
Employment Status_Employed part time,-48.80305107749812
Age_50-64 Years Old,-47.79822365277784
"Family Income_$75,000 or More",-46.572801823696516
Alcohol Use Disorder (any past year),-44.11668092131313
BMI_Severe Obesity,42.61945310632497
"Family Income_Less than $20,000",42.24460296594163
Age_26-34 Years Old,-40.07798725295529
Drug Use Disorder (any past year),38.91521352931422
Age_35-49 Years Old,-35.944636535828316
Race_NonHisp Native HI/Other Pac Isl,34.86437674203669
Education_Less high school,31.298492697342528
Stimulant Use w/o RX (any past year),-30.82291320313669
Marital Status_Never Been Married,-29.576579664627495
Gender_Female,-28.02533139693123
Race_NonHisp Native Am/AK Native,27.984386437163142
Age_65 or Older,26.542680518375683
"Family Income_$50,000 - $74,999",-24.916814127804063
Difficulty in Work Response (any past year),-21.218137900947923
Health Insurance_Private plan,-20.32769227566703
Oxycontin Use (any past year),-20.323387520857338
Year,-14.542538475763351
Marital Status_Married,14.3885630840887
Health Insurance_Other,14.235656222935468
Race_NonHisp more than,-12.534682262132707
Race_Hispanic,11.807780965359052
BMI_Obesity,-11.76918206499566
Heroin Use Disorder (any past year),11.404255845605753
Poverty_Living in Poverty,8.753277731202648
BMI_Underweight,-8.14582769055295
Marital Status_Widowed,-7.477229463290757
Health Insurance_Medicaid/CHIP,6.826162331322808
Race_NonHisp Asian,-6.380993478186602
Sedative Use w/o RX (any past year),-5.751599600092484
Marital Status_Divorced or Separated,-5.01882596844034
Race_NonHisp Black/Afr Am,-5.013544445605311
Employment Status_Unemployed,-4.897131247219779
Education_Some coll/Assoc Dg,-3.000296299957521
BMI_Healthy,-2.639334955099253
"Family Income_$20,000 - $49,999",1.473912420797232
Inhalant Use Disorder (any past year),1.2627215871528783
Serious Psychological Distress (any past month),0.0
Serious Psychological Distress (any past year),0.0
Gender_Male,0.0
