,coefficient
Year,-453.58828987172
Serious Psychological Distress (any past month),408.95506317136466
Education_High school grad,-386.6112380776337
Marijuana Use Disorder (any past year),348.5724232291613
Binge Alcohol Use (any past month),-314.05723818676574
"Family Income_$20,000 - $49,999",-309.92239401533743
"Family Income_Less than $20,000",306.6924545245478
Felt Worthless (nearly every day),268.791961990692
Education_Less high school,264.4978060304245
BMI_Overweight,-257.76381989632205
Drug Use Disorder (any past year),241.5181798211374
Age_50-64 Years Old,-216.96878067309063
Employment Status_Employed full time,-206.35483361080375
Poverty_Income Up to 2X Fed Pov Thresh,-191.46490338221722
Race_NonHisp White,-189.7391580636523
Major Depressive Episode (any past year),188.49370223462634
Poverty_Living in Poverty,159.34303834200313
Employment Status_Other,154.74162630409958
Age_65 or Older,145.36134244643412
Age_35-49 Years Old,-136.44875068287703
Age_18-25 Years Old,123.09851225468564
Education_Some coll/Assoc Dg,117.22552794734742
Marital Status_Never Been Married,-104.96247825122285
BMI_Unknown,104.82657450682278
Heavy Alcohol Use (any past month),100.27822514163898
Health Insurance_Medicare,80.84467894337807
Health Insurance_Private plan,-71.26801127639904
Felt Tired/Low Energy (nearly every day),68.0977338103602
BMI_Healthy,67.24154558359486
BMI_Underweight,66.58449780913534
"Family Income_$50,000 - $74,999",-62.10760091644305
Race_NonHisp Black/Afr Am,62.04140300721906
Alcohol Use Disorder (any past year),-60.9018595253229
Age_26-34 Years Old,60.28295819641563
Employment Status_Unemployed,59.96021023698643
Oxycontin Use (any past year),58.734368523355975
Heroin Use Disorder (any past year),44.65702781757893
Marital Status_Divorced or Separated,43.52525018448011
Health Insurance_Medicaid/CHIP,-43.11230415932677
Difficulty in Work Response (any past year),43.09919169316688
Urban Residence_Large Metropolitan,-41.439583960528864
Urban Residence_Nonmetropolitan,41.159457284853104
Race_NonHisp Asian,40.71050967677361
"Family Income_$75,000 or More",40.15071054621027
Race_Hispanic,36.99589535414092
Marital Status_Widowed,34.99967399681906
Race_NonHisp more than,34.30295629846074
Employment Status_Employed part time,-33.291759608866236
Drug or Alcohol Use Disorder (any past year),32.8262871672535
Cocaine Use Disorder (any past year),28.17726384400376
Serious Psychological Distress (any past year),-25.222691141152882
Gender_Female,-25.222691141152882
Urban Residence_Small Metropolitan,-24.95457516979327
Stimulant Use w/o RX (any past year),21.22388316077272
Education_College graduate,-20.375186391556227
BMI_Severe Obesity,-19.23428457328109
BMI_Obesity,13.142390079714978
Race_NonHisp Native HI/Other Pac Isl,-11.822679941117881
Received Substance Use or Mental Health Treatment (any past year),-11.10394397344904
Inhalant Use Disorder (any past year),8.745646849426171
Hallucinogen Use Disorder (any past year),8.654401993981953
Poverty_Income More Than 2X Fed Pov Thresh,7.229561020312972
Sedative Use w/o RX (any past year),5.839141292261641
Health Insurance_Other,5.232100548405997
Health Insurance_Uninsured,2.9630138418589165
Race_NonHisp Native Am/AK Native,1.934952286280869
Marital Status_Married,1.2039512335415679
Gender_Male,0.0
