,coefficient
Race_NonHisp Native HI/Other Pac Isl,-472.9151283144308
Felt Worthless (nearly every day),456.2178021396082
Year,405.7086658608726
Education_Less high school,395.0374845952935
Received Substance Use or Mental Health Treatment (any past year),341.0259068627289
Major Depressive Episode (any past year),338.9255029687773
Marital Status_Married,-338.1469341753341
Age_65 or Older,-297.6540914428638
Binge Alcohol Use (any past month),281.04510215755994
Education_College graduate,-262.26936968325157
Employment Status_Other,-244.7667236871238
Hallucinogen Use Disorder (any past year),221.32431286296003
Urban Residence_Small Metropolitan,-219.4087285897264
Difficulty in Work Response (any past year),215.76802637779036
Education_High school grad,-211.1404675939884
Sedative Use w/o RX (any past year),204.13945124232214
"Family Income_$20,000 - $49,999",-195.64492653898975
Inhalant Use Disorder (any past year),185.3375251830258
Health Insurance_Medicare,181.13376252534786
Age_26-34 Years Old,180.72001513678583
Marital Status_Widowed,178.6603343342343
"Family Income_$75,000 or More",176.61637280002446
Health Insurance_Private plan,-175.9528970444941
Employment Status_Unemployed,169.48187226555459
Marital Status_Never Been Married,168.82124294551326
BMI_Underweight,157.8761508730191
Felt Tired/Low Energy (nearly every day),156.49582198161409
Cocaine Use Disorder (any past year),-146.127101387055
Urban Residence_Nonmetropolitan,143.86798461687445
Poverty_Income More Than 2X Fed Pov Thresh,-139.82447208894862
Health Insurance_Uninsured,-139.60550239635504
Drug or Alcohol Use Disorder (any past year),-134.68067953728882
Race_NonHisp Black/Afr Am,134.6757258592682
Employment Status_Employed full time,133.86630954088028
Heavy Alcohol Use (any past month),132.19074944625004
Age_35-49 Years Old,123.47166057344363
Heroin Use Disorder (any past year),120.71845897750732
Age_18-25 Years Old,113.89336348497848
Age_50-64 Years Old,-112.40199086011657
BMI_Overweight,-103.80221212406975
Race_NonHisp more than,102.30260162301425
BMI_Healthy,-100.29850185625256
Marijuana Use Disorder (any past year),99.84548781635176
Race_NonHisp White,95.39747904945648
Oxycontin Use (any past year),-91.98888404217615
Poverty_Income Up to 2X Fed Pov Thresh,90.40563391672183
Education_Some coll/Assoc Dg,86.58699102279155
Race_Hispanic,84.04734466243474
Urban Residence_Large Metropolitan,83.77737907612924
Health Insurance_Other,74.31299509647677
BMI_Obesity,73.2988654617145
Health Insurance_Medicaid/CHIP,68.23782118359983
"Family Income_$50,000 - $74,999",61.47343300689136
Poverty_Living in Poverty,57.68296505186785
Race_NonHisp Native Am/AK Native,51.78628639211853
Employment Status_Employed part time,-50.393597055522164
Alcohol Use Disorder (any past year),-50.029691630651044
Stimulant Use w/o RX (any past year),-41.65951540356413
"Family Income_Less than $20,000",-34.17809553983725
Drug Use Disorder (any past year),-31.579414103305076
BMI_Severe Obesity,-30.36420433244655
Race_NonHisp Asian,12.638497424998766
BMI_Unknown,11.449330375661809
Gender_Male,8.26541370879159
Marital Status_Divorced or Separated,-1.1143267282846823
Serious Psychological Distress (any past month),0.0
Serious Psychological Distress (any past year),0.0
Gender_Female,0.0
