,coefficient
Heroin Use Disorder (any past year),-458.49642232938487
Major Depressive Episode (any past year),392.47328270702235
Race_NonHisp White,333.0563473196036
BMI_Overweight,-315.6675132262683
Serious Psychological Distress (any past month),313.85031383946443
Education_College graduate,-255.25721590234582
Heavy Alcohol Use (any past month),251.0344190599821
Felt Worthless (nearly every day),206.24810802381666
BMI_Obesity,-206.0415048962198
Marital Status_Married,-195.9429027233837
Race_NonHisp Native Am/AK Native,-190.1782998759183
Health Insurance_Other,-187.11648323798812
BMI_Underweight,185.62321138764136
Urban Residence_Nonmetropolitan,-169.33004758436468
Year,166.49045080972212
Marital Status_Widowed,-165.1256784035688
Drug Use Disorder (any past year),162.34653622340593
Drug or Alcohol Use Disorder (any past year),157.98019256236816
Marital Status_Divorced or Separated,156.9431293719235
Hallucinogen Use Disorder (any past year),154.18786267797614
Race_NonHisp Asian,-148.99554542837146
Cocaine Use Disorder (any past year),143.09514017393292
Stimulant Use w/o RX (any past year),-141.4192300730238
Employment Status_Employed full time,-140.7273059528663
Serious Psychological Distress (any past year),-138.84881826493967
Gender_Male,-138.84881826493967
Difficulty in Work Response (any past year),-138.23065693875893
BMI_Unknown,136.07775120991977
"Family Income_$20,000 - $49,999",-127.94687205324875
Health Insurance_Medicaid/CHIP,119.70049052022061
BMI_Severe Obesity,118.70785649127717
Marijuana Use Disorder (any past year),-113.9834750810303
Oxycontin Use (any past year),-102.8826913935879
Age_50-64 Years Old,-98.93565056267657
Education_High school grad,98.4603505565333
Health Insurance_Medicare,-92.75244273105146
Received Substance Use or Mental Health Treatment (any past year),-85.01735749864643
Race_NonHisp Native HI/Other Pac Isl,-82.89528670846468
Urban Residence_Small Metropolitan,77.28008135559853
Inhalant Use Disorder (any past year),69.79275577901942
Marital Status_Never Been Married,65.25459993723385
Employment Status_Other,58.34913119277007
BMI_Healthy,-57.56414902893651
Education_Less high school,56.15508144134616
Poverty_Income More Than 2X Fed Pov Thresh,-53.00077513883817
"Family Income_Less than $20,000",-50.70331094161496
Alcohol Use Disorder (any past year),49.4960499287061
Race_NonHisp Black/Afr Am,-48.53331985981627
Poverty_Income Up to 2X Fed Pov Thresh,-48.36279591431028
Urban Residence_Large Metropolitan,-46.78712957348478
Education_Some coll/Assoc Dg,-38.20542120346369
Poverty_Living in Poverty,-37.481765571475215
"Family Income_$50,000 - $74,999",36.01165694467774
Health Insurance_Private plan,31.9641460557138
Employment Status_Unemployed,-31.19129733866559
Binge Alcohol Use (any past month),-29.447378156541024
Age_35-49 Years Old,-27.324748068576653
Employment Status_Employed part time,-25.27491502604199
Sedative Use w/o RX (any past year),23.74999536446347
Age_65 or Older,-11.25576173893985
Race_Hispanic,-11.078609583705594
Health Insurance_Uninsured,-10.667893145782914
Race_NonHisp more than,9.72343167269692
Felt Tired/Low Energy (nearly every day),-9.309124793082379
"Family Income_$75,000 or More",3.789324329353292
Age_26-34 Years Old,-2.414133177519383
Age_18-25 Years Old,1.0085168024259805
Gender_Female,0.0
