,coefficient
Felt Worthless (nearly every day),350.40642449608646
Major Depressive Episode (any past year),281.2854035196568
Race_NonHisp more than,197.83309007319065
Gender_Male,193.7797922408424
Sedative Use w/o RX (any past year),186.2812568351349
Employment Status_Employed part time,182.15991103431654
Education_Some coll/Assoc Dg,180.07422712255848
Marital Status_Divorced or Separated,173.9541747733281
Serious Psychological Distress (any past month),163.73081840858717
Health Insurance_Medicare,158.02665442975703
"Family Income_$50,000 - $74,999",152.205468571035
Education_High school grad,-149.3722671358776
Year,140.26114391492973
Race_Hispanic,-135.2988966734348
Health Insurance_Other,122.78312706974941
Inhalant Use Disorder (any past year),115.48230014687202
Race_NonHisp White,113.69073223261273
Serious Psychological Distress (any past year),110.87358560964785
Binge Alcohol Use (any past month),-103.6278530900165
Poverty_Income More Than 2X Fed Pov Thresh,101.99460419441546
BMI_Overweight,-99.19631722602374
Race_NonHisp Native HI/Other Pac Isl,-99.17175997667331
BMI_Severe Obesity,96.75130838738725
Employment Status_Unemployed,-96.45073394054761
Age_50-64 Years Old,94.08665895137067
BMI_Obesity,93.11738313097715
Heavy Alcohol Use (any past month),93.06611833489237
Race_NonHisp Black/Afr Am,91.90144590831753
BMI_Underweight,-91.70563773321645
Age_18-25 Years Old,90.80974371658255
Age_65 or Older,-88.20845382735236
Employment Status_Other,86.58571523143698
Gender_Female,-82.20583386048227
BMI_Unknown,78.4742389091674
Education_College graduate,62.95065839586582
Health Insurance_Private plan,-61.85445317021746
Employment Status_Employed full time,-60.74209887485596
"Family Income_$20,000 - $49,999",-59.52704587112513
Cocaine Use Disorder (any past year),59.39628319180471
Health Insurance_Uninsured,-56.80910820756794
Poverty_Income Up to 2X Fed Pov Thresh,54.397007975248236
Alcohol Use Disorder (any past year),50.61484754333444
Health Insurance_Medicaid/CHIP,-50.592907942124754
Stimulant Use w/o RX (any past year),50.02892642719815
Race_NonHisp Native Am/AK Native,-49.03167751878034
Marital Status_Widowed,-48.256217542629244
Felt Tired/Low Energy (nearly every day),-44.85247228757232
Poverty_Living in Poverty,-44.76419096236213
"Family Income_Less than $20,000",39.917725050110455
Drug Use Disorder (any past year),39.78958390669127
Age_26-34 Years Old,39.04791152046433
BMI_Healthy,34.091061548942456
Marijuana Use Disorder (any past year),-32.67075911164862
Heroin Use Disorder (any past year),-31.521106048326327
Age_35-49 Years Old,-24.320558896161703
Difficulty in Work Response (any past year),23.35652313731511
"Family Income_$75,000 or More",-21.0077045727237
Oxycontin Use (any past year),-18.82269854498297
Drug or Alcohol Use Disorder (any past year),-18.254517478760565
Education_Less high school,17.93702923193877
Received Substance Use or Mental Health Treatment (any past year),-13.749553867118877
Marital Status_Never Been Married,-10.61587274072534
Race_NonHisp Asian,-8.697617983526008
Hallucinogen Use Disorder (any past year),-6.268845239713028
Marital Status_Married,-3.551081112238446
