,coefficient
Heavy Alcohol Use (any past month),431.5511906454858
Health Insurance_Private plan,-406.34799444940523
BMI_Severe Obesity,-373.00033063178586
Education_College graduate,-311.16163371372807
Sedative Use w/o RX (any past year),310.55331392800684
Race_NonHisp Asian,-291.2935207033236
Heroin Use Disorder (any past year),-290.29811925944216
Employment Status_Employed part time,-285.13789316881247
Inhalant Use Disorder (any past year),-284.6052754500097
Serious Psychological Distress (any past year),265.9572108271413
Poverty_Living in Poverty,-255.4915440644065
Age_65 or Older,-218.32610238108163
Hallucinogen Use Disorder (any past year),216.4239632843791
Education_High school grad,-206.33514514150784
Year,-201.83926048083057
Major Depressive Episode (any past year),196.94246871843418
BMI_Unknown,194.85623607387052
Felt Worthless (nearly every day),191.67641153229903
Cocaine Use Disorder (any past year),188.68838412231455
Drug or Alcohol Use Disorder (any past year),184.18051045842174
Marital Status_Married,-179.09704476859747
Serious Psychological Distress (any past month),179.04219403234728
Gender_Male,-178.45976377526227
Poverty_Income More Than 2X Fed Pov Thresh,-167.40305511171158
Race_NonHisp White,144.04173697670512
Poverty_Income Up to 2X Fed Pov Thresh,139.59073339465814
Education_Some coll/Assoc Dg,125.81811366026471
Oxycontin Use (any past year),124.95700898533487
BMI_Underweight,124.65488809482136
Alcohol Use Disorder (any past year),-124.2676096990971
"Family Income_$50,000 - $74,999",-122.50694766760512
Race_NonHisp Native HI/Other Pac Isl,119.15810736543777
Race_NonHisp Black/Afr Am,-118.20548373145651
Health Insurance_Medicare,114.63516026065483
Binge Alcohol Use (any past month),114.05927806989168
Education_Less high school,108.46220385578067
Employment Status_Unemployed,106.79057362679066
Difficulty in Work Response (any past year),106.67196827236887
Gender_Female,-104.79358490657114
Age_26-34 Years Old,-103.61393903618405
Felt Tired/Low Energy (nearly every day),-102.87809115558693
Race_Hispanic,-97.73036925919448
BMI_Healthy,-97.42320334203438
Age_18-25 Years Old,95.17636329399711
Received Substance Use or Mental Health Treatment (any past year),93.52654921524596
"Family Income_$20,000 - $49,999",-87.81353623854928
Health Insurance_Uninsured,-84.1202868752833
Employment Status_Employed full time,-81.0005378110961
BMI_Obesity,-80.28441079531463
Race_NonHisp more than,-76.97303398268748
Marital Status_Divorced or Separated,-76.53509759913874
Marital Status_Widowed,-72.54948886746423
"Family Income_$75,000 or More",-62.63681306786783
Health Insurance_Medicaid/CHIP,57.82247248173237
Age_35-49 Years Old,-54.08690854562885
BMI_Overweight,-52.08505797915433
Marital Status_Never Been Married,44.8357771330341
Race_NonHisp Native Am/AK Native,37.68943338400089
Stimulant Use w/o RX (any past year),-36.213990336753604
Health Insurance_Other,34.57577884637367
Employment Status_Other,-23.841323892963963
"Family Income_Less than $20,000",-10.303306901830485
Marijuana Use Disorder (any past year),10.257476337995929
Drug Use Disorder (any past year),-6.229424274561067
Age_50-64 Years Old,-2.662943333145441
