,coefficient
Felt Tired/Low Energy (nearly every day),-405.7051531093845
Felt Worthless (nearly every day),306.5652679408908
Serious Psychological Distress (any past year),244.2314271551445
Hallucinogen Use Disorder (any past year),237.7480866542587
Drug Use Disorder (any past year),234.16583201922853
Difficulty in Work Response (any past year),221.886726349579
Marijuana Use Disorder (any past year),201.2811970936197
"Family Income_Less than $20,000",198.6339118405092
Major Depressive Episode (any past year),185.65724333853905
BMI_Obesity,-184.96660439260134
Binge Alcohol Use (any past month),-183.55687887334793
"Family Income_$50,000 - $74,999",-169.06090237617929
Race_NonHisp more than,164.09235584392832
Stimulant Use w/o RX (any past year),-159.90453183890853
Marital Status_Divorced or Separated,148.70974505823474
BMI_Healthy,141.67091401279035
Received Substance Use or Mental Health Treatment (any past year),-127.68722109808111
Marital Status_Widowed,-124.35417795621699
Age_18-25 Years Old,123.65274235211446
Age_65 or Older,-122.84424362946778
Poverty_Income Up to 2X Fed Pov Thresh,-109.06901537610183
Year,106.47392829156543
Oxycontin Use (any past year),106.02217259802174
Race_Hispanic,-102.59695678995374
Sedative Use w/o RX (any past year),-99.81194141312544
Drug or Alcohol Use Disorder (any past year),99.47560219165895
Poverty_Income More Than 2X Fed Pov Thresh,92.50154871045899
Gender_Female,-90.74812097226872
Gender_Male,87.74185572391193
Marital Status_Never Been Married,-87.32958565067824
Alcohol Use Disorder (any past year),-86.69087738668914
Employment Status_Employed full time,85.94930225263882
"Family Income_$75,000 or More",-85.795838061288
Health Insurance_Uninsured,-84.30420740497051
Heroin Use Disorder (any past year),-80.97245720395419
Employment Status_Employed part time,-78.18037874738923
Health Insurance_Other,76.41843608217307
Race_NonHisp Black/Afr Am,-69.30859991553392
Marital Status_Married,59.76479223920767
Cocaine Use Disorder (any past year),-58.81178755174157
BMI_Underweight,55.286984141456124
Employment Status_Other,-54.91203581237924
"Family Income_$20,000 - $49,999",53.243021760863684
Education_Some coll/Assoc Dg,44.844528560102376
Employment Status_Unemployed,44.096787834906245
Education_College graduate,-42.675550113437794
Inhalant Use Disorder (any past year),-39.694392855626
Health Insurance_Private plan,-37.0852519708726
Health Insurance_Medicare,33.23337526746469
Heavy Alcohol Use (any past month),31.659525925211273
BMI_Overweight,-27.949960061458054
Race_NonHisp Native Am/AK Native,-21.602064372719383
Race_NonHisp White,19.091774363160873
Poverty_Living in Poverty,13.548903420684018
BMI_Severe Obesity,13.489352405962036
Age_26-34 Years Old,-12.986714760353642
Health Insurance_Medicaid/CHIP,8.646251133628123
Race_NonHisp Asian,6.505922035747229
Age_35-49 Years Old,5.568170298377685
Age_50-64 Years Old,3.4446434763144653
Serious Psychological Distress (any past month),3.222940029138514
Education_Less high school,-3.117145068503992
Education_High school grad,-2.0914212393845926
Race_NonHisp Native HI/Other Pac Isl,0.7433597140749008
BMI_Unknown,-0.5605006539633801
