,coefficient
Marital Status_Widowed,-413.40113963928013
Heroin Use Disorder (any past year),-346.7047845804536
BMI_Unknown,-291.9574058855475
Marijuana Use Disorder (any past year),283.61024121247345
Education_Some coll/Assoc Dg,-280.9773971593576
Age_18-25 Years Old,279.58085180466355
Poverty_Income Up to 2X Fed Pov Thresh,-248.10868623606268
Health Insurance_Private plan,-247.32736609305542
Felt Worthless (nearly every day),243.27352654557035
Serious Psychological Distress (any past year),240.2536370260975
Stimulant Use w/o RX (any past year),-231.6792691783172
Drug Use Disorder (any past year),220.5087763518414
Age_50-64 Years Old,-213.00118103223912
Age_65 or Older,-212.30068694427928
Hallucinogen Use Disorder (any past year),201.26479888259774
Major Depressive Episode (any past year),201.0348322942656
Urban Residence_Large Metropolitan,-198.5122719547927
Employment Status_Employed full time,-193.61841376994002
BMI_Underweight,187.64412438497192
BMI_Obesity,-179.06805996429858
Marital Status_Never Been Married,170.49132645486506
"Family Income_$20,000 - $49,999",167.81767861527908
Age_26-34 Years Old,-162.32418968711698
Gender_Female,-161.89399677458445
"Family Income_$75,000 or More",-157.8459307427282
Difficulty in Work Response (any past year),155.95688571984044
"Family Income_$50,000 - $74,999",-155.8175102665974
Race_NonHisp Asian,-152.5664245128933
Serious Psychological Distress (any past month),146.0494493066601
Heavy Alcohol Use (any past month),140.9302703717877
Cocaine Use Disorder (any past year),-138.29198113634033
Race_NonHisp more than,130.38277044692646
Education_High school grad,129.86557326765944
Employment Status_Employed part time,-116.49173523527365
Health Insurance_Other,116.464655514337
Employment Status_Other,112.88400374143508
Age_35-49 Years Old,109.55657027677442
BMI_Overweight,85.14545245978813
Race_NonHisp Black/Afr Am,81.34080758394232
Felt Tired/Low Energy (nearly every day),-81.05448380246305
Race_NonHisp Native HI/Other Pac Isl,-79.85638148152574
Health Insurance_Medicare,-79.30889993328542
Poverty_Living in Poverty,78.15121811539636
Sedative Use w/o RX (any past year),75.29167433016192
Education_College graduate,-74.02493851132029
Marital Status_Married,71.39491411777686
Year,-66.97113357944943
Inhalant Use Disorder (any past year),63.20036262396107
Race_NonHisp White,-59.912370411993365
Race_Hispanic,-59.04186060056874
Race_NonHisp Native Am/AK Native,-58.813145307357146
"Family Income_Less than $20,000",-52.56842612761537
Gender_Male,-36.53209322894897
Drug or Alcohol Use Disorder (any past year),36.109523114972944
Poverty_Income More Than 2X Fed Pov Thresh,-28.45382012438357
Binge Alcohol Use (any past month),-27.5407828588996
Marital Status_Divorced or Separated,-26.963353433581474
Education_Less high school,26.71681670597599
Alcohol Use Disorder (any past year),26.27573139742208
Oxycontin Use (any past year),-8.554375747013362
Health Insurance_Uninsured,7.819402765355041
Health Insurance_Medicaid/CHIP,3.911276112277916
Employment Status_Unemployed,-1.1914181994047244
BMI_Healthy,-0.7148604512356873
BMI_Severe Obesity,0.5167993485280321
Received Substance Use or Mental Health Treatment (any past year),0.0
Urban Residence_Nonmetropolitan,0.0
Urban Residence_Small Metropolitan,0.0
