,coefficient
Serious Psychological Distress (any past year),256.27117068742405
Difficulty in Work Response (any past year),245.8056046260319
Drug Use Disorder (any past year),230.70685776151157
Serious Psychological Distress (any past month),201.84543759360648
Gender_Male,177.13429593575464
Employment Status_Employed full time,-175.53952527255947
Health Insurance_Medicare,175.3639931382003
Race_NonHisp Black/Afr Am,170.3944456782115
Felt Worthless (nearly every day),123.78432464001924
Race_Hispanic,-123.40738863398413
Gender_Female,-112.35025005087051
"Family Income_$50,000 - $74,999",110.55405632451468
BMI_Unknown,-107.10820676766589
Employment Status_Employed part time,101.745258660482
Age_18-25 Years Old,99.21688777614554
Health Insurance_Medicaid/CHIP,-97.65457841422847
BMI_Overweight,92.10104090519991
Employment Status_Other,87.37320436944808
Age_26-34 Years Old,-85.79559844356653
Marijuana Use Disorder (any past year),81.18828590132442
Hallucinogen Use Disorder (any past year),77.05193628565685
Cocaine Use Disorder (any past year),73.72919729570789
Race_NonHisp White,-68.8834161607689
Age_35-49 Years Old,67.42196784800056
Received Substance Use or Mental Health Treatment (any past year),64.4989905340157
Urban Residence_Large Metropolitan,64.4989905340157
BMI_Obesity,64.44438286363118
Binge Alcohol Use (any past month),-63.99283953865945
Age_50-64 Years Old,-62.93310753057097
Major Depressive Episode (any past year),62.838442087008424
"Family Income_Less than $20,000",-61.67230969731769
Race_NonHisp more than,58.104945223229024
Year,58.00351855982964
Health Insurance_Private plan,-56.55174648041231
Poverty_Living in Poverty,52.27826138444932
Employment Status_Unemployed,50.93273343646385
"Family Income_$75,000 or More",49.71219266599298
Education_High school grad,49.027740888686026
Poverty_Income More Than 2X Fed Pov Thresh,48.739154653425764
Age_65 or Older,46.030339541976346
Health Insurance_Uninsured,42.84944604732023
Education_College graduate,42.1473051843538
Drug or Alcohol Use Disorder (any past year),39.94676070052241
Race_NonHisp Native HI/Other Pac Isl,38.60697436226611
Poverty_Income Up to 2X Fed Pov Thresh,-36.40760553398818
Stimulant Use w/o RX (any past year),-35.07350528397336
Marital Status_Widowed,33.32145510285785
"Family Income_$20,000 - $49,999",-33.11474352888538
BMI_Healthy,31.529287410647836
Alcohol Use Disorder (any past year),26.57424696342626
Marital Status_Married,26.372017782860166
Heavy Alcohol Use (any past month),23.980280378936154
Marital Status_Divorced or Separated,20.384646136688783
Education_Less high school,-19.71754174522305
Felt Tired/Low Energy (nearly every day),-17.295798006616796
Marital Status_Never Been Married,-15.210803858491357
Race_NonHisp Asian,-13.596083120193704
BMI_Underweight,-9.225431527447615
BMI_Severe Obesity,-7.658975105304789
Education_Some coll/Assoc Dg,-6.915355254261865
Inhalant Use Disorder (any past year),6.071976295913367
Heroin Use Disorder (any past year),4.3611563240114135
Race_NonHisp Native Am/AK Native,3.078398611588007
Sedative Use w/o RX (any past year),-2.514788327198497
Health Insurance_Other,1.010927412788456
Oxycontin Use (any past year),-0.43114955338596106
Urban Residence_Nonmetropolitan,0.0
Urban Residence_Small Metropolitan,0.0
