,coefficient
Major Depressive Episode (any past year),522.2423693131283
Cocaine Use Disorder (any past year),396.3553798024937
Oxycontin Use (any past year),350.1468941315925
Education_Less high school,-331.7189841038254
Serious Psychological Distress (any past year),328.7302148728268
Felt Worthless (nearly every day),311.3433398874372
Race_NonHisp Native HI/Other Pac Isl,299.99275299530274
Age_50-64 Years Old,-287.761408913378
Age_18-25 Years Old,235.81799027758888
Marital Status_Divorced or Separated,219.8092920017213
Serious Psychological Distress (any past month),211.16212335951394
Heroin Use Disorder (any past year),207.9446118862858
Inhalant Use Disorder (any past year),-189.91052449142109
Marital Status_Widowed,-169.89652850486405
Health Insurance_Medicaid/CHIP,-163.31041046353062
Race_NonHisp more than,-160.04652760619643
Race_NonHisp Asian,-158.29173726923983
BMI_Healthy,-157.62257265132442
Felt Tired/Low Energy (nearly every day),-149.83407538872183
Drug Use Disorder (any past year),-137.09249156594623
BMI_Overweight,135.79369219210903
Poverty_Income Up to 2X Fed Pov Thresh,-135.7532394470132
Drug or Alcohol Use Disorder (any past year),135.19690256676117
Education_College graduate,119.94645378706579
Employment Status_Employed part time,-118.41811887276471
Education_High school grad,110.41981314176944
"Family Income_$20,000 - $49,999",-107.20031188255791
Heavy Alcohol Use (any past month),-89.73403786359151
Health Insurance_Uninsured,88.69256457063162
BMI_Severe Obesity,88.37826747450342
Education_Some coll/Assoc Dg,86.96680738825422
Gender_Female,-84.27522164154851
Hallucinogen Use Disorder (any past year),-82.19901818406274
Marijuana Use Disorder (any past year),81.2891626108703
Race_NonHisp White,75.39349978271505
Gender_Male,69.92738118909102
Marital Status_Married,-67.81569805573014
Binge Alcohol Use (any past month),-67.37968703458093
Poverty_Living in Poverty,66.86368359246693
Health Insurance_Medicare,64.17183373281782
Sedative Use w/o RX (any past year),63.01389110896917
Year,-56.231365252673776
Poverty_Income More Than 2X Fed Pov Thresh,54.53618376958898
"Family Income_$75,000 or More",52.92988355719309
Employment Status_Employed full time,45.46356215960305
Race_Hispanic,-43.39574982918004
BMI_Unknown,-42.66500278578136
Employment Status_Other,42.00959287515336
"Family Income_$50,000 - $74,999",33.1237292542235
Age_65 or Older,24.834106109529763
Stimulant Use w/o RX (any past year),-24.19914133699827
Race_NonHisp Native Am/AK Native,-22.57316524246998
BMI_Underweight,-22.31258952072056
Age_35-49 Years Old,20.334203803888006
Difficulty in Work Response (any past year),19.52045064353538
Health Insurance_Private plan,-16.664515370269072
Employment Status_Unemployed,16.56778369888523
BMI_Obesity,-16.035168242781502
Urban Residence_Nonmetropolitan,-14.319605955935522
Health Insurance_Other,12.624787636650572
Alcohol Use Disorder (any past year),12.079664962554089
Age_26-34 Years Old,-7.721773788680989
"Family Income_Less than $20,000",6.814758809135191
Race_NonHisp Black/Afr Am,-4.7612983991172015
Marital Status_Never Been Married,3.483651373308412
Received Substance Use or Mental Health Treatment (any past year),0.0
Urban Residence_Large Metropolitan,0.0
Urban Residence_Small Metropolitan,0.0
