,coefficient
Felt Worthless (nearly every day),456.2651567633059
Race_NonHisp Asian,-400.5944140874866
Age_65 or Older,-307.7345082381954
BMI_Unknown,300.07652503630595
Marijuana Use Disorder (any past year),-272.0521568998289
Major Depressive Episode (any past year),226.15181148267334
Heavy Alcohol Use (any past month),207.66898703665566
Race_Hispanic,196.695704734719
Sedative Use w/o RX (any past year),194.6848150848778
BMI_Healthy,-189.00737186444022
Serious Psychological Distress (any past year),188.18360599215055
Age_18-25 Years Old,187.01969005819737
Poverty_Income Up to 2X Fed Pov Thresh,186.36338600132532
Drug Use Disorder (any past year),170.61113340293747
Poverty_Income More Than 2X Fed Pov Thresh,-167.12231934789816
Race_NonHisp Native Am/AK Native,146.49599666308475
Marital Status_Divorced or Separated,144.14768157473435
Inhalant Use Disorder (any past year),142.69092527521605
Health Insurance_Other,132.3913772602359
Employment Status_Unemployed,130.9036672392994
Marital Status_Married,-128.47206670756736
Age_35-49 Years Old,108.01469964158076
Health Insurance_Medicare,-101.2189056100644
Race_NonHisp Black/Afr Am,-99.59784766037377
Employment Status_Other,-93.46949860640738
Heroin Use Disorder (any past year),-90.17292368023767
"Family Income_$20,000 - $49,999",85.31209748967717
Race_NonHisp more than,83.6412567687824
Age_26-34 Years Old,82.87730056014784
Education_Less high school,81.75216659217186
Cocaine Use Disorder (any past year),78.8676946255078
Education_Some coll/Assoc Dg,-77.02330476910764
Education_High school grad,76.52565120786392
Race_NonHisp White,72.85607759934793
Oxycontin Use (any past year),62.033741353637474
Binge Alcohol Use (any past month),-58.25426368279706
Felt Tired/Low Energy (nearly every day),-55.68273823759432
Received Substance Use or Mental Health Treatment (any past year),53.303503448649565
Urban Residence_Nonmetropolitan,53.303503448649565
"Family Income_$50,000 - $74,999",52.90662993587964
Hallucinogen Use Disorder (any past year),51.62489998229444
Race_NonHisp Native HI/Other Pac Isl,51.38764149374211
"Family Income_$75,000 or More",-47.74209186362036
Difficulty in Work Response (any past year),-47.35567787016755
BMI_Obesity,-45.21031501376874
Gender_Female,44.562693951553484
Marital Status_Never Been Married,40.7784107407292
BMI_Severe Obesity,-37.57504101936145
"Family Income_Less than $20,000",-36.96396543930316
Year,35.25691419349548
Poverty_Living in Poverty,34.10730787061433
Health Insurance_Uninsured,28.29463837049226
Serious Psychological Distress (any past month),-28.149080845374097
Education_College graduate,-27.799013572955705
Stimulant Use w/o RX (any past year),27.78229395237252
Employment Status_Employed full time,27.438519196806364
Alcohol Use Disorder (any past year),-25.745645363140035
BMI_Overweight,23.976065775280887
Drug or Alcohol Use Disorder (any past year),23.74610014158915
Age_50-64 Years Old,-16.83575145875941
Employment Status_Employed part time,-11.602064566318306
Gender_Male,8.82796149287221
Health Insurance_Medicaid/CHIP,-7.626560476694611
Marital Status_Widowed,-3.1853824333845804
Health Insurance_Private plan,1.4103891318132904
BMI_Underweight,1.1755792901967734
Urban Residence_Large Metropolitan,0.0
Urban Residence_Small Metropolitan,0.0
