,coefficient
Serious Psychological Distress (any past month),246.94435138315322
Drug Use Disorder (any past year),226.42387117068577
Alcohol Use Disorder (any past year),-219.61429588617918
Felt Worthless (nearly every day),212.6692509656692
Major Depressive Episode (any past year),208.06696065462532
Marital Status_Widowed,-201.58729460783204
Race_NonHisp Asian,134.04712369446565
Age_65 or Older,-125.65170313456132
Stimulant Use w/o RX (any past year),-121.51392130872082
BMI_Overweight,119.22966459591596
Marital Status_Never Been Married,114.61982171135864
Health Insurance_Uninsured,113.09735568291751
BMI_Underweight,-104.0273770703585
Inhalant Use Disorder (any past year),-103.26478627137878
Cocaine Use Disorder (any past year),101.9924180471702
Age_18-25 Years Old,92.898799333658
Drug or Alcohol Use Disorder (any past year),92.73043395618754
Health Insurance_Medicaid/CHIP,-90.16608559224579
"Family Income_$75,000 or More",-88.97084732644426
Education_Some coll/Assoc Dg,86.67111738030232
Race_NonHisp Native Am/AK Native,-86.26022172022822
Heavy Alcohol Use (any past month),81.18493288553537
Employment Status_Employed part time,77.41095208532099
Oxycontin Use (any past year),-76.69733521083141
Employment Status_Unemployed,-76.30879328323408
Health Insurance_Medicare,-69.87202365660006
BMI_Healthy,-69.62724241103551
"Family Income_$20,000 - $49,999",66.28615177291401
Marital Status_Divorced or Separated,65.62892128515672
"Family Income_Less than $20,000",65.08616961718114
BMI_Severe Obesity,63.58682878695862
Race_NonHisp more than,-59.91177170378161
Race_NonHisp White,58.95249199224084
Marijuana Use Disorder (any past year),56.253263062728685
Education_Less high school,-56.15414212108651
Employment Status_Other,53.823082369590544
Health Insurance_Other,53.34081049617589
Year,53.24531660493895
Employment Status_Employed full time,-51.67531968145994
Race_NonHisp Native HI/Other Pac Isl,-49.32076230026975
Difficulty in Work Response (any past year),-47.480430205866874
Age_26-34 Years Old,47.4351745032107
Education_College graduate,-45.17388256536542
Age_50-64 Years Old,-44.106213534911234
Race_NonHisp Black/Afr Am,40.71830288343004
Hallucinogen Use Disorder (any past year),39.68580827027722
"Family Income_$50,000 - $74,999",-39.06549455778492
BMI_Unknown,-38.95570092353226
Poverty_Living in Poverty,-37.49325677968963
Race_Hispanic,-35.03750981463765
Serious Psychological Distress (any past year),34.77850406907161
BMI_Obesity,32.970469241258904
Age_35-49 Years Old,32.41467140399647
Gender_Male,29.297096990741586
Binge Alcohol Use (any past month),29.271439181375882
Felt Tired/Low Energy (nearly every day),-26.92738428195419
Poverty_Income Up to 2X Fed Pov Thresh,26.834969551184205
Gender_Female,-26.052507749394085
Marital Status_Married,24.293921855128236
Education_High school grad,17.892444486690405
Heroin Use Disorder (any past year),15.358399463217022
Poverty_Income More Than 2X Fed Pov Thresh,13.89764100637127
Sedative Use w/o RX (any past year),6.327685542674103
Health Insurance_Private plan,-3.3173012974647187
Urban Residence_Small Metropolitan,3.25466066797529
Received Substance Use or Mental Health Treatment (any past year),0.0
Urban Residence_Large Metropolitan,0.0
Urban Residence_Nonmetropolitan,0.0
