,coefficient
Drug Use Disorder (any past year),175.09592876099754
Felt Worthless (nearly every day),108.13776352730677
Race_NonHisp Black/Afr Am,-104.13891495046752
Age_18-25 Years Old,96.53286065874909
Major Depressive Episode (any past year),86.87603082407288
Felt Tired/Low Energy (nearly every day),-84.78612156974577
Marijuana Use Disorder (any past year),82.88149580958121
Poverty_Income Up to 2X Fed Pov Thresh,-80.8935792291108
Serious Psychological Distress (any past year),80.72753647777292
Race_Hispanic,75.5502920152507
Age_50-64 Years Old,-75.35396975941266
Age_26-34 Years Old,-73.06808004018662
BMI_Severe Obesity,-66.99725082744075
Difficulty in Work Response (any past year),62.3898267494394
Health Insurance_Private plan,61.739766950822194
Health Insurance_Other,-59.270027033125
Poverty_Living in Poverty,58.066461206317356
Marital Status_Widowed,-55.277297966500555
Marital Status_Divorced or Separated,54.63034015946106
Education_Some coll/Assoc Dg,53.693904890103724
"Family Income_Less than $20,000",52.29372002025792
Serious Psychological Distress (any past month),50.74940524893225
Employment Status_Unemployed,-49.27141499065343
Stimulant Use w/o RX (any past year),49.18981873985845
BMI_Unknown,45.98871217462406
Heavy Alcohol Use (any past month),-43.89804125646676
"Family Income_$20,000 - $49,999",-43.31997738067192
BMI_Overweight,42.254269004245316
Oxycontin Use (any past year),41.7073809207189
Education_Less high school,-38.984133626955284
Education_College graduate,-38.904440120217174
Employment Status_Employed part time,36.58083622567736
Sedative Use w/o RX (any past year),34.51044456033154
Education_High school grad,33.5927375163745
Heroin Use Disorder (any past year),33.48704765535876
BMI_Underweight,-33.32455361723775
Age_65 or Older,32.626438654271865
Gender_Female,32.5109488325479
Poverty_Income More Than 2X Fed Pov Thresh,31.831564476113584
Alcohol Use Disorder (any past year),-30.565829955272516
Race_NonHisp White,29.636137393262956
Age_35-49 Years Old,27.69832514665062
Employment Status_Other,26.414836304971583
Binge Alcohol Use (any past month),-25.38982504326949
"Family Income_$50,000 - $74,999",24.820773869722927
"Family Income_$75,000 or More",-24.529680299449662
Gender_Male,-23.28237151179705
Race_NonHisp more than,20.95411801019681
BMI_Obesity,20.370823435155643
Marital Status_Never Been Married,18.86084528070257
Inhalant Use Disorder (any past year),18.43155299528053
Health Insurance_Medicaid/CHIP,17.973707739998208
Cocaine Use Disorder (any past year),-16.694099570045953
Health Insurance_Medicare,-14.227316853534276
Race_NonHisp Asian,-13.505857455808327
Hallucinogen Use Disorder (any past year),-12.505463240307884
Received Substance Use or Mental Health Treatment (any past year),9.027437205774312
Urban Residence_Small Metropolitan,9.027437205774312
Marital Status_Married,-8.639256512123412
Employment Status_Employed full time,-5.190567052726457
Drug or Alcohol Use Disorder (any past year),-3.651596907077558
Race_NonHisp Native HI/Other Pac Isl,3.4714099833711924
Health Insurance_Uninsured,2.8629593033123872
Race_NonHisp Native Am/AK Native,-2.8422538322718736
Year,2.68199572791237
BMI_Healthy,1.2391208318491653
Urban Residence_Large Metropolitan,0.0
Urban Residence_Nonmetropolitan,0.0
