Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Overall,All,All,90469,0.693,0.252,100.0,6.385,100.0,0.936,0.049,148,0.026,120,0.001,5628,0.974
Top 1% Risk,,,904,0.541,0.688,7.912,50.553,7.912,0.525,0.408,148,0.324,120,0.268,309,0.676
Top 5% Risk,,,4523,0.597,0.622,30.8,39.332,30.8,0.613,0.145,148,0.083,120,0.044,1631,0.917
Overall,Age,35-49 Years Old,23721,0.666,0.21,100.0,4.376,100.0,0.956,0.028,15,0.014,21,0.001,1023,0.986
Top 1% Risk,Age,35-49 Years Old,237,0.536,0.659,9.345,40.928,9.345,0.565,0.226,15,0.155,21,0.15,82,0.845
Top 5% Risk,Age,35-49 Years Old,1186,0.618,0.539,32.563,28.499,32.563,0.71,0.08,15,0.044,21,0.025,323,0.956
Overall,Age,50-64 Years Old,10714,0.632,0.185,100.0,3.463,100.0,0.966,0.037,7,0.019,4,0.0,364,0.981
Top 1% Risk,Age,50-64 Years Old,107,0.64,0.572,10.243,35.514,10.243,0.673,0.286,7,0.184,4,0.058,31,0.816
Top 5% Risk,Age,50-64 Years Old,535,0.669,0.449,29.919,20.748,29.919,0.798,0.115,7,0.063,4,0.009,104,0.937
Overall,Age,65 or Older,8655,0.599,0.135,100.0,1.756,100.0,0.982,0.013,1,0.007,6,0.001,151,0.993
Top 1% Risk,Age,65 or Older,86,0.59,0.431,7.237,12.791,7.237,0.814,0.111,1,0.091,6,0.08,10,0.909
Top 5% Risk,Age,65 or Older,432,0.659,0.312,24.342,8.565,24.342,0.903,0.045,1,0.027,6,0.015,36,0.973
Overall,Age,18-25 Years Old,29281,0.708,0.323,100.0,10.553,100.0,0.896,0.065,106,0.034,64,0.002,2984,0.966
Top 1% Risk,Age,18-25 Years Old,292,0.542,0.661,5.534,58.562,5.534,0.558,0.622,106,0.62,64,0.529,65,0.38
Top 5% Risk,Age,18-25 Years Old,1464,0.551,0.687,23.754,50.137,23.754,0.527,0.235,106,0.144,64,0.088,628,0.856
Overall,Age,26-34 Years Old,18098,0.678,0.25,100.0,6.216,100.0,0.938,0.033,19,0.017,25,0.001,1106,0.983
Top 1% Risk,Age,26-34 Years Old,180,0.492,0.707,7.467,46.667,7.467,0.5,0.297,19,0.226,25,0.26,65,0.774
Top 5% Risk,Age,26-34 Years Old,904,0.609,0.613,29.689,36.947,29.689,0.624,0.101,19,0.057,25,0.044,315,0.943
Overall,Gender,Male,41253,0.662,0.24,100.0,5.82,100.0,0.942,0.041,51,0.021,32,0.001,2350,0.979
Top 1% Risk,Gender,Male,412,0.549,0.688,8.913,51.942,8.913,0.527,0.343,51,0.238,32,0.162,163,0.762
Top 5% Risk,Gender,Male,2062,0.616,0.587,30.404,35.403,30.404,0.655,0.125,51,0.07,32,0.024,679,0.93
Overall,Gender,Female,49216,0.714,0.261,100.0,6.858,100.0,0.932,0.054,97,0.029,88,0.002,3278,0.971
Top 1% Risk,Gender,Female,492,0.52,0.694,7.319,50.203,7.319,0.516,0.449,97,0.393,88,0.359,150,0.607
Top 5% Risk,Gender,Female,2460,0.57,0.645,30.667,42.073,30.667,0.583,0.159,97,0.094,88,0.062,938,0.906
Overall,Race,NonHisp Black/Afr Am,10718,0.696,0.225,100.0,5.141,100.0,0.949,0.062,18,0.033,9,0.001,533,0.967
Top 1% Risk,Race,NonHisp Black/Afr Am,107,0.596,0.641,9.619,49.533,9.619,0.589,0.45,18,0.34,9,0.167,35,0.66
Top 5% Risk,Race,NonHisp Black/Afr Am,535,0.639,0.57,33.212,34.206,33.212,0.675,0.171,18,0.098,9,0.026,165,0.902
Overall,Race,NonHisp White,55063,0.676,0.255,100.0,6.551,100.0,0.935,0.018,33,0.009,18,0.0,3574,0.991
Top 1% Risk,Race,NonHisp White,550,0.539,0.742,8.844,58.0,8.844,0.447,0.178,33,0.103,18,0.078,286,0.897
Top 5% Risk,Race,NonHisp White,2753,0.568,0.678,35.542,46.567,35.542,0.54,0.05,33,0.026,18,0.012,1249,0.974
Overall,Race,Hispanic,15374,0.763,0.248,100.0,6.075,100.0,0.939,0.142,78,0.084,87,0.006,856,0.916
Top 1% Risk,Race,Hispanic,153,0.532,0.728,7.709,47.059,7.709,0.471,0.64,72,1.0,81,1.0,0,0.0
Top 5% Risk,Race,Hispanic,768,0.567,0.637,32.441,39.453,32.441,0.594,0.333,78,0.257,87,0.187,225,0.743
Overall,Race,NonHisp more than,3124,0.763,0.323,100.0,10.819,100.0,0.896,0.099,18,0.053,6,0.002,320,0.947
Top 1% Risk,Race,NonHisp more than,31,0.611,0.568,6.509,70.968,6.509,0.677,0.783,18,0.818,6,0.667,4,0.182
Top 5% Risk,Race,NonHisp more than,156,0.554,0.703,26.331,57.051,26.331,0.506,0.319,18,0.202,6,0.09,71,0.798
Overall,Race,NonHisp Asian,4524,0.622,0.219,100.0,4.797,100.0,0.952,0.009,1,0.005,0,0.0,216,0.995
Top 1% Risk,Race,NonHisp Asian,45,0.569,0.699,10.599,51.111,10.599,0.511,0.083,1,0.043,0,0.0,22,0.957
Top 5% Risk,Race,NonHisp Asian,226,0.793,0.511,27.65,26.549,27.65,0.739,0.033,1,0.017,0,0.0,59,0.983
Overall,Race,NonHisp Native HI/Other Pac Isl,462,0.675,0.233,100.0,5.411,100.0,0.946,0.0,0,0.0,0,0.0,25,1.0
Top 1% Risk,Race,NonHisp Native HI/Other Pac Isl,4,1.0,0.866,12.0,75.0,12.0,0.25,0.0,0,0.0,0,0.0,3,1.0
Top 5% Risk,Race,NonHisp Native HI/Other Pac Isl,23,0.821,0.552,28.0,30.435,28.0,0.696,0.0,0,0.0,0,0.0,7,1.0
Overall,Race,NonHisp Native Am/AK Native,1204,0.702,0.294,100.0,8.638,100.0,0.914,0.0,0,0.0,0,0.0,104,1.0
Top 1% Risk,Race,NonHisp Native Am/AK Native,12,0.704,0.866,8.654,75.0,8.654,0.25,0.0,0,0.0,0,0.0,9,1.0
Top 5% Risk,Race,NonHisp Native Am/AK Native,60,0.617,0.742,31.731,55.0,31.731,0.45,0.0,0,0.0,0,0.0,33,1.0
Overall,Marital Status,Divorced or Separated,9515,0.658,0.26,100.0,6.695,100.0,0.932,0.021,7,0.011,14,0.002,630,0.989
Top 1% Risk,Marital Status,Divorced or Separated,95,0.564,0.616,4.553,30.526,4.553,0.621,0.28,7,0.241,14,0.212,22,0.759
Top 5% Risk,Marital Status,Divorced or Separated,475,0.544,0.607,26.374,35.368,26.374,0.632,0.074,7,0.042,14,0.046,161,0.958
Overall,Marital Status,Married,37211,0.682,0.182,100.0,3.276,100.0,0.967,0.038,24,0.02,34,0.001,1195,0.98
Top 1% Risk,Marital Status,Married,372,0.547,0.662,12.633,41.398,12.633,0.559,0.226,24,0.156,34,0.156,130,0.844
Top 5% Risk,Marital Status,Married,1860,0.666,0.5,37.49,24.57,37.49,0.749,0.093,24,0.053,34,0.024,433,0.947
Overall,Marital Status,Never Been Married,40997,0.697,0.304,100.0,9.352,100.0,0.908,0.058,116,0.03,69,0.002,3718,0.97
Top 1% Risk,Marital Status,Never Been Married,409,0.553,0.674,6.077,56.968,6.077,0.545,0.555,116,0.498,69,0.392,117,0.502
Top 5% Risk,Marital Status,Never Been Married,2049,0.566,0.673,25.404,47.535,25.404,0.548,0.2,116,0.119,69,0.064,858,0.881
Overall,Marital Status,Widowed,2746,0.633,0.179,100.0,3.132,100.0,0.968,0.022,1,0.012,3,0.001,85,0.988
Top 1% Risk,Marital Status,Widowed,27,0.625,0.577,8.14,25.926,8.14,0.667,0.182,1,0.143,3,0.15,6,0.857
Top 5% Risk,Marital Status,Widowed,137,0.574,0.46,31.395,19.708,31.395,0.788,0.065,1,0.037,3,0.027,26,0.963
Overall,Education,College graduate,27353,0.682,0.21,100.0,4.442,100.0,0.956,0.026,16,0.013,13,0.0,1199,0.987
Top 1% Risk,Education,College graduate,273,0.498,0.676,10.535,46.886,10.535,0.542,0.204,16,0.125,13,0.09,112,0.875
Top 5% Risk,Education,College graduate,1367,0.609,0.591,39.588,35.187,39.588,0.65,0.063,16,0.033,13,0.015,465,0.967
Overall,Education,High school grad,23891,0.714,0.263,100.0,6.973,100.0,0.931,0.064,57,0.034,47,0.002,1609,0.966
Top 1% Risk,Education,High school grad,238,0.518,0.697,7.563,52.941,7.563,0.513,0.496,57,0.452,47,0.42,69,0.548
Top 5% Risk,Education,High school grad,1194,0.586,0.655,31.393,43.802,31.393,0.57,0.182,57,0.109,47,0.07,466,0.891
Overall,Education,Less high school,10902,0.711,0.259,100.0,6.669,100.0,0.933,0.09,36,0.05,41,0.004,691,0.95
Top 1% Risk,Education,Less high school,109,0.502,0.712,7.015,46.789,7.015,0.486,0.562,36,0.706,41,0.707,15,0.294
Top 5% Risk,Education,Less high school,545,0.607,0.62,28.198,37.615,28.198,0.615,0.255,36,0.176,41,0.121,169,0.824
Overall,Education,Some coll/Assoc Dg,28323,0.677,0.275,100.0,7.655,100.0,0.924,0.035,39,0.018,19,0.001,2129,0.982
Top 1% Risk,Education,Some coll/Assoc Dg,283,0.552,0.704,7.38,56.537,7.38,0.505,0.358,39,0.244,19,0.154,121,0.756
Top 5% Risk,Education,Some coll/Assoc Dg,1416,0.574,0.665,29.797,45.621,29.797,0.558,0.111,39,0.06,19,0.025,607,0.94
Overall,Poverty,Income More Than 2X Fed Pov Thresh,55061,0.67,0.229,100.0,5.28,100.0,0.947,0.023,34,0.012,19,0.0,2873,0.988
Top 1% Risk,Poverty,Income More Than 2X Fed Pov Thresh,550,0.529,0.711,10.079,53.273,10.079,0.495,0.197,34,0.116,19,0.074,259,0.884
Top 5% Risk,Poverty,Income More Than 2X Fed Pov Thresh,2753,0.609,0.62,36.877,38.939,36.877,0.616,0.06,34,0.032,19,0.011,1038,0.968
Overall,Poverty,Living in Poverty,16771,0.699,0.292,100.0,8.604,100.0,0.914,0.059,45,0.031,37,0.002,1398,0.969
Top 1% Risk,Poverty,Living in Poverty,167,0.537,0.703,6.306,54.491,6.306,0.503,0.52,45,0.495,37,0.487,46,0.505
Top 5% Risk,Poverty,Living in Poverty,838,0.576,0.66,25.849,44.511,25.849,0.564,0.198,45,0.121,37,0.08,328,0.879
Overall,Poverty,Income Up to 2X Fed Pov Thresh,18637,0.722,0.276,100.0,7.651,100.0,0.924,0.089,69,0.048,64,0.004,1357,0.952
Top 1% Risk,Poverty,Income Up to 2X Fed Pov Thresh,186,0.55,0.677,6.381,48.925,6.381,0.538,0.616,69,0.758,64,0.674,22,0.242
Top 5% Risk,Poverty,Income Up to 2X Fed Pov Thresh,931,0.554,0.644,27.489,42.105,27.489,0.584,0.263,69,0.176,64,0.119,323,0.824
Overall,Employment Status,Employed full time,46354,0.687,0.231,100.0,5.335,100.0,0.947,0.035,45,0.018,39,0.001,2428,0.982
Top 1% Risk,Employment Status,Employed full time,463,0.493,0.7,9.422,50.324,9.422,0.51,0.284,45,0.193,39,0.17,188,0.807
Top 5% Risk,Employment Status,Employed full time,2317,0.619,0.607,34.816,37.16,34.816,0.631,0.095,45,0.052,39,0.027,816,0.948
Overall,Employment Status,Other,24496,0.686,0.251,100.0,6.246,100.0,0.937,0.028,22,0.014,30,0.001,1508,0.986
Top 1% Risk,Employment Status,Other,244,0.535,0.692,7.124,44.672,7.124,0.52,0.273,22,0.202,30,0.222,87,0.798
Top 5% Risk,Employment Status,Other,1224,0.567,0.631,31.307,39.134,31.307,0.602,0.083,22,0.046,30,0.04,457,0.954
Overall,Employment Status,Employed part time,14093,0.676,0.29,100.0,8.494,100.0,0.916,0.028,17,0.014,6,0.0,1180,0.986
Top 1% Risk,Employment Status,Employed part time,140,0.552,0.669,6.182,52.857,6.182,0.55,0.351,17,0.23,6,0.091,57,0.77
