Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Overall,All,All,90469,0.886,0.21,100.0,6.385,100.0,0.941,0.34,1370,0.237,911,0.011,4406,0.763
Top 1% Risk,,,904,0.523,0.475,10.249,65.487,10.249,0.655,0.791,592,1.0,312,1.0,0,0.0
Top 5% Risk,,,4523,0.606,0.491,40.859,52.178,40.859,0.58,0.59,1370,0.581,911,0.421,990,0.419
Overall,Age:SPD,35-49 Years Old:No,20556,0.741,0.116,100.0,1.416,100.0,0.986,0.0,0,0.0,0,0.0,291,1.0
Top 1% Risk,Age:SPD,35-49 Years Old:No,205,0.64,0.375,12.371,17.561,12.371,0.824,0.0,0,0.0,0,0.0,36,1.0
Top 5% Risk,Age:SPD,35-49 Years Old:No,1027,0.65,0.283,32.302,9.153,32.302,0.908,0.0,0,0.0,0,0.0,94,1.0
Overall,Age:SPD,26-34 Years Old:No,14910,0.732,0.138,100.0,2.019,100.0,0.98,0.0,0,0.0,0,0.0,301,1.0
Top 1% Risk,Age:SPD,26-34 Years Old:No,149,0.461,0.457,13.621,27.517,13.621,0.725,0.0,0,0.0,0,0.0,41,1.0
Top 5% Risk,Age:SPD,26-34 Years Old:No,745,0.695,0.317,29.568,11.946,29.568,0.881,0.0,0,0.0,0,0.0,89,1.0
Overall,Age:SPD,18-25 Years Old:No,21689,0.725,0.168,100.0,3.015,100.0,0.97,0.0,0,0.0,0,0.0,654,1.0
Top 1% Risk,Age:SPD,18-25 Years Old:No,216,0.634,0.45,9.327,28.241,9.327,0.718,0.0,0,0.0,0,0.0,61,1.0
Top 5% Risk,Age:SPD,18-25 Years Old:No,1084,0.676,0.359,26.3,15.867,26.3,0.841,0.0,0,0.0,0,0.0,172,1.0
Overall,Age:SPD,18-25 Years Old:Yes,7420,0.737,0.434,100.0,33.491,100.0,0.717,0.496,1030,0.414,642,0.13,1455,0.586
Top 1% Risk,Age:SPD,18-25 Years Old:Yes,74,0.598,0.385,2.455,82.432,2.455,0.824,0.904,61,1.0,13,1.0,0,0.0
Top 5% Risk,Age:SPD,18-25 Years Old:Yes,371,0.596,0.466,10.06,67.385,10.06,0.674,0.805,250,1.0,121,1.0,0,0.0
Overall,Age:SPD,35-49 Years Old:Yes,3128,0.75,0.384,100.0,22.027,100.0,0.785,0.23,100,0.145,82,0.034,589,0.855
Top 1% Risk,Age:SPD,35-49 Years Old:Yes,31,0.316,0.508,2.612,58.065,2.612,0.581,0.735,18,1.0,13,1.0,0,0.0
Top 5% Risk,Age:SPD,35-49 Years Old:Yes,156,0.546,0.498,12.482,55.128,12.482,0.551,0.711,86,1.0,70,1.0,0,0.0
Overall,Age:SPD,65 or Older:No,8295,0.7,0.113,100.0,1.314,100.0,0.987,0.0,0,0.0,0,0.0,109,1.0
Top 1% Risk,Age:SPD,65 or Older:No,82,0.694,0.384,12.844,17.073,12.844,0.829,0.0,0,0.0,0,0.0,14,1.0
Top 5% Risk,Age:SPD,65 or Older:No,414,0.74,0.243,24.771,6.522,24.771,0.935,0.0,0,0.0,0,0.0,27,1.0
Overall,Age:SPD,50-64 Years Old:No,9873,0.746,0.112,100.0,1.327,100.0,0.987,0.0,0,0.0,0,0.0,131,1.0
Top 1% Risk,Age:SPD,50-64 Years Old:No,98,0.55,0.413,16.031,21.429,16.031,0.786,0.0,0,0.0,0,0.0,21,1.0
Top 5% Risk,Age:SPD,50-64 Years Old:No,493,0.683,0.276,32.824,8.722,32.824,0.913,0.0,0,0.0,0,0.0,43,1.0
Overall,Age:SPD,26-34 Years Old:Yes,3398,0.731,0.404,100.0,25.074,100.0,0.766,0.351,215,0.252,157,0.062,637,0.748
Top 1% Risk,Age:SPD,26-34 Years Old:Yes,33,0.673,0.498,2.23,57.576,2.23,0.576,0.731,19,1.0,14,1.0,0,0.0
Top 5% Risk,Age:SPD,26-34 Years Old:Yes,169,0.548,0.488,11.972,60.355,11.972,0.604,0.753,102,1.0,67,1.0,0,0.0
Overall,Age:SPD,65 or Older:Yes,305,0.612,0.38,100.0,16.721,100.0,0.82,0.098,3,0.059,7,0.028,48,0.941
Top 1% Risk,Age:SPD,65 or Older:Yes,3,,0.708,0.0,0.0,0.0,0.0,0.0,0,0.0,3,1.0,0,0.0
Top 5% Risk,Age:SPD,65 or Older:Yes,15,0.3,0.554,9.804,33.333,9.804,0.4,0.4,3,0.6,7,0.7,2,0.4
Overall,Age:SPD,50-64 Years Old:Yes,895,0.71,0.405,100.0,23.799,100.0,0.761,0.171,22,0.103,23,0.034,191,0.897
Top 1% Risk,Age:SPD,50-64 Years Old:Yes,8,1.0,0.614,0.469,12.5,0.469,0.125,0.222,1,1.0,7,1.0,0,0.0
Top 5% Risk,Age:SPD,50-64 Years Old:Yes,44,0.315,0.526,9.859,47.727,9.859,0.477,0.646,21,1.0,23,1.0,0,0.0
